Date,WORLD ex USA IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,275.498
1994-06-30,281.234
1994-07-29,283.371
1994-08-31,287.744
1994-09-30,279.587
1994-10-31,288.221
1994-11-30,273.621
1994-12-30,275.835
1995-01-31,265.554
1995-02-28,262.192
1995-03-31,279.771
1995-04-28,288.414
1995-05-31,284.286
1995-06-30,279.542
1995-07-31,295.214
1995-08-31,284.424
1995-09-29,288.727
1995-10-31,282.05
1995-11-30,288.636
1995-12-29,300.049
1996-01-31,302.302
1996-02-29,303.404
1996-03-29,307.882
1996-04-30,320.01
1996-05-31,316.071
1996-06-28,318.225
1996-07-31,310.151
1996-08-30,309.834
1996-09-30,316.898
1996-10-31,313.791
1996-11-29,325.876
1996-12-31,321.661
1997-01-31,311.584
1997-02-28,314.944
1997-03-31,315.103
1997-04-30,315.887
1997-05-30,339.661
1997-06-30,354.789
1997-07-31,357.172
1997-08-29,335.354
1997-09-30,348.537
1997-10-31,329.743
1997-11-28,320.802
1997-12-31,318.126
1998-01-30,334.26
1998-02-27,355.753
1998-03-31,370.02
1998-04-30,373.372
1998-05-29,372.745
1998-06-30,371.953
1998-07-31,370.546
1998-08-31,324.542
1998-09-30,317.797
1998-10-30,347.925
1998-11-30,361.659
1998-12-31,370.348
1999-01-29,368.315
1999-02-26,362.802
1999-03-31,381.981
1999-04-30,407.218
1999-05-31,388.833
1999-06-30,401.92
1999-07-30,415.213
1999-08-31,420.102
1999-09-30,422.284
1999-10-29,427.786
1999-11-30,426.361
1999-12-31,443.613
2000-01-31,413.234
2000-02-29,407.527
2000-03-31,435.414
2000-04-28,418.166
2000-05-31,419.276
2000-06-30,440.41
2000-07-31,423.196
2000-08-31,430.66
2000-09-29,418.718
2000-10-31,413.923
2000-11-30,408.044
2000-12-29,426.135
2001-01-31,427.949
2001-02-28,412.826
2001-03-30,389.1
2001-04-30,413.416
2001-05-31,408.513
2001-06-29,399.842
2001-07-31,393.122
2001-08-31,391.775
2001-09-28,349.826
2001-10-31,355.333
2001-11-30,363.456
2001-12-31,363.814
2002-01-31,351.928
2002-02-28,356.656
2002-03-29,377.373
2002-04-30,387.049
2002-05-31,400.955
2002-06-28,384.65
2002-07-31,349.23
2002-08-30,351.855
2002-09-30,313.448
2002-10-31,325.651
2002-11-29,339.555
2002-12-31,331.079
2003-01-31,320.107
2003-02-28,315.624
2003-03-31,308.769
2003-04-30,338.626
2003-05-30,363.463
2003-06-30,374.164
2003-07-31,384.695
2003-08-29,395.543
2003-09-30,408.398
2003-10-31,435.82
2003-11-28,444.719
2003-12-31,482.086
2004-01-30,486.762
2004-02-27,499.473
2004-03-31,507.189
2004-04-30,495.871
2004-05-31,500.24
