Date,WORLD ex USA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,439.257
2001-01-02,439.622
2001-01-03,438.699
2001-01-04,439.885
2001-01-05,442.048
2001-01-08,441.349
2001-01-09,435.324
2001-01-10,432.876
2001-01-11,433.855
2001-01-12,433.22
2001-01-15,432.341
2001-01-16,431.438
2001-01-17,433.023
2001-01-18,436.704
2001-01-19,434.053
2001-01-22,435.722
2001-01-23,437.31
2001-01-24,433.325
2001-01-25,434.929
2001-01-26,435.095
2001-01-29,436.275
2001-01-30,438.562
2001-01-31,441.091
2001-02-01,443.9
2001-02-02,440.837
2001-02-05,441.856
2001-02-06,440.349
2001-02-07,438.034
2001-02-08,433.195
2001-02-09,433.136
2001-02-12,435.766
2001-02-13,433.939
2001-02-14,433.666
2001-02-15,431.163
2001-02-16,430.406
2001-02-19,430.568
2001-02-20,427.252
2001-02-21,424.499
2001-02-22,423.328
2001-02-23,422.529
2001-02-26,424.287
2001-02-27,426.925
2001-02-28,425.473
2001-03-01,426.062
2001-03-02,424.217
2001-03-05,424.551
2001-03-06,427.965
2001-03-07,427.816
2001-03-08,429.24
2001-03-09,427.369
2001-03-12,419.245
2001-03-13,410.303
2001-03-14,402.375
2001-03-15,404.924
2001-03-16,396.546
2001-03-19,396.918
2001-03-20,399.797
2001-03-21,399.195
2001-03-22,383.626
2001-03-23,391.432
2001-03-26,402.496
2001-03-27,407.89
2001-03-28,405.056
2001-03-29,400.608
2001-03-30,400.828
2001-04-02,398.404
2001-04-03,396.973
2001-04-04,402.752
2001-04-05,406.747
2001-04-06,407.888
2001-04-09,408.701
2001-04-10,409.688
2001-04-11,409.696
2001-04-12,413.579
2001-04-13,413.136
2001-04-16,410.145
2001-04-17,409.634
2001-04-18,414.217
2001-04-19,419.65
2001-04-20,421.316
2001-04-23,419.702
2001-04-24,419.994
2001-04-25,421.953
2001-04-26,425.905
2001-04-27,425.893
2001-04-30,425.641
2001-05-01,430.969
2001-05-02,430.573
2001-05-03,427.66
2001-05-04,429.959
2001-05-07,430.779
2001-05-08,426.425
2001-05-09,424.269
2001-05-10,426.805
2001-05-11,424.522
2001-05-14,418.369
2001-05-15,423.121
2001-05-16,424.561
2001-05-17,428.33
2001-05-18,428.445
2001-05-21,431.106
2001-05-22,429.267
2001-05-23,428.278
2001-05-24,427.614
2001-05-25,425.837
2001-05-28,425.807
2001-05-29,424.9
2001-05-30,421.724
2001-05-31,420.173
2001-06-01,420.093
2001-06-04,421.158
2001-06-05,421.935
2001-06-06,419.686
2001-06-07,421.528
2001-06-08,420.382
2001-06-11,415.46
2001-06-12,412.098
2001-06-13,414.679
2001-06-14,414.237
2001-06-15,412.361
2001-06-18,409.203
2001-06-19,408.671
2001-06-20,406.302
2001-06-21,408.902
2001-06-22,411.111
2001-06-25,413.118
2001-06-26,410.353
2001-06-27,409.604
2001-06-28,407.767
2001-06-29,410.961
2001-07-02,413.22
2001-07-03,411.649
