Date,WORLD ex USA IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,289.968
1994-06-30,295.856
1994-07-29,298.016
1994-08-31,302.591
1994-09-30,293.92
1994-10-31,302.966
1994-11-30,287.599
1994-12-30,289.88
1995-01-31,279.056
1995-02-28,275.496
1995-03-31,293.842
1995-04-28,302.839
1995-05-31,298.272
1995-06-30,293.102
1995-07-31,309.437
1995-08-31,298.097
1995-09-29,302.501
1995-10-31,295.469
1995-11-30,302.347
1995-12-29,314.25
1996-01-31,316.58
1996-02-29,317.697
1996-03-29,322.265
1996-04-30,334.855
1996-05-31,330.422
1996-06-28,332.462
1996-07-31,323.934
1996-08-30,323.562
1996-09-30,330.83
1996-10-31,327.558
1996-11-29,340.147
1996-12-31,335.69
1997-01-31,325.144
1997-02-28,328.612
1997-03-31,328.658
1997-04-30,329.357
1997-05-30,353.849
1997-06-30,369.374
1997-07-31,371.777
1997-08-29,349.029
1997-09-30,362.623
1997-10-31,343.048
1997-11-28,333.711
1997-12-31,330.884
1998-01-30,347.639
1998-02-27,369.957
1998-03-31,384.668
1998-04-30,388.016
1998-05-29,387.041
1998-06-30,385.923
1998-07-31,384.359
1998-08-31,336.609
1998-09-30,329.546
1998-10-30,360.773
1998-11-30,374.98
1998-12-31,383.96
1999-01-29,381.825
1999-02-26,376.093
1999-03-31,395.813
1999-04-30,421.821
1999-05-31,402.516
1999-06-30,415.868
1999-07-30,429.57
1999-08-31,434.558
1999-09-30,436.704
1999-10-29,442.376
1999-11-30,440.856
1999-12-31,458.664
2000-01-31,427.232
2000-02-29,421.31
2000-03-31,449.95
2000-04-28,431.959
2000-05-31,432.803
2000-06-30,454.403
2000-07-31,436.556
2000-08-31,444.188
2000-09-29,431.739
2000-10-31,426.749
2000-11-30,420.636
2000-12-29,439.248
2001-01-31,441.091
2001-02-28,425.473
2001-03-30,400.828
2001-04-30,425.641
2001-05-31,420.173
2001-06-29,410.961
2001-07-31,404.013
2001-08-31,402.534
2001-09-28,359.312
2001-10-31,364.965
2001-11-30,373.256
2001-12-31,373.591
2002-01-31,361.361
2002-02-28,366.186
2002-03-29,387.269
2002-04-30,396.957
2002-05-31,410.743
2002-06-28,393.85
2002-07-31,357.529
2002-08-30,360.094
2002-09-30,320.658
2002-10-31,333.116
2002-11-29,347.29
2002-12-31,338.575
2003-01-31,327.331
2003-02-28,322.691
2003-03-31,315.465
2003-04-30,345.639
2003-05-30,370.603
2003-06-30,381.192
2003-07-31,391.845
2003-08-29,402.782
2003-09-30,415.767
2003-10-31,443.659
2003-11-28,452.629
2003-12-31,490.608
2004-01-30,495.315
2004-02-27,508.176
2004-03-31,515.801
2004-04-30,503.88
2004-05-31,507.763
2004-06-30,523.716
2004-07-30,511.893
2004-08-31,515.222
2004-09-30,530.822
2004-10-29,550.069
2004-11-30,586.74
2004-12-31,613.37
2005-01-31,605.112
2005-02-28,633.029
2005-03-31,619.237
2005-04-29,601.188
2005-05-31,600.551
2005-06-30,612.183
2005-07-29,631.847
2005-08-31,647.424
2005-09-30,675.971
2005-10-31,656.066
2005-11-30,673.155
2005-12-30,701.526
2006-01-31,742.722
2006-02-28,748.295
2006-03-31,769.199
2006-04-28,805.266
2006-05-31,779.124
2006-06-30,776.353
2006-07-31,785.737
2006-08-31,809.73
2006-09-29,813.746
2006-10-31,848.611
2006-11-30,874.159
2006-12-29,903.858
2007-01-31,907.779
2007-02-28,915.853
2007-03-30,936.673
2007-04-30,980.283
2007-05-31,1000.0
2007-06-29,996.648
2007-07-31,975.576
2007-08-31,952.935
2007-09-28,994.145
2007-10-31,1035.447
2007-11-30,981.912
2007-12-31,958.846
2008-01-31,874.149
2008-02-29,879.67
2008-03-31,871.695
2008-04-30,919.025
2008-05-30,920.698
2008-06-30,835.012
2008-07-31,810.166
2008-08-29,784.843
2008-09-30,678.553
2008-10-31,534.034
2008-11-28,508.342
2008-12-31,533.212
2009-01-30,477.958
2009-02-27,426.026
2009-03-31,457.441
2009-04-30,536.857
2009-05-29,604.472
2009-06-30,598.935
2009-07-31,659.507
2009-08-31,706.806
2009-09-30,734.598
2009-10-30,715.406
2009-11-30,729.389
2009-12-31,737.565
2010-01-29,705.788
2010-02-26,700.984
2010-03-31,746.784
2010-04-30,736.396
2010-05-31,651.344
2010-06-30,637.189
2010-07-30,701.89
2010-08-31,676.944
2010-09-30,738.763
2010-10-29,766.668
2010-11-30,723.998
2010-12-31,786.022
2011-01-31,815.627
2011-02-28,845.732
2011-03-31,825.037
2011-04-29,868.117
2011-05-31,838.184
2011-06-30,827.851
2011-07-29,807.88
