Date,ISRAEL MID VALUE Mid Cap
2004-08-31,472.983
2004-09-30,500.668
2004-10-29,485.995
2004-11-30,553.098
2004-12-31,586.668
2005-01-31,622.379
2005-02-28,619.244
2005-03-31,640.419
2005-04-29,628.439
2005-05-31,669.96
2005-06-30,584.902
2005-07-29,626.156
2005-08-31,643.046
2005-09-30,649.144
2005-10-31,656.39
2005-11-30,655.252
2005-12-30,704.442
2006-01-31,685.049
2006-02-28,641.222
2006-03-31,668.419
2006-04-28,761.126
2006-05-31,737.136
2006-06-30,680.316
2006-07-31,665.844
2006-08-31,684.368
2006-09-29,725.45
2006-10-31,771.863
2006-11-30,820.049
2006-12-29,837.477
2007-01-31,835.057
2007-02-28,859.084
2007-03-30,871.843
2007-04-30,940.039
2007-05-31,1000.0
2007-06-29,943.921
2007-07-31,909.146
2007-08-31,916.177
2007-09-28,979.575
2007-10-31,1065.942
2007-11-30,1032.962
2007-12-31,1037.949
2008-01-31,956.358
2008-02-29,962.854
2008-03-31,927.564
2008-04-30,990.573
2008-05-30,1041.531
2008-06-30,933.798
2008-07-31,848.386
2008-08-29,815.946
2008-09-30,735.86
2008-10-31,590.07
2008-11-28,485.541
2008-12-31,492.194
2009-01-30,476.601
2009-02-27,476.48
2009-03-31,573.873
2009-04-30,666.779
2009-05-29,737.613
2009-06-30,727.486
2009-07-31,840.385
2009-08-31,830.824
2009-09-30,883.775
2009-10-30,910.708
2009-11-30,936.77
2009-12-31,1005.653
2010-01-29,1012.989
2010-02-26,1008.82
2010-03-31,1056.958
2010-04-30,960.73
2010-05-31,841.744
2010-06-30,806.478
2010-07-30,897.185
2010-08-31,889.2
2010-09-30,1002.467
2010-10-29,1027.001
2010-11-30,1039.664
2010-12-31,1142.972
2011-01-31,1015.534
2011-02-28,1035.064
2011-03-31,1141.367
2011-04-29,1146.229
2011-05-31,1099.967
2011-06-30,1049.718
2011-07-29,1027.918
2011-08-31,875.827
2011-09-30,787.79
2011-10-31,896.01
2011-11-30,776.415
2011-12-30,729.16
