Date,ISRAEL MID VALUE Mid Cap
2001-01-01,453.76
2001-01-02,430.416
2001-01-03,434.467
2001-01-04,430.735
2001-01-05,426.462
2001-01-08,408.685
2001-01-09,414.997
2001-01-10,417.61
2001-01-11,431.183
2001-01-12,432.773
2001-01-15,437.039
2001-01-16,439.805
2001-01-17,452.399
2001-01-18,450.499
2001-01-19,449.975
2001-01-22,431.703
2001-01-23,423.831
2001-01-24,427.832
2001-01-25,425.156
2001-01-26,426.487
2001-01-29,414.973
2001-01-30,410.3
2001-01-31,417.429
2001-02-01,422.019
2001-02-02,417.737
2001-02-05,423.399
2001-02-06,423.794
2001-02-07,414.218
2001-02-08,427.147
2001-02-09,427.198
2001-02-12,431.529
2001-02-13,429.157
2001-02-14,423.642
2001-02-15,416.696
2001-02-16,415.438
2001-02-19,406.062
2001-02-20,408.367
2001-02-21,405.983
2001-02-22,399.934
2001-02-23,398.92
2001-02-26,406.41
2001-02-27,406.064
2001-02-28,403.723
2001-03-01,394.334
2001-03-02,394.331
2001-03-05,387.5
2001-03-06,394.603
2001-03-07,393.339
2001-03-08,386.206
2001-03-09,384.229
2001-03-12,357.438
2001-03-13,352.522
2001-03-14,333.509
2001-03-15,334.041
2001-03-16,331.602
2001-03-19,336.047
2001-03-20,332.524
2001-03-21,323.377
2001-03-22,313.441
2001-03-23,315.105
2001-03-26,331.153
2001-03-27,321.086
2001-03-28,321.647
2001-03-29,308.667
2001-03-30,309.842
2001-04-02,304.859
2001-04-03,293.385
2001-04-04,293.769
2001-04-05,308.66
2001-04-06,309.131
2001-04-09,304.907
2001-04-10,317.945
2001-04-11,321.038
2001-04-12,321.53
2001-04-13,321.53
2001-04-16,318.872
2001-04-17,307.379
2001-04-18,324.504
2001-04-19,329.68
2001-04-20,329.359
2001-04-23,333.545
2001-04-24,334.677
2001-04-25,333.363
2001-04-26,332.195
2001-04-27,333.682
2001-04-30,358.905
2001-05-01,355.844
2001-05-02,364.606
2001-05-03,360.644
2001-05-04,360.616
2001-05-07,357.946
2001-05-08,357.186
2001-05-09,346.404
2001-05-10,350.547
2001-05-11,349.625
2001-05-14,343.09
2001-05-15,347.545
2001-05-16,344.987
2001-05-17,352.645
2001-05-18,352.486
2001-05-21,356.429
2001-05-22,365.768
2001-05-23,366.697
2001-05-24,364.57
2001-05-25,363.851
2001-05-28,363.273
2001-05-29,360.963
2001-05-30,350.541
2001-05-31,343.496
2001-06-01,342.892
2001-06-04,332.417
2001-06-05,338.499
2001-06-06,342.59
2001-06-07,338.909
2001-06-08,341.032
2001-06-11,333.451
2001-06-12,322.494
2001-06-13,329.275
2001-06-14,322.264
2001-06-15,321.903
2001-06-18,317.926
2001-06-19,320.528
2001-06-20,316.126
2001-06-21,314.586
2001-06-22,314.147
2001-06-25,319.595
2001-06-26,319.791
2001-06-27,326.731
2001-06-28,332.183
2001-06-29,331.534
