Date,ISRAEL MID VALUE Mid Cap
1995-05-31,285.038
1995-06-30,302.569
1995-07-31,309.348
1995-08-31,307.195
1995-09-29,300.238
1995-10-31,287.76
1995-11-30,274.868
1995-12-29,293.098
1996-01-31,299.104
1996-02-29,308.399
1996-03-29,293.151
1996-04-30,291.069
1996-05-31,273.452
1996-06-28,277.065
1996-07-31,257.726
1996-08-30,254.818
1996-09-30,247.936
1996-10-31,246.806
1996-11-29,264.309
1996-12-31,275.512
1997-01-31,316.202
1997-02-28,321.234
1997-03-31,305.446
1997-04-30,324.751
1997-05-30,350.781
1997-06-30,346.475
1997-07-31,375.674
1997-08-29,358.841
1997-09-30,363.656
1997-10-31,350.19
1997-11-28,355.159
1997-12-31,372.394
1998-01-30,329.419
1998-02-27,355.733
1998-03-31,360.919
1998-04-30,352.406
1998-05-29,382.203
1998-06-30,380.185
1998-07-31,378.109
1998-08-31,333.863
1998-09-30,311.778
1998-10-30,278.389
1998-11-30,304.767
1998-12-31,317.8
1999-01-29,304.108
1999-02-26,329.866
1999-03-31,376.928
1999-04-30,391.922
1999-05-31,408.312
1999-06-30,445.888
1999-07-30,412.093
1999-08-31,377.396
1999-09-30,382.833
1999-10-29,387.639
1999-11-30,415.982
1999-12-31,468.778
2000-01-31,479.99
2000-02-29,539.729
2000-03-31,536.063
2000-04-28,504.717
2000-05-31,524.184
2000-06-30,554.213
2000-07-31,522.208
2000-08-31,576.299
2000-09-29,550.765
2000-10-31,445.138
2000-11-30,460.326
2000-12-29,462.447
2001-01-31,417.429
2001-02-28,403.723
2001-03-30,309.842
2001-04-30,358.905
2001-05-31,343.496
2001-06-29,331.534
2001-07-31,340.525
2001-08-31,318.688
2001-09-28,275.1
2001-10-31,290.578
2001-11-30,326.881
2001-12-31,351.047
2002-01-31,333.926
2002-02-28,309.107
2002-03-29,303.106
2002-04-30,261.68
2002-05-31,259.348
2002-06-28,268.175
2002-07-31,285.151
2002-08-30,282.478
2002-09-30,255.286
2002-10-31,250.568
2002-11-29,277.598
2002-12-31,248.292
2003-01-31,225.974
2003-02-28,227.021
2003-03-31,244.067
2003-04-30,296.404
2003-05-30,366.417
2003-06-30,354.103
2003-07-31,331.964
2003-08-29,334.46
2003-09-30,359.538
2003-10-31,373.097
2003-11-28,385.463
2003-12-31,417.798
2004-01-30,406.519
2004-02-27,425.579
2004-03-31,440.708
2004-04-30,456.203
2004-05-31,473.059
2004-06-30,513.077
2004-07-30,485.569
2004-08-31,458.463
2004-09-30,488.457
2004-10-29,474.142
2004-11-30,539.608
2004-12-31,574.063
2005-01-31,609.007
2005-02-28,605.94
2005-03-31,628.316
2005-04-29,618.192
2005-05-31,659.037
2005-06-30,575.432
2005-07-29,616.019
2005-08-31,632.959
2005-09-30,639.157
2005-10-31,647.224
2005-11-30,646.445
2005-12-30,695.985
2006-01-31,676.824
2006-02-28,633.758
2006-03-31,660.713
2006-04-28,753.448
2006-05-31,730.094
2006-06-30,675.448
2006-07-31,661.079
2006-08-31,681.475
2006-09-29,722.384
2006-10-31,769.77
2006-11-30,817.904
2006-12-29,836.705
2007-01-31,834.288
2007-02-28,858.292
2007-03-30,871.176
2007-04-30,939.32
2007-05-31,1000.0
2007-06-29,946.138
2007-07-31,911.281
