Date,BELGIUM MID CAP Mid Cap
1994-05-31,235.031
1994-06-30,228.804
1994-07-29,236.626
1994-08-31,244.411
1994-09-30,234.67
1994-10-31,239.667
1994-11-30,234.064
1994-12-30,235.982
1995-01-31,232.299
1995-02-28,238.607
1995-03-31,248.631
1995-04-28,267.006
1995-05-31,273.674
1995-06-30,278.791
1995-07-31,286.382
1995-08-31,269.235
1995-09-29,276.345
1995-10-31,265.85
1995-11-30,265.172
1995-12-29,282.089
1996-01-31,294.145
1996-02-29,298.97
1996-03-29,297.416
1996-04-30,299.683
1996-05-31,308.68
1996-06-28,316.978
1996-07-31,316.469
1996-08-30,319.942
1996-09-30,318.491
1996-10-31,328.535
1996-11-29,342.423
1996-12-31,347.561
1997-01-31,353.25
1997-02-28,358.392
1997-03-31,364.34
1997-04-30,365.162
1997-05-30,389.261
1997-06-30,421.101
1997-07-31,425.814
1997-08-29,400.762
1997-09-30,423.86
1997-10-31,408.346
1997-11-28,403.035
1997-12-31,416.206
1998-01-30,435.03
1998-02-27,464.702
1998-03-31,497.639
1998-04-30,510.474
1998-05-29,576.617
1998-06-30,595.356
1998-07-31,587.819
1998-08-31,527.161
1998-09-30,516.781
1998-10-30,552.127
1998-11-30,575.229
1998-12-31,600.337
1999-01-29,576.935
1999-02-26,556.198
1999-03-31,518.749
1999-04-30,523.91
1999-05-31,507.724
1999-06-30,491.282
1999-07-30,483.381
1999-08-31,491.689
1999-09-30,467.751
1999-10-29,462.235
1999-11-30,445.464
1999-12-31,492.252
2000-01-31,425.372
2000-02-29,470.987
2000-03-31,468.372
2000-04-28,452.736
2000-05-31,455.628
2000-06-30,486.268
2000-07-31,476.45
2000-08-31,479.444
2000-09-29,421.782
2000-10-31,389.607
2000-11-30,391.252
2000-12-29,412.305
2001-01-31,402.692
2001-02-28,433.882
2001-03-30,403.439
2001-04-30,400.7
2001-05-31,397.318
2001-06-29,417.904
2001-07-31,439.235
2001-08-31,450.617
2001-09-28,414.074
2001-10-31,405.593
2001-11-30,418.115
2001-12-31,433.117
2002-01-31,429.335
2002-02-28,429.991
2002-03-29,438.486
2002-04-30,440.684
2002-05-31,456.512
2002-06-28,450.759
2002-07-31,397.332
2002-08-30,371.675
2002-09-30,306.245
2002-10-31,297.243
2002-11-29,325.06
2002-12-31,342.588
2003-01-31,328.534
2003-02-28,293.668
2003-03-31,289.367
2003-04-30,342.321
2003-05-30,389.508
2003-06-30,363.241
2003-07-31,353.213
2003-08-29,357.422
2003-09-30,379.928
2003-10-31,400.572
2003-11-28,412.412
2003-12-31,460.026
2004-01-30,473.548
2004-02-27,483.64
2004-03-31,467.169
2004-04-30,476.384
2004-05-31,493.341
2004-06-30,518.011
2004-07-30,513.397
2004-08-31,537.567
