Date,BELGIUM MID CAP Mid Cap
2001-01-01,412.305
2001-01-02,413.925
2001-01-03,410.999
2001-01-04,415.395
2001-01-05,420.394
2001-01-08,417.739
2001-01-09,415.113
2001-01-10,413.485
2001-01-11,416.628
2001-01-12,416.032
2001-01-15,411.715
2001-01-16,410.142
2001-01-17,407.563
2001-01-18,412.507
2001-01-19,410.937
2001-01-22,411.808
2001-01-23,413.032
2001-01-24,404.305
2001-01-25,402.56
2001-01-26,403.289
2001-01-29,399.539
2001-01-30,400.417
2001-01-31,402.692
2001-02-01,411.859
2001-02-02,411.643
2001-02-05,426.493
2001-02-06,431.142
2001-02-07,429.763
2001-02-08,417.564
2001-02-09,425.28
2001-02-12,428.583
2001-02-13,432.608
2001-02-14,427.962
2001-02-15,423.706
2001-02-16,427.002
2001-02-19,428.892
2001-02-20,424.254
2001-02-21,427.546
2001-02-22,424.611
2001-02-23,423.72
2001-02-26,427.388
2001-02-27,431.679
2001-02-28,433.882
2001-03-01,438.954
2001-03-02,442.079
2001-03-05,443.426
2001-03-06,446.546
2001-03-07,443.241
2001-03-08,443.303
2001-03-09,441.054
2001-03-12,438.811
2001-03-13,425.395
2001-03-14,415.111
2001-03-15,410.429
2001-03-16,395.788
2001-03-19,395.619
2001-03-20,399.059
2001-03-21,386.774
2001-03-22,365.35
2001-03-23,371.379
2001-03-26,383.603
2001-03-27,391.481
2001-03-28,394.385
2001-03-29,394.31
2001-03-30,403.439
2001-04-02,408.417
2001-04-03,407.771
2001-04-04,411.185
2001-04-05,413.324
2001-04-06,416.322
2001-04-09,417.877
2001-04-10,416.489
2001-04-11,415.037
2001-04-12,414.65
2001-04-13,414.65
2001-04-16,410.403
2001-04-17,410.252
2001-04-18,404.635
2001-04-19,408.782
2001-04-20,409.535
2001-04-23,400.191
2001-04-24,397.512
2001-04-25,398.174
2001-04-26,401.457
2001-04-27,398.008
2001-04-30,400.7
2001-05-01,402.824
2001-05-02,403.631
2001-05-03,399.731
2001-05-04,397.379
2001-05-07,395.886
2001-05-08,394.873
2001-05-09,392.783
2001-05-10,396.105
2001-05-11,393.977
2001-05-14,389.993
2001-05-15,390.759
2001-05-16,390.33
2001-05-17,387.697
2001-05-18,389.445
2001-05-21,383.459
2001-05-22,386.762
2001-05-23,388.54
2001-05-24,385.977
2001-05-25,387.525
2001-05-28,388.014
2001-05-29,388.357
2001-05-30,391.735
2001-05-31,397.318
2001-06-01,393.769
2001-06-04,394.304
2001-06-05,409.49
2001-06-06,420.518
2001-06-07,420.576
2001-06-08,421.638
2001-06-11,416.018
2001-06-12,417.316
2001-06-13,423.285
2001-06-14,422.945
2001-06-15,420.06
2001-06-18,420.753
2001-06-19,420.847
2001-06-20,420.876
2001-06-21,421.963
2001-06-22,424.68
2001-06-25,424.122
2001-06-26,423.997
2001-06-27,425.257
2001-06-28,420.111
2001-06-29,417.904
2001-07-02,414.173
2001-07-03,414.338
2001-07-04,408.297
2001-07-05,408.913
2001-07-06,410.448
2001-07-09,416.21
2001-07-10,420.076
2001-07-11,420.399
2001-07-12,417.161
2001-07-13,420.483
2001-07-16,420.858
2001-07-17,418.335
2001-07-18,430.956
2001-07-19,432.27
2001-07-20,435.515
2001-07-23,433.683
2001-07-24,437.745
2001-07-25,437.105
2001-07-26,435.917
2001-07-27,434.496
2001-07-30,438.156
2001-07-31,439.235
2001-08-01,441.778
2001-08-02,441.918
