Date,BELGIUM MID CAP Mid Cap
1994-05-31,254.099
1994-06-30,246.821
1994-07-29,255.196
1994-08-31,263.591
1994-09-30,253.086
1994-10-31,258.412
1994-11-30,252.371
1994-12-30,254.386
1995-01-31,250.416
1995-02-28,257.215
1995-03-31,268.022
1995-04-28,287.83
1995-05-31,294.074
1995-06-30,298.705
1995-07-31,306.838
1995-08-31,288.466
1995-09-29,296.084
1995-10-31,284.767
1995-11-30,284.04
1995-12-29,302.096
1996-01-31,315.007
1996-02-29,320.175
1996-03-29,318.511
1996-04-30,320.938
1996-05-31,329.898
1996-06-28,337.893
1996-07-31,337.258
1996-08-30,340.958
1996-09-30,339.412
1996-10-31,350.026
1996-11-29,364.794
1996-12-31,370.226
1997-01-31,376.286
1997-02-28,381.764
1997-03-31,388.1
1997-04-30,388.976
1997-05-30,413.439
1997-06-30,446.01
1997-07-31,450.959
1997-08-29,424.428
1997-09-30,448.197
1997-10-31,431.718
1997-11-28,426.103
1997-12-31,440.028
1998-01-30,459.909
1998-02-27,491.278
1998-03-31,525.966
1998-04-30,539.531
1998-05-29,608.285
1998-06-30,627.207
1998-07-31,619.267
1998-08-31,555.363
1998-09-30,544.429
1998-10-30,581.554
1998-11-30,605.887
1998-12-31,632.333
1999-01-29,607.683
1999-02-26,585.841
1999-03-31,546.397
1999-04-30,551.832
1999-05-31,534.362
1999-06-30,516.576
1999-07-30,508.269
1999-08-31,517.005
1999-09-30,491.834
1999-10-29,485.95
1999-11-30,468.319
1999-12-31,517.507
2000-01-31,447.196
2000-02-29,495.151
2000-03-31,492.402
2000-04-28,475.964
2000-05-31,478.602
2000-06-30,510.248
2000-07-31,499.946
2000-08-31,503.087
2000-09-29,442.582
2000-10-31,408.82
2000-11-30,410.546
2000-12-29,432.389
2001-01-31,422.062
2001-02-28,454.752
2001-03-30,422.845
2001-04-30,419.543
2001-05-31,415.445
2001-06-29,435.72
2001-07-31,457.961
2001-08-31,469.828
2001-09-28,431.727
2001-10-31,422.789
2001-11-30,435.842
2001-12-31,450.939
2002-01-31,446.747
2002-02-28,447.429
2002-03-29,456.269
2002-04-30,458.407
2002-05-31,473.568
2002-06-28,466.168
2002-07-31,410.914
2002-08-30,384.38
2002-09-30,316.713
2002-10-31,307.404
2002-11-29,336.171
2002-12-31,354.298
2003-01-31,339.426
2003-02-28,303.405
2003-03-31,298.961
2003-04-30,353.67
2003-05-30,401.39
2003-06-30,372.268
2003-07-31,361.991
2003-08-29,366.305
2003-09-30,389.369
2003-10-31,410.527
2003-11-28,422.661
2003-12-31,471.459
2004-01-30,484.878
2004-02-27,495.211
2004-03-31,478.346
2004-04-30,487.782
2004-05-31,504.39
2004-06-30,527.627
2004-07-30,522.927
2004-08-31,547.546
2004-09-30,606.169
2004-10-29,631.957
2004-11-30,682.861
2004-12-31,693.854
2005-01-31,684.364
2005-02-28,730.615
2005-03-31,702.53
2005-04-29,682.746
2005-05-31,647.782
2005-06-30,651.835
2005-07-29,678.477
2005-08-31,684.705
2005-09-30,699.11
2005-10-31,675.406
2005-11-30,678.756
2005-12-30,685.553
2006-01-31,727.377
2006-02-28,710.381
2006-03-31,736.597
2006-04-28,759.971
2006-05-31,740.132
2006-06-30,761.765
2006-07-31,794.589
2006-08-31,812.697
2006-09-29,858.966
2006-10-31,853.95
2006-11-30,887.739
2006-12-29,948.588
2007-01-31,943.92
2007-02-28,919.157
