Date,SWITZERLAND MID VALUE Mid Cap
1994-05-31,467.402
1994-06-30,475.208
1994-07-29,473.819
1994-08-31,478.098
1994-09-30,490.8
1994-10-31,479.17
1994-11-30,466.148
1994-12-30,471.108
1995-01-31,451.857
1995-02-28,466.879
1995-03-31,489.369
1995-04-28,520.894
1995-05-31,533.824
1995-06-30,555.876
1995-07-31,539.608
1995-08-31,510.81
1995-09-29,551.157
1995-10-31,551.419
1995-11-30,536.654
1995-12-29,568.069
1996-01-31,556.581
1996-02-29,553.166
1996-03-29,577.494
1996-04-30,558.776
1996-05-31,545.55
1996-06-28,555.186
1996-07-31,539.595
1996-08-30,546.288
1996-09-30,531.794
1996-10-31,536.662
1996-11-29,539.076
1996-12-31,515.044
1997-01-31,501.862
1997-02-28,504.904
1997-03-31,541.614
1997-04-30,552.312
1997-05-30,603.32
1997-06-30,635.922
1997-07-31,634.202
1997-08-29,605.721
1997-09-30,681.532
1997-10-31,699.956
1997-11-28,701.031
1997-12-31,720.964
1998-01-30,745.85
1998-02-27,828.041
1998-03-31,859.855
1998-04-30,915.864
1998-05-29,991.41
1998-06-30,987.806
1998-07-31,1066.593
1998-08-31,854.733
1998-09-30,722.091
1998-10-30,876.418
1998-11-30,921.815
1998-12-31,964.178
1999-01-29,904.042
1999-02-26,862.183
1999-03-31,895.765
1999-04-30,902.492
1999-05-31,855.081
1999-06-30,866.015
1999-07-30,880.787
1999-08-31,884.653
1999-09-30,895.505
1999-10-29,910.5
1999-11-30,862.74
1999-12-31,902.187
2000-01-31,909.546
2000-02-29,867.79
2000-03-31,903.869
2000-04-28,893.838
2000-05-31,914.889
2000-06-30,951.015
2000-07-31,981.391
2000-08-31,979.9
2000-09-29,927.778
2000-10-31,902.317
2000-11-30,921.589
2000-12-29,1025.52
2001-01-31,1031.534
2001-02-28,1028.251
2001-03-30,943.087
2001-04-30,929.311
2001-05-31,899.102
2001-06-29,870.564
2001-07-31,871.443
2001-08-31,865.606
2001-09-28,736.406
2001-10-31,762.816
2001-11-30,790.644
2001-12-31,803.633
2002-01-31,797.456
2002-02-28,788.232
2002-03-29,862.428
2002-04-30,905.346
2002-05-31,946.548
2002-06-28,903.856
2002-07-31,731.501
2002-08-30,732.386
2002-09-30,618.937
2002-10-31,639.806
2002-11-29,684.643
2002-12-31,635.102
2003-01-31,555.476
2003-02-28,471.019
2003-03-31,475.291
2003-04-30,501.702
2003-05-30,490.806
2003-06-30,478.316
2003-07-31,563.856
2003-08-29,628.489
2003-09-30,615.482
2003-10-31,620.924
2003-11-28,653.087
2003-12-31,693.914
2004-01-30,696.976
2004-02-27,661.757
2004-03-31,599.907
2004-04-30,577.56
2004-05-31,592.017
2004-06-30,645.85
2004-07-30,563.86
2004-08-31,513.585
2004-09-30,550.814
2004-10-29,597.37
2004-11-30,621.147
2004-12-31,673.562
2005-01-31,673.735
2005-02-28,677.741
2005-03-31,652.489
2005-04-29,606.283
2005-05-31,587.265
2005-06-30,581.93
2005-07-29,609.781
2005-08-31,620.397
2005-09-30,623.903
2005-10-31,631.09
2005-11-30,646.844
2005-12-30,702.002
2006-01-31,738.876
2006-02-28,747.522
2006-03-31,786.574
2006-04-28,839.35
2006-05-31,807.742
2006-06-30,799.692
2006-07-31,792.701
2006-08-31,826.556
2006-09-29,828.456
2006-10-31,838.065
2006-11-30,883.409
2006-12-29,904.568
2007-01-31,920.516
2007-02-28,927.779
2007-03-30,948.374
2007-04-30,985.306
2007-05-31,1000.0
2007-06-29,991.447
2007-07-31,933.083
2007-08-31,884.832
2007-09-28,917.562
2007-10-31,955.655
2007-11-30,947.185
2007-12-31,872.707
2008-01-31,814.677
2008-02-29,844.691
2008-03-31,904.733
