Date,SWITZERLAND MID VALUE Mid Cap
2001-01-01,989.679
2001-01-02,997.559
2001-01-03,1005.923
2001-01-04,1003.267
2001-01-05,1010.652
2001-01-08,1020.8
2001-01-09,1009.856
2001-01-10,1001.847
2001-01-11,1005.057
2001-01-12,997.48
2001-01-15,992.288
2001-01-16,993.233
2001-01-17,989.472
2001-01-18,1010.975
2001-01-19,990.947
2001-01-22,984.533
2001-01-23,986.832
2001-01-24,977.915
2001-01-25,982.416
2001-01-26,984.339
2001-01-29,985.865
2001-01-30,988.864
2001-01-31,995.483
2001-02-01,1008.157
2001-02-02,1001.982
2001-02-05,1015.958
2001-02-06,1014.793
2001-02-07,1013.525
2001-02-08,1001.292
2001-02-09,1007.024
2001-02-12,1009.392
2001-02-13,1001.326
2001-02-14,1000.03
2001-02-15,987.616
2001-02-16,990.499
2001-02-19,996.121
2001-02-20,984.599
2001-02-21,988.515
2001-02-22,980.493
2001-02-23,980.807
2001-02-26,983.523
2001-02-27,990.944
2001-02-28,992.315
2001-03-01,992.554
2001-03-02,996.17
2001-03-05,992.26
2001-03-06,1000.33
2001-03-07,1002.902
2001-03-08,1001.26
2001-03-09,1002.589
2001-03-12,991.791
2001-03-13,970.433
2001-03-14,947.628
2001-03-15,951.377
2001-03-16,936.44
2001-03-19,922.542
2001-03-20,925.69
2001-03-21,902.355
2001-03-22,861.199
2001-03-23,881.57
2001-03-26,899.702
2001-03-27,903.499
2001-03-28,901.749
2001-03-29,902.696
2001-03-30,910.804
2001-04-02,902.855
2001-04-03,888.281
2001-04-04,895.135
2001-04-05,903.641
2001-04-06,901.554
2001-04-09,903.287
2001-04-10,902.786
2001-04-11,897.85
2001-04-12,912.344
2001-04-13,912.344
2001-04-16,903.064
2001-04-17,898.01
2001-04-18,885.636
2001-04-19,899.703
2001-04-20,906.464
2001-04-23,900.808
2001-04-24,900.978
2001-04-25,900.069
2001-04-26,905.783
2001-04-27,900.937
2001-04-30,898.59
2001-05-01,901.265
2001-05-02,905.547
2001-05-03,899.035
2001-05-04,901.359
2001-05-07,903.165
2001-05-08,899.79
2001-05-09,898.662
2001-05-10,895.812
2001-05-11,892.683
2001-05-14,893.98
2001-05-15,904.064
2001-05-16,916.329
2001-05-17,922.722
2001-05-18,918.948
2001-05-21,915.024
2001-05-22,905.607
2001-05-23,895.001
2001-05-24,892.787
2001-05-25,885.628
2001-05-28,883.759
2001-05-29,880.12
2001-05-30,877.778
2001-05-31,872.218
2001-06-01,873.83
2001-06-04,875.828
2001-06-05,886.766
2001-06-06,886.646
2001-06-07,890.699
2001-06-08,884.574
2001-06-11,875.654
2001-06-12,871.756
2001-06-13,874.766
2001-06-14,877.654
2001-06-15,880.485
2001-06-18,871.141
2001-06-19,866.481
2001-06-20,850.917
2001-06-21,850.754
2001-06-22,848.708
2001-06-25,855.393
2001-06-26,849.762
2001-06-27,845.576
2001-06-28,840.078
2001-06-29,844.663
2001-07-02,844.706
2001-07-03,842.02
2001-07-04,837.074
2001-07-05,824.455
2001-07-06,826.929
2001-07-09,828.916
2001-07-10,825.641
2001-07-11,821.93
2001-07-12,826.825
2001-07-13,827.784
2001-07-16,824.257
2001-07-17,819.725
2001-07-18,847.686
2001-07-19,858.984
2001-07-20,856.46
2001-07-23,849.742
2001-07-24,845.61
2001-07-25,843.874
2001-07-26,842.23
2001-07-27,840.633
2001-07-30,849.483
2001-07-31,845.515
2001-08-01,853.54
2001-08-02,862.037
2001-08-03,865.138
2001-08-06,858.966
2001-08-07,859.289
2001-08-08,854.167
2001-08-09,853.245
2001-08-10,857.118
2001-08-13,867.211
2001-08-14,866.737
2001-08-15,871.754
2001-08-16,863.485
2001-08-17,860.663
2001-08-20,850.586
2001-08-21,851.046
2001-08-22,855.147
2001-08-23,846.466
2001-08-24,851.616
2001-08-27,847.824
2001-08-28,844.621
2001-08-29,834.55
2001-08-30,841.835
2001-08-31,839.852
2001-09-03,823.408
2001-09-04,812.448
2001-09-05,805.596
2001-09-06,804.774
2001-09-07,804.804
2001-09-10,790.059
2001-09-11,761.65
2001-09-12,764.311
2001-09-13,772.396
2001-09-14,760.546
2001-09-17,766.562
2001-09-18,755.991
2001-09-19,753.909
2001-09-20,718.049
2001-09-21,681.36
2001-09-24,691.156
2001-09-25,711.877
2001-09-26,715.493
2001-09-27,702.776
2001-09-28,714.497
2001-10-01,705.787
2001-10-02,701.28
2001-10-03,694.672
2001-10-04,701.062
2001-10-05,700.99
2001-10-08,703.707
2001-10-09,710.396
2001-10-10,709.515
2001-10-11,717.172
2001-10-12,717.282
2001-10-15,717.804
2001-10-16,723.115
2001-10-17,734.118
2001-10-18,735.881
2001-10-19,724.218
2001-10-22,720.227
2001-10-23,729.899
