Date,SWITZERLAND MID VALUE Mid Cap
1994-05-31,437.19
1994-06-30,446.92
1994-07-29,445.749
1994-08-31,449.775
1994-09-30,461.724
1994-10-31,450.783
1994-11-30,438.533
1994-12-30,443.199
1995-01-31,425.345
1995-02-28,439.486
1995-03-31,460.656
1995-04-28,490.55
1995-05-31,502.951
1995-06-30,523.955
1995-07-31,510.257
1995-08-31,483.025
1995-09-29,521.177
1995-10-31,521.425
1995-11-30,507.464
1995-12-29,537.169
1996-01-31,526.306
1996-02-29,523.077
1996-03-29,546.082
1996-04-30,529.111
1996-05-31,516.587
1996-06-28,526.187
1996-07-31,512.861
1996-08-30,519.222
1996-09-30,505.447
1996-10-31,510.074
1996-11-29,512.369
1996-12-31,489.527
1997-01-31,476.998
1997-02-28,479.889
1997-03-31,514.781
1997-04-30,525.268
1997-05-30,574.737
1997-06-30,606.427
1997-07-31,606.388
1997-08-29,579.156
1997-09-30,652.624
1997-10-31,670.267
1997-11-28,671.297
1997-12-31,690.384
1998-01-30,714.214
1998-02-27,792.919
1998-03-31,824.125
1998-04-30,877.806
1998-05-29,951.492
1998-06-30,949.753
1998-07-31,1026.566
1998-08-31,822.657
1998-09-30,694.993
1998-10-30,843.528
1998-11-30,887.222
1998-12-31,927.994
1999-01-29,870.115
1999-02-26,829.827
1999-03-31,862.517
1999-04-30,869.161
1999-05-31,823.657
1999-06-30,834.518
1999-07-30,848.754
1999-08-31,852.479
1999-09-30,862.936
1999-10-29,877.386
1999-11-30,831.363
1999-12-31,869.375
2000-01-31,876.467
2000-02-29,836.228
2000-03-31,871.252
2000-04-28,861.584
2000-05-31,882.639
2000-06-30,917.778
2000-07-31,947.093
2000-08-31,945.654
2000-09-29,895.353
2000-10-31,870.782
2000-11-30,889.381
2000-12-29,989.679
2001-01-31,995.483
2001-02-28,992.315
2001-03-30,910.804
2001-04-30,898.59
2001-05-31,872.218
2001-06-29,844.663
2001-07-31,845.515
2001-08-31,839.852
2001-09-28,714.497
2001-10-31,740.121
2001-11-30,767.12
