Date,SWEDEN SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,98.485
2001-01-03,94.34
2001-01-04,97.355
2001-01-05,98.759
2001-01-08,96.216
2001-01-09,95.111
2001-01-10,95.229
2001-01-11,96.994
2001-01-12,97.835
2001-01-15,98.186
2001-01-16,97.541
2001-01-17,98.325
2001-01-18,101.15
2001-01-19,101.706
2001-01-22,100.801
2001-01-23,100.76
2001-01-24,100.493
2001-01-25,99.306
2001-01-26,99.225
2001-01-29,101.89
2001-01-30,104.284
2001-01-31,107.807
2001-02-01,107.575
2001-02-02,106.638
2001-02-05,105.675
2001-02-06,106.133
2001-02-07,105.065
2001-02-08,103.302
2001-02-09,102.134
2001-02-12,101.42
2001-02-13,100.648
2001-02-14,97.761
2001-02-15,98.742
2001-02-16,98.875
2001-02-19,98.819
2001-02-20,97.618
2001-02-21,96.506
2001-02-22,93.447
2001-02-23,93.247
2001-02-26,95.854
2001-02-27,96.198
2001-02-28,96.57
2001-03-01,96.589
2001-03-02,97.92
2001-03-05,97.653
2001-03-06,99.008
2001-03-07,98.983
2001-03-08,98.912
2001-03-09,97.751
2001-03-12,93.57
2001-03-13,90.053
2001-03-14,86.816
2001-03-15,87.06
2001-03-16,84.418
2001-03-19,83.469
2001-03-20,84.826
2001-03-21,83.104
2001-03-22,78.972
2001-03-23,82.0
2001-03-26,85.022
2001-03-27,86.272
2001-03-28,85.15
2001-03-29,83.581
2001-03-30,83.889
2001-04-02,84.605
2001-04-03,82.857
2001-04-04,82.797
2001-04-05,85.563
2001-04-06,85.431
2001-04-09,86.723
2001-04-10,87.022
2001-04-11,86.479
2001-04-12,87.301
2001-04-13,87.301
2001-04-16,86.386
2001-04-17,84.704
2001-04-18,85.594
2001-04-19,88.278
2001-04-20,88.399
2001-04-23,87.312
2001-04-24,87.39
2001-04-25,87.682
2001-04-26,88.75
2001-04-27,88.583
2001-04-30,90.2
2001-05-01,90.577
2001-05-02,90.832
2001-05-03,91.178
2001-05-04,90.867
2001-05-07,91.342
2001-05-08,89.549
2001-05-09,89.818
2001-05-10,91.687
2001-05-11,91.179
2001-05-14,90.505
2001-05-15,91.095
2001-05-16,90.982
2001-05-17,92.402
2001-05-18,93.217
2001-05-21,93.998
2001-05-22,93.697
2001-05-23,93.333
2001-05-24,93.032
2001-05-25,92.575
2001-05-28,93.103
2001-05-29,92.744
2001-05-30,91.544
2001-05-31,90.788
2001-06-01,90.356
2001-06-04,89.886
2001-06-05,90.65
2001-06-06,90.352
2001-06-07,89.709
2001-06-08,89.726
2001-06-11,88.688
2001-06-12,86.895
2001-06-13,88.044
2001-06-14,87.996
2001-06-15,87.772
2001-06-18,88.065
2001-06-19,87.547
2001-06-20,84.771
2001-06-21,85.176
2001-06-22,85.354
2001-06-25,86.091
2001-06-26,85.363
2001-06-27,85.811
2001-06-28,85.755
2001-06-29,86.828
2001-07-02,85.637
2001-07-03,86.08
2001-07-04,86.272
2001-07-05,84.499
2001-07-06,83.865
2001-07-09,83.543
2001-07-10,84.432
2001-07-11,84.438
2001-07-12,85.512
2001-07-13,85.423
2001-07-16,84.673
2001-07-17,82.306
