Date,NEW ZEALAND SMALL GROWTH Small Cap
2013-12-31,1352.103
2014-01-31,1411.607
2014-02-28,1461.326
2014-03-31,1561.709
2014-04-30,1489.986
2014-05-30,1508.282
2014-06-30,1550.534
2014-07-31,1489.133
2014-08-29,1507.182
2014-09-30,1415.123
2014-10-31,1483.892
2014-11-28,1496.697
2014-12-31,1563.413
2015-01-30,1467.052
2015-02-27,1639.854
2015-03-31,1597.892
2015-04-30,1618.116
2015-05-29,1534.127
2015-06-30,1413.949
2015-07-31,1452.532
2015-08-31,1291.019
2015-09-30,1316.404
2015-10-30,1490.391
2015-11-30,1517.464
2015-12-31,1702.484
2016-01-29,1554.737
2016-02-29,1597.091
2016-03-31,1820.759
2016-04-29,1799.027
2016-05-31,1871.679
2016-06-30,1937.032
2016-07-29,2079.681
2016-08-31,2044.693
2016-09-30,2022.207
2016-10-31,1810.99
2016-11-30,1810.239
2016-12-30,1773.762
2017-01-31,1903.244
2017-02-28,1960.125
2017-03-31,2027.957
2017-04-28,2079.116
2017-05-31,2215.071
2017-06-30,2373.39
2017-07-31,2455.509
2017-08-31,2486.578
2017-09-29,2682.188
2017-10-31,2783.09
2017-11-30,2778.717
2017-12-29,2885.311
2018-01-31,3176.774
2018-02-28,3519.848
2018-03-30,3473.281
2018-04-30,3389.811
2018-05-31,3310.501
2018-06-29,3260.436
2018-07-31,3250.282
2018-08-31,3205.085
2018-09-28,3256.183
2018-10-31,3029.586
2018-11-30,3212.521
2018-12-31,3123.182
2019-01-31,3307.544
2019-02-28,3334.023
2019-03-29,3469.561
2019-04-30,3338.173
2019-05-31,3238.348
2019-06-28,3497.949
2019-07-31,3506.398
2019-08-30,3379.805
2019-09-30,3394.849
2019-10-31,3410.936
2019-11-29,3524.418
2019-12-31,3760.918
2020-01-31,3717.274
2020-02-28,3334.131
2020-03-31,2734.734
2020-04-30,3090.659
2020-05-29,3218.75
2020-06-30,3388.116
2020-07-31,3557.231
2020-08-31,3881.979
2020-09-30,3887.331
2020-10-30,4080.004
2020-11-30,4309.071
2020-12-31,4643.305
2021-01-29,4451.324
2021-02-26,4209.122
2021-03-31,4096.38
2021-04-30,4183.12
2021-05-31,4240.043
2021-06-30,4233.381
2021-07-30,4195.428
2021-08-31,4531.185
2021-09-30,4485.788
2021-10-29,4624.235
2021-11-30,4110.715
2021-12-31,4248.981
2022-01-31,3834.876
2022-02-28,4025.994
2022-03-31,4148.324
2022-04-29,3817.272
2022-05-31,3635.188
2022-06-30,3299.878
2022-07-29,3494.729
2022-08-31,3623.328
2022-09-30,3195.656
2022-10-31,3294.055
2022-11-30,3481.443
2022-12-30,3551.263
2023-01-31,3777.857
2023-02-28,3530.231
2023-03-31,3447.719
2023-04-28,3368.018
2023-05-31,3390.639
2023-06-30,3473.655
2023-07-31,3602.506
2023-08-31,3337.929
2023-09-29,3265.931
2023-10-31,2981.97
2023-11-30,3169.836
2023-12-29,3352.299
2024-01-31,3366.772
2024-02-29,3299.16
2024-03-29,3427.465
2024-04-30,3398.919
2024-05-31,3521.29
2024-06-28,3580.184
2024-07-31,3500.463
2024-08-30,3726.033
2024-09-30,4053.061
2024-10-31,3889.151
2024-11-29,4013.295
2024-12-31,3832.894
2025-01-31,3952.409
2025-02-28,3976.466
2025-03-31,3877.167
2025-04-30,3945.608
2025-05-30,4092.809
