Date,NEW ZEALAND SMALL GROWTH Small Cap
2001-01-01,167.253
2001-01-02,166.989
2001-01-03,168.961
2001-01-04,169.478
2001-01-05,172.56
2001-01-08,171.168
2001-01-09,171.788
2001-01-10,171.017
2001-01-11,172.48
2001-01-12,171.034
2001-01-15,171.173
2001-01-16,172.209
2001-01-17,170.871
2001-01-18,173.303
2001-01-19,176.335
2001-01-22,177.592
2001-01-23,177.539
2001-01-24,176.93
2001-01-25,174.53
2001-01-26,173.749
2001-01-29,172.925
2001-01-30,176.022
2001-01-31,177.657
2001-02-01,181.732
2001-02-02,180.499
2001-02-05,179.923
2001-02-06,179.943
2001-02-07,180.008
2001-02-08,179.876
2001-02-09,178.801
2001-02-12,176.667
2001-02-13,177.274
2001-02-14,173.553
2001-02-15,169.22
2001-02-16,173.558
2001-02-19,174.067
2001-02-20,174.031
2001-02-21,174.955
2001-02-22,173.445
2001-02-23,174.34
2001-02-26,173.255
2001-02-27,174.689
2001-02-28,172.5
2001-03-01,174.937
2001-03-02,177.482
2001-03-05,176.197
2001-03-06,174.701
2001-03-07,173.235
2001-03-08,171.635
2001-03-09,171.501
2001-03-12,170.812
2001-03-13,168.025
2001-03-14,166.892
2001-03-15,165.386
2001-03-16,166.421
2001-03-19,165.312
2001-03-20,168.092
2001-03-21,165.281
2001-03-22,163.271
2001-03-23,166.532
2001-03-26,164.806
2001-03-27,165.369
2001-03-28,163.807
2001-03-29,165.499
2001-03-30,164.961
2001-04-02,165.385
2001-04-03,164.587
2001-04-04,164.627
2001-04-05,163.334
2001-04-06,162.927
2001-04-09,163.42
2001-04-10,162.542
2001-04-11,162.191
2001-04-12,163.61
2001-04-13,163.61
2001-04-16,163.894
2001-04-17,163.123
2001-04-18,161.958
2001-04-19,164.319
2001-04-20,168.687
2001-04-23,165.09
2001-04-24,163.985
2001-04-25,164.991
2001-04-26,165.704
2001-04-27,165.507
2001-04-30,166.791
2001-05-01,169.077
2001-05-02,171.895
2001-05-03,172.263
2001-05-04,170.849
2001-05-07,170.686
2001-05-08,170.042
2001-05-09,171.721
2001-05-10,173.361
2001-05-11,173.019
2001-05-14,172.889
2001-05-15,173.37
2001-05-16,175.472
2001-05-17,179.202
2001-05-18,180.151
2001-05-21,180.439
2001-05-22,178.937
2001-05-23,176.077
2001-05-24,177.336
2001-05-25,178.11
2001-05-28,176.947
2001-05-29,175.779
2001-05-30,172.401
2001-05-31,168.421
2001-06-01,168.369
2001-06-04,167.939
2001-06-05,170.072
2001-06-06,173.139
2001-06-07,175.16
2001-06-08,175.04
2001-06-11,173.585
2001-06-12,173.961
2001-06-13,176.331
2001-06-14,173.565
2001-06-15,172.395
2001-06-18,170.263
2001-06-19,171.036
2001-06-20,171.335
2001-06-21,172.545
2001-06-22,172.693
2001-06-25,171.46
2001-06-26,173.341
2001-06-27,173.891
2001-06-28,174.427
2001-06-29,173.462
2001-07-02,174.029
2001-07-03,172.119
2001-07-04,168.976
2001-07-05,170.121
2001-07-06,170.557
2001-07-09,171.849
2001-07-10,171.587
2001-07-11,170.003
2001-07-12,170.044
2001-07-13,171.49
2001-07-16,171.544
2001-07-17,170.205
2001-07-18,172.73
2001-07-19,174.219
2001-07-20,172.933
2001-07-23,174.703
2001-07-24,174.368
2001-07-25,174.459
2001-07-26,176.444
2001-07-27,174.777
2001-07-30,174.297
2001-07-31,172.598
2001-08-01,175.013
2001-08-02,177.164
2001-08-03,178.356
2001-08-06,177.207
2001-08-07,177.105
2001-08-08,178.764
2001-08-09,179.891
2001-08-10,181.874
2001-08-13,182.85
2001-08-14,181.608
2001-08-15,185.395
2001-08-16,186.503
2001-08-17,188.634
2001-08-20,186.23
2001-08-21,185.266
2001-08-22,186.33
2001-08-23,186.637
2001-08-24,188.331
2001-08-27,189.042
2001-08-28,188.964
2001-08-29,189.695
2001-08-30,189.616
2001-08-31,185.924
2001-09-03,185.773
2001-09-04,182.622
2001-09-05,182.114
2001-09-06,181.511
2001-09-07,179.994
2001-09-10,175.484
2001-09-11,177.288
2001-09-12,169.495
2001-09-13,169.078
2001-09-14,166.491
2001-09-17,155.444
2001-09-18,157.48
2001-09-19,157.443
2001-09-20,155.843
2001-09-21,150.039
2001-09-24,149.699
2001-09-25,152.761
2001-09-26,153.78
2001-09-27,152.715
2001-09-28,157.389
2001-10-01,156.524
2001-10-02,157.397
2001-10-03,161.785
2001-10-04,163.983
2001-10-05,165.656
2001-10-08,166.013
2001-10-09,164.185
2001-10-10,162.569
2001-10-11,163.818
2001-10-12,167.421
2001-10-15,170.874
2001-10-16,173.175
2001-10-17,172.767
2001-10-18,169.246
2001-10-19,169.264
2001-10-22,169.427
2001-10-23,171.117
2001-10-24,174.085
2001-10-25,173.131
2001-10-26,173.947
2001-10-29,174.569
2001-10-30,174.047
2001-10-31,173.246
2001-11-01,174.589
2001-11-02,176.274
2001-11-05,177.739
2001-11-06,180.151
2001-11-07,181.711
2001-11-08,178.725
2001-11-09,178.911
2001-11-12,181.253
2001-11-13,183.188
2001-11-14,183.123
2001-11-15,181.843
2001-11-16,180.228
2001-11-19,181.016
2001-11-20,181.677
2001-11-21,178.836
2001-11-22,176.997
2001-11-23,174.641
2001-11-26,177.802
2001-11-27,180.093
2001-11-28,178.316
2001-11-29,177.75
2001-11-30,179.204
2001-12-03,177.557
2001-12-04,176.19
2001-12-05,178.05
2001-12-06,179.854
2001-12-07,181.062
2001-12-10,180.179
2001-12-11,181.835
2001-12-12,182.06
2001-12-13,181.479
2001-12-14,179.701
2001-12-17,179.99
2001-12-18,179.381
2001-12-19,179.413
2001-12-20,178.962
2001-12-21,180.403
2001-12-24,181.713
2001-12-25,181.713
2001-12-26,181.845
2001-12-27,181.077
