Date,NEW ZEALAND SMALL GROWTH Small Cap
2001-01-01,179.163
2001-01-02,178.88
2001-01-03,180.993
2001-01-04,181.546
2001-01-05,184.848
2001-01-08,183.356
2001-01-09,184.021
2001-01-10,183.195
2001-01-11,184.762
2001-01-12,183.213
2001-01-15,183.362
2001-01-16,184.472
2001-01-17,183.039
2001-01-18,185.644
2001-01-19,188.892
2001-01-22,190.239
2001-01-23,190.181
2001-01-24,189.529
2001-01-25,186.958
2001-01-26,186.122
2001-01-29,185.239
2001-01-30,188.557
2001-01-31,190.308
2001-02-01,194.673
2001-02-02,193.352
2001-02-05,192.735
2001-02-06,192.757
2001-02-07,192.826
2001-02-08,192.685
2001-02-09,191.533
2001-02-12,189.247
2001-02-13,189.897
2001-02-14,185.912
2001-02-15,181.271
2001-02-16,185.917
2001-02-19,186.462
2001-02-20,186.424
2001-02-21,187.414
2001-02-22,185.796
2001-02-23,186.754
2001-02-26,185.593
2001-02-27,187.129
2001-02-28,184.784
2001-03-01,187.394
2001-03-02,190.12
2001-03-05,188.744
2001-03-06,187.141
2001-03-07,185.571
2001-03-08,183.858
2001-03-09,183.714
2001-03-12,182.976
2001-03-13,179.99
2001-03-14,178.777
2001-03-15,177.163
2001-03-16,178.241
2001-03-19,177.024
2001-03-20,180.001
2001-03-21,176.991
2001-03-22,174.839
2001-03-23,178.33
2001-03-26,176.418
2001-03-27,177.02
2001-03-28,175.348
2001-03-29,177.159
2001-03-30,176.455
2001-04-02,176.753
2001-04-03,175.901
2001-04-04,175.943
2001-04-05,174.561
2001-04-06,174.126
2001-04-09,174.653
2001-04-10,173.715
2001-04-11,173.339
2001-04-12,174.857
2001-04-13,174.857
2001-04-16,175.16
2001-04-17,174.335
2001-04-18,173.091
2001-04-19,175.614
2001-04-20,180.282
2001-04-23,176.438
2001-04-24,175.257
2001-04-25,176.332
2001-04-26,177.094
2001-04-27,176.883
2001-04-30,178.256
2001-05-01,180.698
2001-05-02,183.71
2001-05-03,184.104
2001-05-04,182.593
2001-05-07,182.419
2001-05-08,181.73
2001-05-09,183.525
2001-05-10,185.277
2001-05-11,184.912
2001-05-14,184.773
2001-05-15,185.287
2001-05-16,187.534
2001-05-17,191.52
2001-05-18,192.534
2001-05-21,192.843
2001-05-22,191.237
2001-05-23,188.18
2001-05-24,189.526
2001-05-25,190.352
2001-05-28,189.11
2001-05-29,187.861
2001-05-30,184.251
2001-05-31,179.962
2001-06-01,179.907
2001-06-04,179.447
2001-06-05,181.727
2001-06-06,185.003
2001-06-07,187.163
2001-06-08,187.035
2001-06-11,185.48
2001-06-12,185.882
2001-06-13,188.414
2001-06-14,185.459
2001-06-15,184.209
2001-06-18,181.931
2001-06-19,182.757
2001-06-20,183.076
2001-06-21,184.369
2001-06-22,184.527
2001-06-25,183.21
2001-06-26,185.22
2001-06-27,185.807
2001-06-28,186.381
2001-06-29,185.149
2001-07-02,185.754
2001-07-03,183.716
2001-07-04,180.361
2001-07-05,181.583
2001-07-06,182.048
2001-07-09,183.427
2001-07-10,183.147
2001-07-11,181.457
2001-07-12,181.501
2001-07-13,183.044
2001-07-16,183.101
2001-07-17,181.673
2001-07-18,184.367
2001-07-19,185.957
2001-07-20,184.584
2001-07-23,186.473
2001-07-24,186.116
2001-07-25,186.213
2001-07-26,188.332
2001-07-27,186.552
2001-07-30,186.04
2001-07-31,184.226
2001-08-01,186.804
2001-08-02,189.1
2001-08-03,190.372
2001-08-06,189.146
2001-08-07,189.038
2001-08-08,190.808
2001-08-09,192.011
2001-08-10,194.127
2001-08-13,195.169
2001-08-14,193.843
2001-08-15,197.886
2001-08-16,199.068
2001-08-17,201.343
2001-08-20,198.777
2001-08-21,197.748
2001-08-22,198.884
2001-08-23,199.212
2001-08-24,201.02
2001-08-27,201.633
2001-08-28,201.55
2001-08-29,202.33
2001-08-30,202.245
2001-08-31,198.308
2001-09-03,198.147
2001-09-04,194.786
2001-09-05,194.244
2001-09-06,193.601
2001-09-07,191.983
2001-09-10,187.173
2001-09-11,189.096
2001-09-12,180.784
2001-09-13,180.339
2001-09-14,177.581
2001-09-17,165.798
2001-09-18,167.969
2001-09-19,167.93
2001-09-20,166.223
2001-09-21,160.033
2001-09-24,159.67
2001-09-25,162.936
2001-09-26,164.023
2001-09-27,162.887
2001-09-28,167.815
2001-10-01,166.892
2001-10-02,167.823
2001-10-03,172.502
2001-10-04,174.845
2001-10-05,176.628
2001-10-08,177.009
2001-10-09,175.06
2001-10-10,173.337
2001-10-11,174.669
2001-10-12,178.511
