Date,NEW ZEALAND SMALL GROWTH Small Cap
1994-05-31,125.449
1994-06-30,115.937
1994-07-29,115.714
1994-08-31,117.507
1994-09-30,110.551
1994-10-31,112.33
1994-11-30,111.622
1994-12-30,111.901
1995-01-31,107.194
1995-02-28,105.471
1995-03-31,107.512
1995-04-28,120.829
1995-05-31,117.201
1995-06-30,118.35
1995-07-31,123.4
1995-08-31,121.503
1995-09-29,124.62
1995-10-31,129.159
1995-11-30,120.32
1995-12-29,128.359
1996-01-31,133.726
1996-02-29,135.898
1996-03-29,145.207
1996-04-30,148.029
1996-05-31,136.603
1996-06-28,140.258
1996-07-31,144.177
1996-08-30,152.435
1996-09-30,156.081
1996-10-31,170.022
1996-11-29,175.232
1996-12-31,173.003
1997-01-31,167.034
1997-02-28,164.454
1997-03-31,163.009
1997-04-30,168.157
1997-05-30,170.815
1997-06-30,176.375
1997-07-31,173.423
1997-08-29,168.735
1997-09-30,172.641
1997-10-31,154.522
1997-11-28,146.762
1997-12-31,141.116
1998-01-30,135.751
1998-02-27,142.029
1998-03-31,131.817
1998-04-30,129.848
1998-05-29,123.516
1998-06-30,109.425
1998-07-31,115.173
1998-08-31,104.434
1998-09-30,102.828
1998-10-30,122.903
1998-11-30,129.478
1998-12-31,142.308
1999-01-29,152.291
1999-02-26,147.809
1999-03-31,154.365
1999-04-30,160.123
1999-05-31,145.8
1999-06-30,150.42
1999-07-30,151.207
1999-08-31,147.949
1999-09-30,145.422
1999-10-29,147.171
1999-11-30,151.389
1999-12-31,165.834
2000-01-31,153.137
2000-02-29,148.543
2000-03-31,165.337
2000-04-28,153.224
2000-05-31,144.862
2000-06-30,158.349
2000-07-31,161.356
2000-08-31,156.907
2000-09-29,146.487
2000-10-31,140.456
2000-11-30,147.201
2000-12-29,167.253
2001-01-31,177.657
2001-02-28,172.5
2001-03-30,164.961
2001-04-30,166.791
2001-05-31,168.421
2001-06-29,173.462
2001-07-31,172.598
2001-08-31,185.924
2001-09-28,157.389
2001-10-31,173.246
2001-11-30,179.204
2001-12-31,181.832
2002-01-31,186.873
2002-02-28,191.85
2002-03-29,205.774
2002-04-30,203.319
2002-05-31,236.78
2002-06-28,237.529
2002-07-31,220.065
2002-08-30,234.675
2002-09-30,227.953
2002-10-31,239.574
2002-11-29,242.371
2002-12-31,255.595
2003-01-31,266.9
2003-02-28,250.492
2003-03-31,249.688
2003-04-30,280.719
2003-05-30,289.766
2003-06-30,318.143
2003-07-31,303.831
2003-08-29,317.26
2003-09-30,341.208
2003-10-31,363.626
2003-11-28,377.21
2003-12-31,403.031
2004-01-30,409.131
2004-02-27,402.126
2004-03-31,413.051
2004-04-30,412.732
2004-05-31,408.853
2004-06-30,427.552
2004-07-30,438.152
2004-08-31,450.745
2004-09-30,479.013
2004-10-29,482.518
2004-11-30,531.599
2004-12-31,567.216
2005-01-31,558.699
2005-02-28,596.822
2005-03-31,559.704
2005-04-29,552.079
2005-05-31,542.673
2005-06-30,583.719
2005-07-29,596.81
2005-08-31,613.889
2005-09-30,646.297
2005-10-31,621.55
2005-11-30,639.278
2005-12-30,623.262
2006-01-31,618.058
2006-02-28,617.551
2006-03-31,631.406
2006-04-28,671.139
2006-05-31,679.082
2006-06-30,669.611
2006-07-31,697.965
2006-08-31,694.07
2006-09-29,701.382
2006-10-31,759.222
2006-11-30,800.026
2006-12-29,871.189
2007-01-31,876.203
2007-02-28,884.912
2007-03-30,912.493
2007-04-30,1006.166
2007-05-31,1000.0
