Date,NEW ZEALAND GROWTH Standard (Large+Mid Cap)
2001-01-01,121.5
2001-01-02,121.308
2001-01-03,117.553
2001-01-04,121.869
2001-01-05,126.734
2001-01-08,126.51
2001-01-09,127.115
2001-01-10,123.292
2001-01-11,124.348
2001-01-12,128.059
2001-01-15,129.988
2001-01-16,133.973
2001-01-17,135.018
2001-01-18,137.085
2001-01-19,139.957
2001-01-22,142.719
2001-01-23,140.231
2001-01-24,132.536
2001-01-25,129.56
2001-01-26,131.539
2001-01-29,132.011
2001-01-30,136.409
2001-01-31,140.743
2001-02-01,141.711
2001-02-02,138.544
2001-02-05,132.743
2001-02-06,132.758
2001-02-07,131.054
2001-02-08,128.825
2001-02-09,131.319
2001-02-12,135.658
2001-02-13,132.239
2001-02-14,125.729
2001-02-15,122.001
2001-02-16,122.002
2001-02-19,123.399
2001-02-20,126.36
2001-02-21,124.556
2001-02-22,120.97
2001-02-23,124.002
2001-02-26,125.14
2001-02-27,124.736
2001-02-28,122.468
2001-03-01,125.753
2001-03-02,127.716
2001-03-05,127.005
2001-03-06,129.587
2001-03-07,132.822
2001-03-08,133.881
2001-03-09,134.642
2001-03-12,134.404
2001-03-13,131.567
2001-03-14,136.958
2001-03-15,138.983
2001-03-16,141.162
2001-03-19,137.524
2001-03-20,141.794
2001-03-21,137.076
2001-03-22,130.33
2001-03-23,132.682
2001-03-26,130.471
2001-03-27,130.303
2001-03-28,131.289
2001-03-29,131.67
2001-03-30,128.334
2001-04-02,129.173
2001-04-03,130.729
2001-04-04,129.744
2001-04-05,131.462
2001-04-06,131.081
2001-04-09,130.8
2001-04-10,129.939
2001-04-11,130.244
2001-04-12,130.374
2001-04-13,130.374
2001-04-16,130.63
2001-04-17,131.154
2001-04-18,133.222
2001-04-19,141.214
2001-04-20,145.575
2001-04-23,141.365
2001-04-24,141.118
2001-04-25,141.983
2001-04-26,142.488
2001-04-27,142.364
2001-04-30,143.666
2001-05-01,144.212
2001-05-02,144.904
2001-05-03,141.574
2001-05-04,138.083
2001-05-07,138.677
2001-05-08,136.581
2001-05-09,137.557
2001-05-10,138.6
2001-05-11,141.558
2001-05-14,137.909
2001-05-15,137.322
2001-05-16,136.135
2001-05-17,137.342
2001-05-18,137.914
2001-05-21,139.168
2001-05-22,137.025
2001-05-23,130.605
2001-05-24,130.701
2001-05-25,132.419
2001-05-28,132.058
2001-05-29,130.884
2001-05-30,127.068
2001-05-31,123.703
2001-06-01,124.705
2001-06-04,124.386
2001-06-05,130.166
2001-06-06,132.535
2001-06-07,131.989
2001-06-08,133.98
2001-06-11,132.187
2001-06-12,130.508
2001-06-13,130.878
