Date,NEW ZEALAND GROWTH Standard (Large+Mid Cap)
2005-10-31,422.896
2005-11-30,426.936
2005-12-30,419.44
2006-01-31,420.475
2006-02-28,418.47
2006-03-31,432.125
2006-04-28,455.762
2006-05-31,457.015
2006-06-30,438.383
2006-07-31,437.972
2006-08-31,436.829
2006-09-29,451.254
2006-10-31,478.964
2006-11-30,510.139
2006-12-29,545.846
2007-01-31,544.736
2007-02-28,527.321
2007-03-30,548.579
2007-04-30,584.685
2007-05-31,597.253
2007-06-29,626.624
2007-07-31,626.956
2007-08-31,548.831
2007-09-28,626.358
2007-10-31,613.447
2007-11-30,596.958
2007-12-31,585.931
2008-01-31,537.04
2008-02-29,523.787
2008-03-31,492.226
2008-04-30,523.843
2008-05-30,497.485
2008-06-30,401.923
2008-07-31,406.927
2008-08-29,415.618
2008-09-30,378.94
2008-10-31,299.835
2008-11-28,270.079
2008-12-31,290.502
2009-01-30,253.544
2009-02-27,227.442
2009-03-31,269.701
2009-04-30,270.227
2009-05-29,303.013
2009-06-30,305.062
2009-07-31,344.539
2009-08-31,370.805
2009-09-30,401.314
2009-10-30,424.42
2009-11-30,397.637
2009-12-31,415.37
2010-01-29,391.129
2010-02-26,387.196
2010-03-31,415.028
2010-04-30,428.977
2010-05-31,378.448
2010-06-30,371.172
2010-07-30,393.373
2010-08-31,373.357
2010-09-30,413.224
2010-10-29,445.161
2010-11-30,431.811
2010-12-31,461.901
2011-01-31,461.09
2011-02-28,465.351
2011-03-31,489.337
2011-04-29,521.871
2011-05-31,536.392
2011-06-30,521.858
2011-07-29,531.299
2011-08-31,495.811
2011-09-30,452.805
2011-10-31,438.495
2011-11-30,384.289
2011-12-30,397.926
2012-01-31,416.651
2012-02-29,431.258
2012-03-30,438.731
2012-04-30,434.482
2012-05-31,393.826
2012-06-29,401.793
2012-07-31,426.697
2012-08-31,427.772
2012-09-28,454.8
2012-10-31,466.613
2012-11-30,453.008
2012-12-31,451.365
2013-01-31,481.289
2013-02-28,483.919
2013-03-29,515.438
2013-04-30,543.047
2013-05-31,476.338
2013-06-28,465.422
2013-07-31,477.578
2013-08-30,465.785
2013-09-30,544.43
2013-10-31,559.914
2013-11-29,530.061
2013-12-31,512.886
2014-01-31,527.526
2014-02-28,562.003
2014-03-31,611.909
2014-04-30,617.518
2014-05-30,565.046
2014-06-30,565.758
2014-07-31,543.06
2014-08-29,532.355
2014-09-30,480.086
2014-10-31,456.141
2014-11-28,462.626
2014-12-31,484.324
2015-01-30,455.426
2015-02-27,476.246
2015-03-31,474.983
2015-04-30,487.619
2015-05-29,472.277
2015-06-30,436.697
2015-07-31,447.836
2015-08-31,405.202
2015-09-30,399.011
2015-10-30,453.068
2015-11-30,434.835
2015-12-31,471.116
2016-01-29,434.582
2016-02-29,462.262
2016-03-31,525.345
2016-04-29,530.849
2016-05-31,528.155
2016-06-30,552.738
2016-07-29,616.298
2016-08-31,615.951
2016-09-30,613.568
2016-10-31,571.58
2016-11-30,548.632
2016-12-30,539.418
2017-01-31,596.519
2017-02-28,595.991
2017-03-31,539.793
2017-04-28,542.587
2017-05-31,545.106
2017-06-30,570.287
2017-07-31,588.899
2017-08-31,564.835
2017-09-29,559.938
2017-10-31,526.727
2017-11-30,548.36
2017-12-29,596.756
2018-01-31,614.545
2018-02-28,594.961
2018-03-30,577.324
2018-04-30,563.547
2018-05-31,586.898
2018-06-29,614.365
2018-07-31,597.734
2018-08-31,672.989
2018-09-28,622.598
2018-10-31,553.028
2018-11-30,569.466
2018-12-31,563.539
2019-01-31,606.394
2019-02-28,670.59
2019-03-29,700.469
2019-04-30,732.998
2019-05-31,693.269
2019-06-28,697.628
2019-07-31,784.533
2019-08-30,682.79
2019-09-30,668.313
2019-10-31,703.153
2019-11-29,821.361
2019-12-31,868.154
2020-01-31,848.948
2020-02-28,852.474
2020-03-31,822.54
2020-04-30,884.428
2020-05-29,915.917
2020-06-30,1077.392
2020-07-31,1140.589
2020-08-31,1119.776
2020-09-30,955.209
2020-10-30,969.993
2020-11-30,1051.825
2020-12-31,965.34
2021-01-29,986.175
2021-02-26,845.676
2021-03-31,843.859
2021-04-30,907.457
2021-05-31,760.8
2021-06-30,767.492
2021-07-30,768.46
2021-08-31,795.751
2021-09-30,781.173
2021-10-29,803.33
2021-11-30,784.368
2021-12-31,781.811
2022-01-31,653.041
2022-02-28,675.685
2022-03-31,659.83
2022-04-29,567.426
2022-05-31,552.889
2022-06-30,508.197
2022-07-29,538.871
2022-08-31,508.233
2022-09-30,443.66
2022-10-31,484.569
2022-11-30,585.995
2022-12-30,585.83
2023-01-31,655.248
2023-02-28,643.244
2023-03-31,663.427
2023-04-28,667.988
2023-05-31,589.085
2023-06-30,611.83
2023-07-31,626.033
2023-08-31,561.794
2023-09-29,543.891
2023-10-31,507.549
2023-11-30,595.532
2023-12-29,626.858
2024-01-31,613.86
2024-02-29,627.068
2024-03-29,631.45
2024-04-30,659.761
2024-05-31,715.319
2024-06-28,706.422
2024-07-31,731.356
2024-08-30,818.096
2024-09-30,808.775
2024-10-31,776.649
2024-11-29,804.435
2024-12-31,762.696
2025-01-31,743.892
2025-02-28,678.144
2025-03-31,670.288
2025-04-30,712.359
2025-05-30,758.994
2025-06-30,773.536
2025-07-31,786.04
