Date,NEW ZEALAND GROWTH Standard (Large+Mid Cap)
2001-01-01,145.705
2001-01-02,145.474
2001-01-03,140.972
2001-01-04,146.148
2001-01-05,151.982
2001-01-08,151.713
2001-01-09,152.439
2001-01-10,147.854
2001-01-11,149.12
2001-01-12,153.571
2001-01-15,155.884
2001-01-16,160.662
2001-01-17,161.916
2001-01-18,164.395
2001-01-19,167.839
2001-01-22,171.151
2001-01-23,168.167
2001-01-24,158.94
2001-01-25,155.371
2001-01-26,157.744
2001-01-29,158.31
2001-01-30,163.584
2001-01-31,168.781
2001-02-01,169.942
2001-02-02,166.144
2001-02-05,159.188
2001-02-06,159.206
2001-02-07,157.162
2001-02-08,154.489
2001-02-09,157.48
2001-02-12,162.684
2001-02-13,158.584
2001-02-14,150.777
2001-02-15,146.306
2001-02-16,146.308
2001-02-19,147.982
2001-02-20,151.533
2001-02-21,149.37
2001-02-22,145.07
2001-02-23,148.705
2001-02-26,150.071
2001-02-27,149.586
2001-02-28,146.866
2001-03-01,150.805
2001-03-02,153.159
2001-03-05,152.497
2001-03-06,155.596
2001-03-07,159.481
2001-03-08,160.752
2001-03-09,161.666
2001-03-12,161.38
2001-03-13,157.973
2001-03-14,164.447
2001-03-15,166.878
2001-03-16,169.495
2001-03-19,165.126
2001-03-20,170.253
2001-03-21,164.588
2001-03-22,156.488
2001-03-23,159.312
2001-03-26,156.702
2001-03-27,156.499
2001-03-28,157.684
2001-03-29,158.141
2001-03-30,154.135
2001-04-02,155.142
2001-04-03,157.011
2001-04-04,155.828
2001-04-05,157.891
2001-04-06,157.45
2001-04-09,157.112
2001-04-10,156.078
2001-04-11,156.444
2001-04-12,156.601
2001-04-13,156.601
2001-04-16,156.909
2001-04-17,157.627
2001-04-18,160.112
2001-04-19,169.717
2001-04-20,174.959
2001-04-23,169.898
2001-04-24,169.602
2001-04-25,170.642
2001-04-26,171.248
2001-04-27,171.1
2001-04-30,172.665
2001-05-01,173.321
2001-05-02,174.152
2001-05-03,170.15
2001-05-04,165.954
2001-05-07,166.669
2001-05-08,164.15
2001-05-09,165.322
2001-05-10,166.576
2001-05-11,170.131
2001-05-14,165.745
2001-05-15,165.04
2001-05-16,163.614
2001-05-17,165.063
2001-05-18,165.752
2001-05-21,167.259
2001-05-22,164.683
2001-05-23,156.968
2001-05-24,157.082
2001-05-25,159.147
2001-05-28,158.714
2001-05-29,157.303
2001-05-30,152.716
2001-05-31,148.672
2001-06-01,149.876
2001-06-04,149.493
2001-06-05,156.802
2001-06-06,159.655
2001-06-07,158.998
2001-06-08,161.397
2001-06-11,159.236
2001-06-12,157.214
2001-06-13,157.66
2001-06-14,154.539
2001-06-15,157.18
2001-06-18,154.943
2001-06-19,151.473
2001-06-20,152.331
2001-06-21,150.81
2001-06-22,153.583
2001-06-25,151.713
2001-06-26,152.572
2001-06-27,151.505
2001-06-28,151.155
2001-06-29,151.8
2001-07-02,150.321
2001-07-03,150.457
2001-07-04,148.498
2001-07-05,145.653
2001-07-06,143.194
2001-07-09,141.695
2001-07-10,144.897
2001-07-11,141.881
2001-07-12,142.226
2001-07-13,142.802
2001-07-16,141.212
2001-07-17,141.921
2001-07-18,142.97
2001-07-19,143.89
2001-07-20,142.426
2001-07-23,142.616
2001-07-24,143.364
2001-07-25,145.532
2001-07-26,147.715
2001-07-27,146.653
2001-07-30,147.932
2001-07-31,148.609
2001-08-01,150.802
2001-08-02,151.638
