Date,NEW ZEALAND GROWTH Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,99.741
1988-02-29,89.156
1988-03-31,107.249
1988-04-29,109.953
1988-05-31,112.022
1988-06-30,110.551
1988-07-29,114.152
1988-08-31,109.068
1988-09-30,104.21
1988-10-31,106.228
1988-11-30,105.466
1988-12-30,99.174
1989-01-31,103.667
1989-02-28,105.31
1989-03-31,105.78
1989-04-28,106.398
1989-05-31,95.765
1989-06-30,96.433
1989-07-31,97.005
1989-08-31,121.012
1989-09-29,117.058
1989-10-31,108.974
1989-11-30,109.638
1989-12-29,105.293
1990-01-31,97.418
1990-02-28,89.332
1990-03-30,83.052
1990-04-30,81.716
1990-05-31,93.278
1990-06-29,93.4
1990-07-31,98.926
1990-08-31,90.838
1990-09-28,80.302
1990-10-31,75.042
1990-11-30,66.481
1990-12-31,58.039
1991-01-31,63.196
1991-02-28,69.925
1991-03-29,67.484
1991-04-30,75.09
1991-05-31,75.506
1991-06-28,72.107
1991-07-31,71.91
1991-08-30,69.045
1991-09-30,66.755
1991-10-31,71.824
1991-11-29,70.849
1991-12-31,67.161
1992-01-31,67.388
1992-02-28,68.867
1992-03-31,64.515
1992-04-30,62.631
1992-05-29,66.682
1992-06-30,65.804
1992-07-31,72.232
1992-08-31,71.379
1992-09-30,72.486
1992-10-30,68.205
1992-11-30,74.294
1992-12-31,71.042
1993-01-29,69.593
1993-02-26,75.55
1993-03-31,80.975
1993-04-30,81.788
1993-05-31,86.963
1993-06-30,90.695
1993-07-30,109.757
1993-08-31,113.323
1993-09-30,116.115
1993-10-29,131.242
1993-11-30,114.046
1993-12-31,130.875
1994-01-31,145.238
1994-02-28,133.757
1994-03-31,125.056
1994-04-29,126.609
1994-05-31,128.612
1994-06-30,118.054
1994-07-29,125.093
1994-08-31,134.883
1994-09-30,135.258
1994-10-31,147.702
1994-11-30,145.406
1994-12-30,141.077
1995-01-31,146.605
1995-02-28,149.1
1995-03-31,162.135
1995-04-28,179.12
1995-05-31,173.112
1995-06-30,163.923
1995-07-31,173.81
1995-08-31,171.837
1995-09-29,170.772
1995-10-31,181.46
1995-11-30,183.437
1995-12-29,188.251
1996-01-31,189.424
1996-02-29,195.422
1996-03-29,196.148
1996-04-30,187.208
1996-05-31,179.057
1996-06-28,183.195
1996-07-31,197.461
1996-08-30,207.506
1996-09-30,208.157
1996-10-31,232.51
1996-11-29,236.273
1996-12-31,232.847
1997-01-31,230.967
1997-02-28,207.444
1997-03-31,211.115
1997-04-30,209.704
1997-05-30,224.747
1997-06-30,236.366
1997-07-31,239.379
1997-08-29,234.165
1997-09-30,250.387
1997-10-31,240.803
1997-11-28,248.385
1997-12-31,227.678
1998-01-30,221.118
1998-02-27,231.209
1998-03-31,229.03
1998-04-30,228.765
1998-05-29,221.076
1998-06-30,194.925
1998-07-31,213.072
1998-08-31,180.921
1998-09-30,179.732
1998-10-30,193.182
1998-11-30,201.84
1998-12-31,206.416
1999-01-29,229.083
1999-02-26,242.056
1999-03-31,232.207
1999-04-30,249.107
1999-05-31,203.001
1999-06-30,206.848
1999-07-30,218.679
1999-08-31,217.364
1999-09-30,191.74
1999-10-29,196.25
1999-11-30,209.226
1999-12-31,230.593
2000-01-31,205.159
2000-02-29,204.357
2000-03-31,224.83
2000-04-28,210.96
2000-05-31,175.67
2000-06-30,179.923
2000-07-31,169.603
2000-08-31,148.886
2000-09-29,134.353
2000-10-31,123.004
2000-11-30,129.764
2000-12-29,121.5
2001-01-31,140.743
2001-02-28,122.468
2001-03-30,128.334
2001-04-30,143.666
2001-05-31,123.703
2001-06-29,126.014
2001-07-31,123.365
2001-08-31,128.587
2001-09-28,107.085
2001-10-31,114.253
2001-11-30,127.816
2001-12-31,125.614
2002-01-31,131.332
2002-02-28,122.227
2002-03-29,126.516
2002-04-30,128.069
2002-05-31,143.544
2002-06-28,140.587
2002-07-31,130.896
2002-08-30,141.224
2002-09-30,140.621
2002-10-31,151.782
2002-11-29,149.582
2002-12-31,151.901
2003-01-31,156.712
2003-02-28,152.363
2003-03-31,158.386
2003-04-30,169.676
2003-05-30,186.96
2003-06-30,201.948
2003-07-31,192.813
2003-08-29,196.451
2003-09-30,207.822
2003-10-31,213.963
2003-11-28,230.155
2003-12-31,244.53
2004-01-30,250.858
2004-02-27,248.489
2004-03-31,251.754
2004-04-30,241.313
2004-05-31,241.547
2004-06-30,251.82
2004-07-30,259.329
2004-08-31,263.276
2004-09-30,279.02
2004-10-29,279.001
2004-11-30,308.776
2004-12-31,322.672
2005-01-31,316.134
2005-02-28,342.319
2005-03-31,316.771
2005-04-29,325.43
2005-05-31,314.033
2005-06-30,333.113
2005-07-29,336.799
2005-08-31,337.277
2005-09-30,346.317
2005-10-31,329.759
2005-11-30,332.625
2005-12-30,326.672
2006-01-31,327.477
2006-02-28,325.916
2006-03-31,335.687
2006-04-28,353.928
2006-05-31,354.901
2006-06-30,340.19
2006-07-31,339.871
2006-08-31,338.913
2006-09-29,349.327
2006-10-31,370.566
2006-11-30,394.45
2006-12-29,422.059
2007-01-31,421.201
2007-02-28,407.735
2007-03-30,423.37
2007-04-30,451.092
2007-05-31,460.789
2007-06-29,483.255
2007-07-31,483.511
2007-08-31,423.18
2007-09-28,482.008
2007-10-31,471.924
2007-11-30,459.238
2007-12-31,450.665
2008-01-31,413.061
2008-02-29,402.868
2008-03-31,377.517
2008-04-30,401.709
2008-05-30,381.496
2008-06-30,308.214
2008-07-31,312.052
2008-08-29,318.717
2008-09-30,289.751
2008-10-31,229.174
2008-11-28,206.431
2008-12-31,222.04
2009-01-30,193.792
2009-02-27,173.841
2009-03-31,205.457
2009-04-30,206.059
2009-05-29,231.059
2009-06-30,232.622
2009-07-31,262.724
2009-08-31,282.753
2009-09-30,305.482
2009-10-30,322.803
2009-11-30,302.432
2009-12-31,315.92
2010-01-29,297.483
2010-02-26,294.491
2010-03-31,315.052
2010-04-30,325.428
2010-05-31,287.096
2010-06-30,281.576
2010-07-30,298.418
2010-08-31,283.234
2010-09-30,312.67
2010-10-29,336.72
2010-11-30,326.621
2010-12-31,349.381
2011-01-31,348.768
2011-02-28,351.991
2011-03-31,369.224
2011-04-29,393.773
2011-05-31,404.73
2011-06-30,393.763
2011-07-29,400.887
2011-08-31,374.11
2011-09-30,340.474
2011-10-31,329.59
2011-11-30,288.847
2011-12-30,299.097
2012-01-31,313.171
2012-02-29,324.15
2012-03-30,328.817
2012-04-30,325.632
2012-05-31,295.162
2012-06-29,301.132
2012-07-31,319.797
2012-08-31,320.558
2012-09-28,340.068
2012-10-31,348.478
2012-11-30,338.317
2012-12-31,337.09
2013-01-31,359.438
2013-02-28,361.402
2013-03-29,383.326
2013-04-30,403.858
2013-05-31,354.248
2013-06-28,346.13
2013-07-31,355.17
2013-08-30,346.4
2013-09-30,403.95
2013-10-31,414.963
2013-11-29,392.838
2013-12-31,379.981
2014-01-31,390.827
2014-02-28,416.37
