Date,ISRAEL MID CAP Mid Cap
1994-05-31,392.686
1994-06-30,324.668
1994-07-29,355.618
1994-08-31,383.504
1994-09-30,387.441
1994-10-31,393.807
1994-11-30,344.49
1994-12-30,358.004
1995-01-31,355.76
1995-02-28,297.044
1995-03-31,355.07
1995-04-28,352.704
1995-05-31,359.844
1995-06-30,379.36
1995-07-31,387.338
1995-08-31,394.293
1995-09-29,403.993
1995-10-31,390.291
1995-11-30,385.829
1995-12-29,403.871
1996-01-31,399.463
1996-02-29,423.599
1996-03-29,396.536
1996-04-30,418.273
1996-05-31,427.046
1996-06-28,426.403
1996-07-31,400.884
1996-08-30,415.68
1996-09-30,406.278
1996-10-31,398.094
1996-11-29,416.572
1996-12-31,433.07
1997-01-31,490.936
1997-02-28,492.315
1997-03-31,466.492
1997-04-30,484.838
1997-05-30,529.097
1997-06-30,525.951
1997-07-31,576.401
1997-08-29,550.673
1997-09-30,568.858
1997-10-31,554.88
1997-11-28,571.682
1997-12-31,587.164
1998-01-30,525.43
1998-02-27,566.765
1998-03-31,583.396
1998-04-30,580.096
1998-05-29,610.297
1998-06-30,609.531
1998-07-31,591.319
1998-08-31,512.932
1998-09-30,484.66
1998-10-30,439.353
1998-11-30,491.696
1998-12-31,533.65
1999-01-29,511.97
1999-02-26,530.812
1999-03-31,598.547
1999-04-30,608.136
1999-05-31,645.49
1999-06-30,713.521
1999-07-30,701.185
1999-08-31,659.354
1999-09-30,684.666
1999-10-29,731.249
1999-11-30,828.451
1999-12-31,949.556
2000-01-31,948.66
2000-02-29,1117.695
2000-03-31,1062.722
2000-04-28,947.018
2000-05-31,951.695
2000-06-30,1032.622
2000-07-31,978.888
2000-08-31,1088.702
2000-09-29,1028.392
2000-10-31,825.93
2000-11-30,776.101
2000-12-29,769.024
2001-01-31,735.402
2001-02-28,697.464
2001-03-30,535.102
2001-04-30,615.235
2001-05-31,590.732
2001-06-29,571.629
2001-07-31,580.29
2001-08-31,552.686
2001-09-28,462.883
2001-10-31,487.348
2001-11-30,545.634
2001-12-31,590.546
2002-01-31,549.399
2002-02-28,501.81
2002-03-29,504.598
2002-04-30,423.919
2002-05-31,425.746
2002-06-28,417.148
2002-07-31,433.761
2002-08-30,424.11
2002-09-30,377.154
2002-10-31,360.3
2002-11-29,412.287
2002-12-31,368.007
2003-01-31,335.97
2003-02-28,337.416
2003-03-31,355.369
2003-04-30,432.322
2003-05-30,510.039
2003-06-30,538.883
2003-07-31,505.243
2003-08-29,508.506
2003-09-30,549.733
2003-10-31,610.886
2003-11-28,643.284
2003-12-31,659.838
2004-01-30,649.328
2004-02-27,659.823
2004-03-31,653.475
2004-04-30,599.367
2004-05-31,605.495
2004-06-30,644.9
2004-07-30,558.522
2004-08-31,524.115
2004-09-30,562.227
2004-10-29,553.239
2004-11-30,635.846
2004-12-31,689.335
2005-01-31,683.754
2005-02-28,689.372
2005-03-31,707.841
2005-04-29,703.088
2005-05-31,721.457
2005-06-30,633.027
2005-07-29,660.373
2005-08-31,684.354
2005-09-30,690.419
2005-10-31,683.885
2005-11-30,664.525
2005-12-30,700.207
2006-01-31,675.94
2006-02-28,633.887
2006-03-31,655.09
2006-04-28,732.259
2006-05-31,703.954
2006-06-30,649.469
2006-07-31,663.395
2006-08-31,703.435
2006-09-29,727.498
2006-10-31,757.325
2006-11-30,808.6
2006-12-29,808.759
2007-01-31,820.119
2007-02-28,856.166
2007-03-30,874.499
2007-04-30,948.997
2007-05-31,1000.0
2007-06-29,947.412
2007-07-31,916.863
2007-08-31,919.665
2007-09-28,982.647
2007-10-31,1059.031
2007-11-30,1015.143
2007-12-31,1030.096
2008-01-31,950.73
2008-02-29,955.771
2008-03-31,905.879
2008-04-30,969.547
2008-05-30,1032.523
2008-06-30,942.163
2008-07-31,857.071
2008-08-29,835.354
2008-09-30,767.292
2008-10-31,629.891
2008-11-28,512.313
2008-12-31,528.471
2009-01-30,525.821
2009-02-27,515.503
2009-03-31,599.015
2009-04-30,683.568
2009-05-29,774.218
2009-06-30,769.584
2009-07-31,895.339
2009-08-31,885.256
2009-09-30,941.638
2009-10-30,958.135
2009-11-30,987.241
2009-12-31,1055.984
2010-01-29,1058.371
2010-02-26,1055.447
2010-03-31,1102.943
2010-04-30,1028.952
2010-05-31,895.178
2010-06-30,865.684
2010-07-30,958.184
2010-08-31,947.374
2010-09-30,1061.253
2010-10-29,1112.834
