Date,SWEDEN GROWTH Standard (Large+Mid Cap)
2001-11-19,4375.05
2001-11-20,4254.411
2001-11-21,4189.58
2001-11-22,4414.947
2001-11-23,4422.631
2001-11-26,4567.764
2001-11-27,4467.843
2001-11-28,4369.635
2001-11-29,4302.784
2001-11-30,4423.973
2001-12-03,4366.689
2001-12-04,4545.108
2001-12-05,4846.837
2001-12-06,4839.395
2001-12-07,4786.512
2001-12-10,4691.599
2001-12-11,4736.149
2001-12-12,4645.849
2001-12-13,4468.759
2001-12-14,4366.339
2001-12-17,4478.195
2001-12-18,4444.906
2001-12-19,4295.472
2001-12-20,4164.714
2001-12-21,4228.72
2001-12-24,4172.836
2001-12-25,4172.836
2001-12-26,4158.648
2001-12-27,4301.446
2001-12-28,4409.033
2001-12-31,4444.866
2002-01-01,4444.866
2002-01-02,4497.927
2002-01-03,4711.239
2002-01-04,4699.786
2002-01-07,4694.702
2002-01-08,4488.077
2002-01-09,4413.3
2002-01-10,4368.694
2002-01-11,4450.021
2002-01-14,4221.315
2002-01-15,4144.854
2002-01-16,4021.032
2002-01-17,4058.883
2002-01-18,4011.739
2002-01-21,3939.696
2002-01-22,3907.592
2002-01-23,3890.957
2002-01-24,3994.946
2002-01-25,3838.253
2002-01-28,3734.62
2002-01-29,3652.505
2002-01-30,3587.472
2002-01-31,3773.405
2002-02-01,3716.812
2002-02-04,3705.922
2002-02-05,3654.135
2002-02-06,3627.457
2002-02-07,3661.726
2002-02-08,3634.412
2002-02-11,3750.614
2002-02-12,3730.583
2002-02-13,3697.092
2002-02-14,3669.85
2002-02-15,3599.307
2002-02-18,3538.873
2002-02-19,3501.697
2002-02-20,3506.974
2002-02-21,3595.641
2002-02-22,3547.777
2002-02-25,3628.533
2002-02-26,3620.544
2002-02-27,3712.457
2002-02-28,3688.894
2002-03-01,3761.992
2002-03-04,3996.1
2002-03-05,3964.272
2002-03-06,4004.678
2002-03-07,4129.633
2002-03-08,4145.113
2002-03-11,4052.722
2002-03-12,3889.19
2002-03-13,3838.83
2002-03-14,3798.167
2002-03-15,3825.413
2002-03-18,3879.566
2002-03-19,3836.628
2002-03-20,3771.672
2002-03-21,3772.353
2002-03-22,3950.129
2002-03-25,3868.438
2002-03-26,3827.57
2002-03-27,3805.361
2002-03-28,3806.157
2002-03-29,3806.157
2002-04-01,3843.729
2002-04-02,3781.625
2002-04-03,3701.852
2002-04-04,3694.847
2002-04-05,3716.857
2002-04-08,3588.326
