Date,SWEDEN GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,110.553
1975-02-28,122.893
1975-03-31,120.188
1975-04-30,121.586
1975-05-30,121.774
1975-06-30,128.974
1975-07-31,122.07
1975-08-29,115.647
1975-09-30,116.095
1975-10-31,119.266
1975-11-28,114.571
1975-12-31,113.386
1976-01-30,117.732
1976-02-27,118.147
1976-03-31,119.049
1976-04-30,130.323
1976-05-31,128.802
1976-06-30,125.339
1976-07-30,125.111
1976-08-31,117.7
1976-09-30,119.834
1976-10-29,110.896
1976-11-30,118.389
1976-12-31,124.795
1977-01-31,112.686
1977-02-28,122.299
1977-03-31,123.924
1977-04-29,117.439
1977-05-31,114.265
1977-06-30,105.399
1977-07-29,105.562
1977-08-31,91.303
1977-09-30,96.435
1977-10-31,93.422
1977-11-30,87.272
1977-12-30,97.161
1978-01-31,106.067
1978-02-28,105.63
1978-03-31,111.54
1978-04-28,116.152
1978-05-31,113.943
1978-06-30,118.87
1978-07-31,128.294
1978-08-31,132.753
1978-09-29,128.823
1978-10-31,132.656
1978-11-30,122.275
1978-12-29,125.718
1979-01-31,132.429
1979-02-28,125.42
1979-03-30,124.71
1979-04-30,117.069
1979-05-31,116.409
1979-06-29,118.433
1979-07-31,120.591
1979-08-31,118.2
1979-09-28,118.803
1979-10-31,113.419
1979-11-30,116.462
1979-12-31,121.382
1980-01-31,120.535
1980-02-29,114.868
1980-03-31,107.079
1980-04-30,120.619
1980-05-30,121.174
1980-06-30,124.935
1980-07-31,125.178
1980-08-29,121.294
1980-09-30,121.51
1980-10-31,129.5
1980-11-28,137.266
1980-12-31,140.035
1981-01-30,126.048
1981-02-27,140.594
1981-03-31,155.551
1981-04-30,145.23
1981-05-29,149.78
1981-06-30,159.05
1981-07-31,154.941
1981-08-31,167.744
1981-09-30,150.379
1981-10-30,171.4
1981-11-30,195.801
1981-12-31,191.477
1982-01-29,182.414
1982-02-26,176.321
1982-03-31,164.196
1982-04-30,160.775
1982-05-31,167.697
1982-06-30,162.644
1982-07-30,171.858
1982-08-31,173.829
1982-09-30,176.623
1982-10-29,174.051
1982-11-30,218.399
1982-12-31,232.571
1983-01-31,248.796
1983-02-28,272.089
1983-03-31,280.277
1983-04-29,328.499
