Date,SWEDEN GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,110.457
1975-02-28,122.686
1975-03-31,119.872
1975-04-30,121.152
1975-05-30,121.22
1975-06-30,128.275
1975-07-31,121.302
1975-08-29,114.808
1975-09-30,115.147
1975-10-31,118.176
1975-11-28,113.409
1975-12-31,112.121
1976-01-30,116.306
1976-02-27,116.593
1976-03-31,117.352
1976-04-30,128.341
1976-05-31,126.709
1976-06-30,123.166
1976-07-30,122.808
1976-08-31,115.39
1976-09-30,117.372
1976-10-29,108.493
1976-11-30,115.69
1976-12-31,121.811
1977-01-31,109.841
1977-02-28,119.076
1977-03-31,120.516
1977-04-29,114.067
1977-05-31,110.843
1977-06-30,102.094
1977-07-29,102.111
1977-08-31,88.184
1977-09-30,93.027
1977-10-31,89.994
1977-11-30,83.941
1977-12-30,93.338
1978-01-31,101.778
1978-02-28,101.222
1978-03-31,106.767
1978-04-28,111.064
1978-05-31,108.827
1978-06-30,113.413
1978-07-31,122.286
1978-08-31,126.411
1978-09-29,122.532
1978-10-31,126.028
1978-11-30,116.035
1978-12-29,119.165
1979-01-31,125.398
1979-02-28,118.607
1979-03-30,117.787
1979-04-30,110.413
1979-05-31,109.638
1979-06-29,111.389
1979-07-31,113.264
1979-08-31,110.86
1979-09-28,111.271
1979-10-31,106.081
1979-11-30,108.78
1979-12-31,113.23
1980-01-31,112.276
1980-02-29,106.824
1980-03-31,99.415
1980-04-30,111.823
1980-05-30,112.162
1980-06-30,115.466
1980-07-31,115.511
1980-08-29,111.731
1980-09-30,111.739
1980-10-31,118.915
1980-11-28,125.875
1980-12-31,128.237
1981-01-30,115.242
1981-02-27,128.386
1981-03-31,141.889
1981-04-30,132.305
1981-05-29,136.301
1981-06-30,144.595
1981-07-31,140.705
1981-08-31,152.189
1981-09-30,136.285
1981-10-30,155.209
1981-11-30,177.172
1981-12-31,173.119
1982-01-29,164.785
1982-02-26,159.131
1982-03-31,148.034
1982-04-30,144.79
1982-05-31,150.88
1982-06-30,146.19
1982-07-30,154.334
1982-08-31,155.963
1982-09-30,158.346
1982-10-29,155.946
1982-11-30,195.593
1982-12-31,208.179
1983-01-31,222.601
1983-02-28,243.331
1983-03-31,250.555
1983-04-29,293.569
1983-05-31,293.887
1983-06-30,275.864
1983-07-29,297.119
1983-08-31,299.654
1983-09-30,294.738
1983-10-31,291.62
1983-11-30,294.024
1983-12-30,279.24
1984-01-31,288.151
1984-02-29,285.682
1984-03-30,292.894
1984-04-30,264.851
1984-05-31,230.698
1984-06-29,235.448
1984-07-31,228.745
1984-08-31,231.081
1984-09-28,217.361
1984-10-31,211.5
1984-11-30,200.101
1984-12-31,195.869
1985-01-31,210.275
1985-02-28,193.65
1985-03-29,198.068
1985-04-30,202.18
1985-05-31,193.34
1985-06-28,189.822
1985-07-31,217.087
1985-08-30,208.421
1985-09-30,220.508
1985-10-31,236.912
1985-11-29,273.788
1985-12-31,293.26
1986-01-31,293.426
1986-02-28,331.375
1986-03-31,372.559
1986-04-30,412.622
1986-05-30,418.952
1986-06-30,457.724
1986-07-31,481.708
1986-08-29,488.749
1986-09-30,482.371
1986-10-31,508.089
1986-11-28,503.689
1986-12-31,521.442
1987-01-30,477.422
1987-02-27,557.45
1987-03-31,582.643
1987-04-30,622.414
1987-05-29,601.394
1987-06-30,612.36
1987-07-31,648.672
1987-08-31,672.636
1987-09-30,682.041
1987-10-30,575.659
1987-11-30,507.145
1987-12-31,546.098
1988-01-29,601.926
1988-02-29,627.025
1988-03-31,651.066
1988-04-29,666.078
1988-05-31,684.264
1988-06-30,654.331
1988-07-29,676.874
1988-08-31,632.426
1988-09-30,666.239
1988-10-31,733.16
1988-11-30,751.526
1988-12-30,777.68
1989-01-31,815.344
1989-02-28,836.792
1989-03-31,842.988
1989-04-28,852.645
1989-05-31,836.811
1989-06-30,888.161
1989-07-31,998.394
1989-08-31,972.789
1989-09-29,968.693
1989-10-31,903.276
1989-11-30,927.518
1989-12-29,1067.394
1990-01-31,1078.251
1990-02-28,1026.009
1990-03-30,995.85
1990-04-30,1008.702
1990-05-31,1159.817
1990-06-29,1214.588
1990-07-31,1254.112
1990-08-31,1109.911
1990-09-28,859.2
1990-10-31,958.296
1990-11-30,879.329
1990-12-31,884.21
1991-01-31,989.733
1991-02-28,1061.502
1991-03-29,983.272
1991-04-30,935.997
1991-05-31,994.097
1991-06-28,946.819
1991-07-31,1001.085
1991-08-30,1032.132
1991-09-30,973.677
1991-10-31,980.218
1991-11-29,882.759
1991-12-31,956.854
1992-01-31,943.931
1992-02-28,934.398
1992-03-31,962.013
1992-04-30,945.381
1992-05-29,1046.605
1992-06-30,1023.364
1992-07-31,1025.756
1992-08-31,1026.171
1992-09-30,979.342
1992-10-30,911.69
1992-11-30,997.061
1992-12-31,1010.273
1993-01-29,929.683
1993-02-26,970.265
1993-03-31,995.642
1993-04-30,1092.291
1993-05-31,1228.355
1993-06-30,1128.701
1993-07-30,1100.27
1993-08-31,1189.64
1993-09-30,1288.496
1993-10-29,1369.707
1993-11-30,1157.758
1993-12-31,1273.582
1994-01-31,1366.767
1994-02-28,1313.039
1994-03-31,1243.699
1994-04-29,1328.766
1994-05-31,1361.851
1994-06-30,1305.884
1994-07-29,1383.28
1994-08-31,1406.991
1994-09-30,1405.255
1994-10-31,1568.023
1994-11-30,1513.846
1994-12-30,1495.772
1995-01-31,1481.086
1995-02-28,1497.499
1995-03-31,1588.186
1995-04-28,1722.59
1995-05-31,1766.006
1995-06-30,1876.607
1995-07-31,1948.315
1995-08-31,2004.079
1995-09-29,2269.354
1995-10-31,2156.58
1995-11-30,2247.694
1995-12-29,2157.507
1996-01-31,2176.225
1996-02-29,2402.186
1996-03-29,2446.332
1996-04-30,2322.238
1996-05-31,2458.65
1996-06-28,2425.139
1996-07-31,2301.606
1996-08-30,2486.057
1996-09-30,2599.559
1996-10-31,2801.009
1996-11-29,3023.326
1996-12-31,3046.907
1997-01-31,3177.834
1997-02-28,3061.347
1997-03-31,3195.57
1997-04-30,2833.647
1997-05-30,3080.166
1997-06-30,3473.248
1997-07-31,3722.995
1997-08-29,3385.217
1997-09-30,3889.264
1997-10-31,3541.088
1997-11-28,3554.8
1997-12-31,3402.922
1998-01-30,3543.617
1998-02-27,3969.088
1998-03-31,4162.666
