Date,SWEDEN GROWTH Standard (Large+Mid Cap)
2001-01-01,6761.872
2001-01-02,6597.196
2001-01-03,6127.132
2001-01-04,6917.707
2001-01-05,6916.098
2001-01-08,6592.162
2001-01-09,6247.842
2001-01-10,6203.811
2001-01-11,6654.338
2001-01-12,6986.149
2001-01-15,7052.363
2001-01-16,6656.997
2001-01-17,7098.225
2001-01-18,7323.54
2001-01-19,7161.428
2001-01-22,7052.637
2001-01-23,6833.714
2001-01-24,6903.004
2001-01-25,7159.387
2001-01-26,6403.255
2001-01-29,6475.173
2001-01-30,6748.417
2001-01-31,7077.699
2001-02-01,6918.463
2001-02-02,6761.765
2001-02-05,6562.497
2001-02-06,6616.309
2001-02-07,6421.7
2001-02-08,6221.613
2001-02-09,5758.516
2001-02-12,5915.615
2001-02-13,5832.645
2001-02-14,5431.427
2001-02-15,5762.175
2001-02-16,5445.734
2001-02-19,5371.555
2001-02-20,5232.848
2001-02-21,5117.604
2001-02-22,4868.733
2001-02-23,4705.731
2001-02-26,5041.944
2001-02-27,5188.594
2001-02-28,5089.546
2001-03-01,4882.533
2001-03-02,5012.346
2001-03-05,5222.651
2001-03-06,5478.535
2001-03-07,5414.421
2001-03-08,5275.178
2001-03-09,5040.763
2001-03-12,4246.049
2001-03-13,3986.55
2001-03-14,3991.777
2001-03-15,4040.907
2001-03-16,3622.31
2001-03-19,3673.718
2001-03-20,4007.968
2001-03-21,3829.944
2001-03-22,3481.895
2001-03-23,3737.145
2001-03-26,3928.722
2001-03-27,4147.667
2001-03-28,3902.621
2001-03-29,3642.073
2001-03-30,3556.623
2001-04-02,3515.859
2001-04-03,3358.377
2001-04-04,3291.182
2001-04-05,3679.337
2001-04-06,3588.934
2001-04-09,3703.42
2001-04-10,3859.938
2001-04-11,3870.575
2001-04-12,3796.76
2001-04-13,3796.76
2001-04-16,3756.962
2001-04-17,3645.113
2001-04-18,3962.585
2001-04-19,4171.23
2001-04-20,3887.598
2001-04-23,3681.23
2001-04-24,3657.078
2001-04-25,3823.297
2001-04-26,3971.571
2001-04-27,4067.871
2001-04-30,4199.535
2001-05-01,4217.108
2001-05-02,4247.364
2001-05-03,4125.23
2001-05-04,4151.035
2001-05-07,4234.534
2001-05-08,4120.199
2001-05-09,3994.685
2001-05-10,4143.595
2001-05-11,4137.321
2001-05-14,4079.651
2001-05-15,4052.408
2001-05-16,4019.036
2001-05-17,4182.04
2001-05-18,4371.175
2001-05-21,4532.499
2001-05-22,4579.639
2001-05-23,4423.978
2001-05-24,4409.721
2001-05-25,4362.906
2001-05-28,4398.961
2001-05-29,4359.323
2001-05-30,4191.013
2001-05-31,4024.944
2001-06-01,3947.12
2001-06-04,3926.575
2001-06-05,4050.01
2001-06-06,3969.812
2001-06-07,3853.126
2001-06-08,3747.661
2001-06-11,3617.098
2001-06-12,3466.776
2001-06-13,3504.241
2001-06-14,3374.873
2001-06-15,3510.59
2001-06-18,3493.459
2001-06-19,3483.396
2001-06-20,3301.877
2001-06-21,3454.042
2001-06-22,3461.264
2001-06-25,3497.425
2001-06-26,3442.799
2001-06-27,3531.099
2001-06-28,3598.891
2001-06-29,3645.468
2001-07-02,3732.494
2001-07-03,3712.917
2001-07-04,3576.97
2001-07-05,3379.538
2001-07-06,3178.671
2001-07-09,3207.082
2001-07-10,3230.391
2001-07-11,3167.858
2001-07-12,3323.952
2001-07-13,3370.276
2001-07-16,3452.15
2001-07-17,3313.208
2001-07-18,3291.088
2001-07-19,3374.86
2001-07-20,3344.517
2001-07-23,3282.377
2001-07-24,3254.835
2001-07-25,3199.317
2001-07-26,3218.349
2001-07-27,3397.132
2001-07-30,3556.862
2001-07-31,3666.252
2001-08-01,3638.364
2001-08-02,3721.652
2001-08-03,3655.588
2001-08-06,3605.351
2001-08-07,3683.501
2001-08-08,3603.64
2001-08-09,3484.699
2001-08-10,3425.655
2001-08-13,3479.309
2001-08-14,3611.065
2001-08-15,3618.361
2001-08-16,3511.148
2001-08-17,3423.92
2001-08-20,3347.64
2001-08-21,3441.136
2001-08-22,3497.537
2001-08-23,3563.7
2001-08-24,3679.46
2001-08-27,3699.363
2001-08-28,3598.853
2001-08-29,3522.973
2001-08-30,3389.033
2001-08-31,3321.793
2001-09-03,3260.392
2001-09-04,2996.42
2001-09-05,2871.539
2001-09-06,2864.694
