Date,IRELAND MID VALUE Mid Cap
2001-01-01,594.745
2001-01-02,596.859
2001-01-03,582.015
2001-01-04,598.088
2001-01-05,607.868
2001-01-08,594.031
2001-01-09,585.393
2001-01-10,574.342
2001-01-11,584.516
2001-01-12,579.748
2001-01-15,571.236
2001-01-16,564.705
2001-01-17,565.477
2001-01-18,575.242
2001-01-19,568.042
2001-01-22,565.185
2001-01-23,564.88
2001-01-24,560.129
2001-01-25,560.398
2001-01-26,558.719
2001-01-29,566.355
2001-01-30,569.669
2001-01-31,573.655
2001-02-01,579.322
2001-02-02,579.388
2001-02-05,580.36
2001-02-06,578.073
2001-02-07,579.27
2001-02-08,569.729
2001-02-09,567.969
2001-02-12,573.956
2001-02-13,565.257
2001-02-14,563.357
2001-02-15,557.539
2001-02-16,565.192
2001-02-19,557.347
2001-02-20,554.79
2001-02-21,549.996
2001-02-22,557.026
2001-02-23,554.515
2001-02-26,548.527
2001-02-27,556.341
2001-02-28,555.734
2001-03-01,552.934
2001-03-02,553.904
2001-03-05,556.571
2001-03-06,568.975
2001-03-07,568.044
2001-03-08,575.766
2001-03-09,563.292
2001-03-12,559.351
2001-03-13,549.319
2001-03-14,538.241
2001-03-15,529.706
2001-03-16,510.77
2001-03-19,510.155
2001-03-20,519.454
2001-03-21,504.168
2001-03-22,472.789
2001-03-23,490.721
2001-03-26,503.815
2001-03-27,520.615
2001-03-28,511.341
2001-03-29,507.683
2001-03-30,508.48
2001-04-02,510.651
2001-04-03,501.421
2001-04-04,505.882
2001-04-05,503.096
2001-04-06,511.63
2001-04-09,521.527
2001-04-10,525.854
2001-04-11,519.566
2001-04-12,525.303
2001-04-13,525.303
2001-04-16,519.923
2001-04-17,515.207
2001-04-18,515.553
2001-04-19,527.146
2001-04-20,538.888
2001-04-23,538.573
2001-04-24,534.855
2001-04-25,536.219
2001-04-26,541.003
2001-04-27,541.108
2001-04-30,543.207
2001-05-01,539.945
2001-05-02,540.301
2001-05-03,538.168
2001-05-04,541.501
2001-05-07,539.293
2001-05-08,541.64
2001-05-09,544.745
2001-05-10,548.917
2001-05-11,543.607
2001-05-14,544.854
2001-05-15,543.728
2001-05-16,548.248
2001-05-17,551.33
2001-05-18,549.101
2001-05-21,553.959
2001-05-22,550.571
2001-05-23,551.827
2001-05-24,546.507
2001-05-25,542.03
2001-05-28,550.758
2001-05-29,538.146
2001-05-30,542.274
2001-05-31,533.829
2001-06-01,535.967
2001-06-04,536.696
2001-06-05,549.208
2001-06-06,555.526
2001-06-07,563.088
2001-06-08,562.211
2001-06-11,561.852
2001-06-12,560.884
2001-06-13,562.97
2001-06-14,565.827
2001-06-15,567.822
2001-06-18,565.839
2001-06-19,559.221
2001-06-20,555.749
2001-06-21,558.296
2001-06-22,559.02
2001-06-25,562.28
2001-06-26,559.666
2001-06-27,553.538
2001-06-28,545.84
2001-06-29,551.707
2001-07-02,551.774
2001-07-03,560.737
2001-07-04,558.732
2001-07-05,547.651
2001-07-06,546.541
2001-07-09,555.719
2001-07-10,559.926
2001-07-11,560.804
2001-07-12,555.465
2001-07-13,564.17
2001-07-16,565.74
2001-07-17,564.256
2001-07-18,578.467
2001-07-19,580.635
2001-07-20,582.558
2001-07-23,578.611
2001-07-24,577.301
2001-07-25,577.917
2001-07-26,576.593
2001-07-27,580.947
2001-07-30,575.906
2001-07-31,582.681
2001-08-01,583.553
2001-08-02,584.786
2001-08-03,589.445
2001-08-06,587.214
2001-08-07,583.622
2001-08-08,578.997
2001-08-09,584.064
2001-08-10,589.439
2001-08-13,592.455
2001-08-14,592.96
2001-08-15,603.631
2001-08-16,604.439
2001-08-17,605.576
2001-08-20,602.692
2001-08-21,605.649
2001-08-22,611.292
2001-08-23,607.774
2001-08-24,607.853
2001-08-27,606.805
2001-08-28,609.868
2001-08-29,611.243
2001-08-30,609.247
2001-08-31,605.069
2001-09-03,600.169
2001-09-04,591.31
2001-09-05,587.087
2001-09-06,590.864
2001-09-07,597.43
2001-09-10,584.752
2001-09-11,587.463
2001-09-12,564.538
2001-09-13,562.181
2001-09-14,567.179
2001-09-17,559.09
2001-09-18,554.152
2001-09-19,554.418
2001-09-20,535.228
2001-09-21,519.247
2001-09-24,532.363
2001-09-25,531.796
2001-09-26,531.111
2001-09-27,530.635
2001-09-28,527.634
2001-10-01,526.355
2001-10-02,520.94
2001-10-03,523.552
2001-10-04,527.21
2001-10-05,533.534
2001-10-08,522.839
2001-10-09,518.523
2001-10-10,519.884
2001-10-11,525.547
2001-10-12,535.388
2001-10-15,543.723
2001-10-16,555.624
2001-10-17,563.014
2001-10-18,553.058
2001-10-19,542.467
2001-10-22,542.469
2001-10-23,541.881
2001-10-24,546.499
2001-10-25,555.447
2001-10-26,556.197
2001-10-29,557.22
2001-10-30,562.093
2001-10-31,560.472
2001-11-01,566.3
2001-11-02,564.89
2001-11-05,566.621
2001-11-06,572.251
2001-11-07,576.967
2001-11-08,565.245
2001-11-09,563.734
2001-11-12,564.412
2001-11-13,559.051
2001-11-14,567.55
2001-11-15,571.999
2001-11-16,578.858
2001-11-19,576.441
2001-11-20,573.449
2001-11-21,567.322
