Date,IRELAND MID VALUE Mid Cap
1994-05-31,146.001
1994-06-30,147.444
1994-07-29,156.474
1994-08-31,157.796
1994-09-30,155.208
1994-10-31,167.824
1994-11-30,165.28
1994-12-30,170.065
1995-01-31,168.864
1995-02-28,173.22
1995-03-31,183.459
1995-04-28,194.877
1995-05-31,205.019
1995-06-30,210.509
1995-07-31,224.028
1995-08-31,211.377
1995-09-29,229.213
1995-10-31,241.647
1995-11-30,262.187
1995-12-29,260.543
1996-01-31,275.215
1996-02-29,264.133
1996-03-29,274.844
1996-04-30,275.549
1996-05-31,283.232
1996-06-28,280.492
1996-07-31,267.613
1996-08-30,276.91
1996-09-30,290.563
1996-10-31,310.65
1996-11-29,336.0
1996-12-31,335.19
1997-01-31,312.691
1997-02-28,366.276
1997-03-31,380.039
1997-04-30,364.277
1997-05-30,384.302
1997-06-30,383.971
1997-07-31,395.612
1997-08-29,375.147
1997-09-30,397.856
1997-10-31,399.799
1997-11-28,388.482
1997-12-31,436.136
1998-01-30,488.821
1998-02-27,592.213
1998-03-31,705.837
1998-04-30,717.634
1998-05-29,635.52
1998-06-30,650.58
1998-07-31,607.426
1998-08-31,522.847
1998-09-30,495.061
1998-10-30,580.553
1998-11-30,557.008
1998-12-31,572.701
1999-01-29,557.312
1999-02-26,624.986
1999-03-31,625.133
1999-04-30,678.803
1999-05-31,627.16
1999-06-30,551.721
1999-07-30,600.812
1999-08-31,593.388
1999-09-30,634.91
1999-10-29,580.971
1999-11-30,585.364
1999-12-31,625.018
2000-01-31,614.757
2000-02-29,603.819
2000-03-31,627.822
2000-04-28,563.634
2000-05-31,530.1
2000-06-30,514.097
2000-07-31,468.022
2000-08-31,529.906
2000-09-29,555.567
2000-10-31,538.041
2000-11-30,523.97
2000-12-29,594.745
2001-01-31,573.655
2001-02-28,555.734
2001-03-30,508.48
2001-04-30,543.207
2001-05-31,533.829
2001-06-29,551.707
2001-07-31,582.681
2001-08-31,605.069
2001-09-28,527.634
2001-10-31,560.472
2001-11-30,582.922
2001-12-31,556.703
2002-01-31,565.942
2002-02-28,597.082
2002-03-29,643.096
2002-04-30,698.12
2002-05-31,811.86
2002-06-28,706.858
2002-07-31,569.735
2002-08-30,580.836
2002-09-30,475.589
2002-10-31,524.371
2002-11-29,567.254
2002-12-31,501.975
2003-01-31,511.68
2003-02-28,483.207
2003-03-31,549.487
2003-04-30,598.404
2003-05-30,612.949
2003-06-30,594.77
2003-07-31,685.677
2003-08-29,704.955
2003-09-30,691.51
2003-10-31,710.825
2003-11-28,729.454
2003-12-31,813.831
2004-01-30,839.439
2004-02-27,825.318
2004-03-31,818.694
2004-04-30,836.671
2004-05-31,832.105
2004-06-30,859.42
2004-07-30,783.545
2004-08-31,814.52
2004-09-30,864.372
2004-10-29,925.552
2004-11-30,947.302
2004-12-31,1001.508
2005-01-31,966.652
2005-02-28,767.975
2005-03-31,601.727
2005-04-29,619.815
2005-05-31,652.331
2005-06-30,662.599
2005-07-29,689.265
2005-08-31,735.846
2005-09-30,731.701
2005-10-31,697.706
2005-11-30,758.083
2005-12-30,887.856
2006-01-31,950.2
2006-02-28,940.375
2006-03-31,1020.349
2006-04-28,1090.565
2006-05-31,1127.677
2006-06-30,979.436
2006-07-31,881.273
2006-08-31,980.508
2006-09-29,910.609
2006-10-31,867.874
2006-11-30,848.998
2006-12-29,906.654
2007-01-31,860.422
2007-02-28,906.916
2007-03-30,881.763
2007-04-30,892.544
2007-05-31,1000.0
2007-06-29,974.974
2007-07-31,895.444
2007-08-31,925.341
2007-09-28,883.146
2007-10-31,948.568
2007-11-30,868.747
2007-12-31,775.756
2008-01-31,792.191
2008-02-29,778.336
2008-03-31,820.176
2008-04-30,849.315
2008-05-30,864.108
2008-06-30,565.54
2008-07-31,456.076
2008-08-29,513.621
2008-09-30,346.245
2008-10-31,191.25
2008-11-28,89.176
2008-12-31,54.434
2009-01-30,34.784
2009-02-27,10.636
2010-06-30,767.476
2010-07-30,1039.241
2010-08-31,915.185
2010-09-30,791.549
2010-10-29,692.788
2010-11-30,382.249
2010-12-31,470.465
2011-01-31,389.763
2011-02-28,455.954
2011-03-31,291.961
2011-04-29,388.476
2011-05-31,177.46
2013-05-31,1000.0
2013-06-28,1141.476
2013-07-31,1255.512
2013-08-30,1232.231
2013-09-30,1271.617
2013-10-31,1354.261
2016-05-31,1000.0
2016-06-30,673.788
2016-07-29,678.215
2016-08-31,737.557
2016-09-30,685.265
2016-10-31,700.779
2016-11-30,699.015
2016-12-30,809.137
2017-01-31,878.645
2017-02-28,780.323
2017-03-31,823.997
2017-04-28,824.663
2017-05-31,888.45
2017-06-30,860.001
2017-07-31,908.319
2017-08-31,909.45
2017-09-29,895.282
2017-10-31,856.503
2017-11-30,853.976
2017-12-29,904.215
2018-01-31,1005.965
2018-02-28,957.984
2018-03-30,894.119
2018-04-30,916.566
2018-05-31,839.312
2018-06-29,808.582
2018-07-31,876.857
2018-08-31,845.179
2018-09-28,782.249
2018-10-31,730.044
2018-11-30,654.922
2018-12-31,595.674
2019-01-31,620.845
2019-02-28,643.765
2019-03-29,610.876
2019-04-30,657.099
2019-05-31,566.865
2019-06-28,575.702
2019-07-31,537.984
2019-08-30,491.55
2019-09-30,549.477
2019-10-31,621.371
2019-11-29,666.548
2019-12-31,716.046
2020-01-31,648.131
2020-02-28,575.957
2020-03-31,442.288
2020-04-30,540.219
2020-05-29,538.066
2020-06-30,552.574
2020-07-31,556.36
2020-08-31,602.643
2020-09-30,667.354
2020-10-30,639.183
2020-11-30,729.408
2020-12-31,796.327
2021-01-29,824.786
2021-02-26,813.24
2021-03-31,807.554
2021-04-30,895.516
2021-05-31,928.986
2021-06-30,948.323
2021-07-30,985.966
2021-08-31,1002.357
2021-09-30,924.929
2021-10-29,921.74
2021-11-30,891.187
2021-12-31,968.769
2022-01-31,917.708
2022-02-28,880.793
2022-03-31,791.51
2022-04-29,774.645
2022-05-31,730.151
2022-06-30,605.379
2022-07-29,649.336
2022-08-31,608.956
2022-09-30,524.425
2022-10-31,604.846
2022-11-30,643.276
2022-12-30,726.68
2023-01-31,811.774
2023-02-28,797.718
2023-03-31,751.564
2023-04-28,782.108
2023-05-31,737.007
2023-06-30,725.301
2023-07-31,834.138
2023-08-31,837.829
2023-09-29,752.746
2023-10-31,716.523
2023-11-30,794.033
2023-12-29,792.116
2024-01-31,779.932
2024-02-29,824.63
2024-03-29,919.145
2024-04-30,929.221
2024-05-31,1034.527
2024-06-28,958.833
2024-07-31,1051.008
2024-08-30,1091.591
2024-09-30,1067.461
2024-10-31,963.104
2024-11-29,940.345
2024-12-31,965.936
2025-01-31,1047.479
2025-02-28,1236.541
2025-03-31,1214.872
2025-04-30,1261.271
2025-05-30,1473.663
2025-06-30,1523.75
2025-07-31,1435.646
2025-08-29,1510.07
2025-09-30,1655.521
2025-10-31,1680.232
