Date,SWEDEN SMID VALUE SMID (Small+Mid Cap)
2001-01-01,214.228
2001-01-02,211.858
2001-01-03,205.747
2001-01-04,211.023
2001-01-05,215.815
2001-01-08,213.387
2001-01-09,211.108
2001-01-10,213.997
2001-01-11,219.778
2001-01-12,221.894
2001-01-15,220.631
2001-01-16,218.905
2001-01-17,217.661
2001-01-18,221.651
2001-01-19,222.005
2001-01-22,220.15
2001-01-23,220.023
2001-01-24,218.21
2001-01-25,217.992
2001-01-26,217.912
2001-01-29,219.833
2001-01-30,223.802
2001-01-31,229.274
2001-02-01,230.564
2001-02-02,229.457
2001-02-05,227.617
2001-02-06,227.321
2001-02-07,226.761
2001-02-08,224.521
2001-02-09,222.908
2001-02-12,224.055
2001-02-13,222.281
2001-02-14,218.914
2001-02-15,219.607
2001-02-16,221.031
2001-02-19,221.773
2001-02-20,221.117
2001-02-21,218.892
2001-02-22,214.968
2001-02-23,214.679
2001-02-26,217.856
2001-02-27,220.371
2001-02-28,221.417
2001-03-01,221.64
2001-03-02,223.26
2001-03-05,222.914
2001-03-06,225.674
2001-03-07,225.458
2001-03-08,226.466
2001-03-09,225.217
2001-03-12,220.087
2001-03-13,212.843
2001-03-14,209.766
2001-03-15,209.563
2001-03-16,203.522
2001-03-19,203.158
2001-03-20,200.712
2001-03-21,195.669
2001-03-22,186.694
2001-03-23,192.076
2001-03-26,196.844
2001-03-27,199.28
2001-03-28,196.237
2001-03-29,193.14
2001-03-30,194.437
2001-04-02,192.905
2001-04-03,191.387
2001-04-04,192.841
2001-04-05,196.76
2001-04-06,198.308
2001-04-09,202.004
2001-04-10,202.979
2001-04-11,202.071
2001-04-12,202.545
2001-04-13,202.545
2001-04-16,200.422
2001-04-17,199.968
2001-04-18,201.553
2001-04-19,206.407
2001-04-20,206.236
2001-04-23,203.316
2001-04-24,202.756
2001-04-25,203.862
2001-04-26,206.721
2001-04-27,207.493
2001-04-30,209.591
2001-05-01,210.468
2001-05-02,209.347
2001-05-03,208.277
2001-05-04,209.838
2001-05-07,211.809
2001-05-08,209.332
2001-05-09,208.341
2001-05-10,212.35
2001-05-11,211.572
2001-05-14,209.678
2001-05-15,210.367
2001-05-16,210.06
2001-05-17,213.52
2001-05-18,215.595
2001-05-21,217.803
2001-05-22,216.816
2001-05-23,213.645
2001-05-24,212.957
2001-05-25,211.898
2001-05-28,212.663
2001-05-29,211.07
2001-05-30,210.469
2001-05-31,207.947
2001-06-01,206.676
2001-06-04,205.6
2001-06-05,207.89
2001-06-06,207.513
2001-06-07,206.309
2001-06-08,205.616
2001-06-11,202.876
2001-06-12,203.353
2001-06-13,206.53
2001-06-14,204.567
2001-06-15,206.808
2001-06-18,206.396
2001-06-19,204.554
2001-06-20,198.562
2001-06-21,198.713
2001-06-22,199.129
2001-06-25,202.038
2001-06-26,198.805
2001-06-27,199.608
2001-06-28,198.906
2001-06-29,199.733
2001-07-02,199.625
2001-07-03,199.783
2001-07-04,199.078
2001-07-05,196.419
2001-07-06,193.773
2001-07-09,193.847
2001-07-10,195.159
2001-07-11,195.595
2001-07-12,195.68
2001-07-13,196.957
2001-07-16,198.288
2001-07-17,194.197
2001-07-18,196.585
2001-07-19,198.37
2001-07-20,198.419
2001-07-23,197.111
2001-07-24,197.767
2001-07-25,197.325
2001-07-26,198.641
2001-07-27,199.367
2001-07-30,200.408
2001-07-31,200.465
2001-08-01,201.212
2001-08-02,203.386
2001-08-03,205.795
2001-08-06,204.99
2001-08-07,204.46
2001-08-08,203.639
2001-08-09,203.733
2001-08-10,204.227
2001-08-13,205.596
2001-08-14,206.324
2001-08-15,207.501
2001-08-16,205.844
2001-08-17,203.617
2001-08-20,196.186
2001-08-21,197.753
2001-08-22,198.889
2001-08-23,200.264
2001-08-24,202.326
2001-08-27,202.041
2001-08-28,199.308
2001-08-29,196.904
2001-08-30,193.176
2001-08-31,192.432
2001-09-03,189.319
2001-09-04,188.382
2001-09-05,189.291
2001-09-06,189.016
2001-09-07,187.878
2001-09-10,185.128
2001-09-11,174.916
2001-09-12,177.347
2001-09-13,179.167
2001-09-14,179.132
2001-09-17,175.759
2001-09-18,172.001
2001-09-19,173.957
2001-09-20,165.088
2001-09-21,157.516
2001-09-24,160.437
2001-09-25,166.444
2001-09-26,165.188
2001-09-27,165.156
2001-09-28,168.553
2001-10-01,170.428
2001-10-02,169.546
2001-10-03,170.217
2001-10-04,178.002
2001-10-05,179.656
2001-10-08,179.142
2001-10-09,181.028
2001-10-10,181.401
2001-10-11,186.249
2001-10-12,185.957
2001-10-15,185.51
2001-10-16,187.102
2001-10-17,185.903
2001-10-18,183.288
2001-10-19,179.612
2001-10-22,178.009
2001-10-23,182.281
2001-10-24,182.501
2001-10-25,181.945
2001-10-26,183.63
2001-10-29,184.433
2001-10-30,181.179
2001-10-31,181.512
2001-11-01,181.734
2001-11-02,182.933
2001-11-05,184.046
2001-11-06,184.455
2001-11-07,186.171
2001-11-08,186.503
2001-11-09,185.937
2001-11-12,184.279
2001-11-13,187.094
2001-11-14,188.959
2001-11-15,190.901
2001-11-16,193.7
2001-11-19,194.811
2001-11-20,192.382
2001-11-21,192.011
2001-11-22,195.981
2001-11-23,196.377
2001-11-26,198.263
2001-11-27,197.126
2001-11-28,196.824
2001-11-29,195.73
2001-11-30,196.648
2001-12-03,195.28
2001-12-04,198.566
2001-12-05,203.168
2001-12-06,203.622
2001-12-07,205.168
2001-12-10,201.391
2001-12-11,200.737
2001-12-12,200.065
2001-12-13,199.396
2001-12-14,197.354
2001-12-17,199.752
2001-12-18,198.93
2001-12-19,196.094
2001-12-20,193.723
2001-12-21,194.198
2001-12-24,191.631
2001-12-25,191.631
2001-12-26,190.98
2001-12-27,197.327
2001-12-28,200.342
2001-12-31,201.965
2002-01-01,201.965
2002-01-02,204.492
2002-01-03,210.153
2002-01-04,211.017
2002-01-07,210.816
2002-01-08,206.897
2002-01-09,208.326
2002-01-10,209.667
2002-01-11,210.509
2002-01-14,205.936
2002-01-15,206.171
2002-01-16,201.124
2002-01-17,201.894
2002-01-18,204.022
2002-01-21,202.531
2002-01-22,203.617
2002-01-23,204.486
2002-01-24,204.365
2002-01-25,200.991
2002-01-28,200.528
2002-01-29,202.596
2002-01-30,201.482
2002-01-31,205.293
2002-02-01,205.571
2002-02-04,205.819
2002-02-05,204.961
2002-02-06,206.101
2002-02-07,205.288
2002-02-08,205.408
2002-02-11,209.026
2002-02-12,208.463
2002-02-13,209.672
2002-02-14,208.811
2002-02-15,209.637
2002-02-18,208.563
2002-02-19,208.947
2002-02-20,208.082
2002-02-21,212.151
2002-02-22,213.086
2002-02-25,214.358
2002-02-26,215.523
2002-02-27,218.073
2002-02-28,219.186
2002-03-01,219.902
2002-03-04,228.085
2002-03-05,229.044
2002-03-06,227.755
2002-03-07,229.247
2002-03-08,229.037
2002-03-11,229.932
2002-03-12,228.202
2002-03-13,228.668
2002-03-14,229.1
2002-03-15,229.812
2002-03-18,229.785
2002-03-19,230.098
2002-03-20,230.539
2002-03-21,228.769
2002-03-22,228.997
2002-03-25,227.491
2002-03-26,226.002
2002-03-27,224.787
2002-03-28,226.297
2002-03-29,226.297
2002-04-01,228.53
2002-04-02,229.776
2002-04-03,227.81
2002-04-04,227.042
2002-04-05,228.229
2002-04-08,224.314
2002-04-09,225.272
2002-04-10,225.47
2002-04-11,225.365
2002-04-12,225.529
2002-04-15,226.16
2002-04-16,227.351
2002-04-17,229.797
2002-04-18,229.8
2002-04-19,229.253
2002-04-22,224.878
2002-04-23,226.408
2002-04-24,225.585
2002-04-25,221.4
2002-04-26,226.05
2002-04-29,228.241
2002-04-30,229.155
2002-05-01,230.501
2002-05-02,230.802
2002-05-03,232.959
2002-05-06,233.023
2002-05-07,229.635
2002-05-08,232.188
2002-05-09,231.788
2002-05-10,233.498
2002-05-13,234.655
2002-05-14,235.189
2002-05-15,237.151
2002-05-16,237.402
2002-05-17,240.719
2002-05-20,241.406
2002-05-21,240.584
2002-05-22,239.717
2002-05-23,237.963
2002-05-24,238.123
2002-05-27,238.305
2002-05-28,240.714
2002-05-29,238.776
2002-05-30,237.665
2002-05-31,238.188
2002-06-03,239.473
2002-06-04,236.827
2002-06-05,236.539
2002-06-06,236.709
2002-06-07,233.395
2002-06-10,233.67
2002-06-11,233.752
2002-06-12,232.564
2002-06-13,232.949
2002-06-14,228.477
2002-06-17,232.137
2002-06-18,234.719
2002-06-19,233.488
2002-06-20,227.739
2002-06-21,229.147
2002-06-24,226.173
2002-06-25,231.891
2002-06-26,233.769
2002-06-27,239.324
2002-06-28,245.746
2002-07-01,243.68
2002-07-02,242.262
2002-07-03,233.764
2002-07-04,234.911
2002-07-05,236.697
2002-07-08,239.521
2002-07-09,239.942
2002-07-10,232.777
2002-07-11,224.475
2002-07-12,223.668
2002-07-15,223.403
2002-07-16,220.968
2002-07-17,225.725
2002-07-18,228.455
2002-07-19,224.388
2002-07-22,211.053
2002-07-23,202.903
2002-07-24,194.591
2002-07-25,204.727
2002-07-26,197.746
2002-07-29,211.617
2002-07-30,216.731
2002-07-31,217.073
2002-08-01,213.854
2002-08-02,209.062
2002-08-05,202.518
2002-08-06,203.723
2002-08-07,206.212
2002-08-08,209.297
2002-08-09,210.89
2002-08-12,212.682
2002-08-13,212.886
2002-08-14,212.39
2002-08-15,214.048
2002-08-16,212.009
2002-08-19,213.329
2002-08-20,213.739
2002-08-21,220.017
2002-08-22,222.002
2002-08-23,217.788
2002-08-26,217.294
2002-08-27,221.553
2002-08-28,218.684
2002-08-29,213.032
2002-08-30,212.513
2002-09-02,213.193
2002-09-03,207.794
2002-09-04,205.796
2002-09-05,204.528
2002-09-06,207.071
2002-09-09,205.119
2002-09-10,208.948
2002-09-11,213.523
2002-09-12,209.183
2002-09-13,207.152
2002-09-16,208.914
2002-09-17,207.371
2002-09-18,203.454
2002-09-19,201.62
2002-09-20,200.373
2002-09-23,194.208
2002-09-24,191.11
2002-09-25,192.63
2002-09-26,199.408
2002-09-27,197.908
2002-09-30,190.765
2002-10-01,191.835
2002-10-02,192.073
2002-10-03,188.043
2002-10-04,185.081
2002-10-07,176.6
2002-10-08,174.255
2002-10-09,174.546
2002-10-10,178.462
2002-10-11,191.154
2002-10-14,191.658
2002-10-15,203.739
2002-10-16,199.71
2002-10-17,198.713
2002-10-18,200.771
2002-10-21,201.366
2002-10-22,196.278
2002-10-23,191.55
2002-10-24,195.515
2002-10-25,193.786
2002-10-28,197.268
2002-10-29,192.84
2002-10-30,198.221
2002-10-31,202.191
2002-11-01,198.486
2002-11-04,204.644
2002-11-05,209.672
2002-11-06,205.312
2002-11-07,204.339
2002-11-08,204.279
2002-11-11,202.346
2002-11-12,206.038
2002-11-13,207.892
2002-11-14,211.817
2002-11-15,210.1
2002-11-18,213.343
2002-11-19,210.158
2002-11-20,212.321
2002-11-21,219.73
2002-11-22,221.889
2002-11-25,219.858
2002-11-26,218.208
2002-11-27,224.705
2002-11-28,229.399
2002-11-29,228.778
2002-12-02,227.847
2002-12-03,222.805
2002-12-04,222.196
2002-12-05,221.234
2002-12-06,221.546
2002-12-09,217.81
2002-12-10,218.367
2002-12-11,219.601
2002-12-12,217.54
2002-12-13,218.443
2002-12-16,218.25
2002-12-17,213.944
2002-12-18,210.299
2002-12-19,210.933
2002-12-20,213.184
2002-12-23,210.596
2002-12-24,211.659
2002-12-25,211.659
2002-12-26,212.071
2002-12-27,208.323
2002-12-30,209.746
2002-12-31,210.88
2003-01-01,210.88
2003-01-02,217.116
2003-01-03,220.796
2003-01-06,222.031
2003-01-07,221.729
2003-01-08,214.978
2003-01-09,216.403
2003-01-10,217.448
2003-01-13,219.167
2003-01-14,219.999
2003-01-15,219.763
2003-01-16,220.885
2003-01-17,218.85
2003-01-20,221.39
2003-01-21,218.008
2003-01-22,214.386
2003-01-23,214.704
2003-01-24,214.859
2003-01-27,209.354
2003-01-28,205.601
2003-01-29,202.554
2003-01-30,203.427
2003-01-31,200.148
2003-02-03,205.162
2003-02-04,203.037
2003-02-05,206.965
2003-02-06,207.037
2003-02-07,203.205
2003-02-10,197.552
2003-02-11,202.849
2003-02-12,204.542
2003-02-13,208.164
2003-02-14,209.753
2003-02-17,212.543
2003-02-18,212.59
2003-02-19,214.052
2003-02-20,213.846
2003-02-21,212.921
2003-02-24,210.782
2003-02-25,206.867
2003-02-26,205.696
2003-02-27,206.167
2003-02-28,208.396
2003-03-03,208.905
2003-03-04,207.43
2003-03-05,206.828
2003-03-06,205.804
2003-03-07,204.331
2003-03-10,203.622
2003-03-11,200.862
2003-03-12,196.55
2003-03-13,200.797
2003-03-14,204.692
2003-03-17,208.872
2003-03-18,208.919
2003-03-19,210.535
2003-03-20,212.742
2003-03-21,214.661
2003-03-24,211.689
2003-03-25,211.039
2003-03-26,210.949
2003-03-27,208.585
2003-03-28,206.763
2003-03-31,204.349
2003-04-01,204.461
2003-04-02,209.426
2003-04-03,208.919
2003-04-04,207.726
2003-04-07,214.367
2003-04-08,214.906
2003-04-09,214.873
2003-04-10,213.93
2003-04-11,214.973
2003-04-14,215.865
2003-04-15,219.94
2003-04-16,221.426
2003-04-17,221.676
2003-04-18,221.676
2003-04-21,220.998
2003-04-22,224.72
2003-04-23,227.7
2003-04-24,229.719
2003-04-25,228.837
2003-04-28,234.688
2003-04-29,238.486
2003-04-30,241.54
2003-05-01,243.928
2003-05-02,242.772
2003-05-05,246.492
2003-05-06,249.454
2003-05-07,247.084
2003-05-08,242.795
2003-05-09,245.265
2003-05-12,246.189
2003-05-13,248.156
2003-05-14,245.309
2003-05-15,242.824
2003-05-16,243.902
2003-05-19,241.047
2003-05-20,239.285
2003-05-21,238.106
2003-05-22,238.669
2003-05-23,241.022
2003-05-26,240.135
2003-05-27,241.961
2003-05-28,245.759
2003-05-29,246.925
2003-05-30,249.164
2003-06-02,250.979
2003-06-03,249.395
2003-06-04,250.83
2003-06-05,255.252
2003-06-06,256.322
2003-06-09,257.212
2003-06-10,254.449
2003-06-11,259.434
2003-06-12,262.429
2003-06-13,259.294
2003-06-16,263.957
2003-06-17,266.727
2003-06-18,264.635
2003-06-19,262.22
2003-06-20,260.636
2003-06-23,255.35
2003-06-24,250.771
2003-06-25,252.526
2003-06-26,251.065
2003-06-27,253.951
2003-06-30,254.159
2003-07-01,252.017
2003-07-02,255.675
2003-07-03,260.872
2003-07-04,260.387
2003-07-07,265.217
2003-07-08,264.716
2003-07-09,262.796
2003-07-10,261.077
2003-07-11,260.764
2003-07-14,263.832
2003-07-15,264.32
2003-07-16,262.594
2003-07-17,262.582
2003-07-18,262.781
2003-07-21,263.809
2003-07-22,263.048
2003-07-23,265.795
2003-07-24,270.531
2003-07-25,270.483
2003-07-28,273.979
2003-07-29,271.759
2003-07-30,269.966
2003-07-31,266.505
2003-08-01,269.079
2003-08-04,270.182
2003-08-05,271.425
2003-08-06,267.65
2003-08-07,267.586
2003-08-08,265.829
2003-08-11,265.143
2003-08-12,269.04
2003-08-13,274.4
2003-08-14,274.881
2003-08-15,273.094
2003-08-18,274.457
2003-08-19,275.141
2003-08-20,276.093
2003-08-21,274.761
2003-08-22,269.994
2003-08-25,268.003
2003-08-26,262.126
2003-08-27,265.875
2003-08-28,267.418
2003-08-29,271.026
2003-09-01,277.369
2003-09-02,276.256
2003-09-03,280.681
2003-09-04,281.533
2003-09-05,284.133
2003-09-08,285.125
2003-09-09,284.189
2003-09-10,282.393
2003-09-11,286.073
2003-09-12,287.913
2003-09-15,288.364
2003-09-16,288.877
2003-09-17,290.625
2003-09-18,291.082
2003-09-19,290.427
2003-09-22,286.654
2003-09-23,288.042
2003-09-24,288.222
2003-09-25,285.5
2003-09-26,285.289
2003-09-29,284.749
2003-09-30,279.689
2003-10-01,283.389
2003-10-02,285.02
2003-10-03,293.052
2003-10-06,295.502
2003-10-07,295.75
2003-10-08,296.588
2003-10-09,297.175
2003-10-10,296.793
2003-10-13,297.491
2003-10-14,302.645
2003-10-15,305.358
2003-10-16,303.257
2003-10-17,301.287
2003-10-20,301.309
2003-10-21,298.777
2003-10-22,295.727
2003-10-23,300.971
2003-10-24,301.211
2003-10-27,304.503
2003-10-28,305.286
2003-10-29,308.317
2003-10-30,308.952
2003-10-31,305.991
2003-11-03,305.943
2003-11-04,306.213
2003-11-05,304.684
2003-11-06,305.956
2003-11-07,311.962
2003-11-10,311.29
2003-11-11,309.349
2003-11-12,313.964
2003-11-13,318.236
2003-11-14,321.887
2003-11-17,315.866
2003-11-18,317.417
2003-11-19,314.076
2003-11-20,311.846
2003-11-21,313.516
2003-11-24,312.908
2003-11-25,314.475
2003-11-26,315.478
2003-11-27,319.252
2003-11-28,320.06
2003-12-01,322.858
2003-12-02,326.658
2003-12-03,330.039
2003-12-04,330.246
2003-12-05,333.932
2003-12-08,334.004
2003-12-09,334.622
2003-12-10,332.161
2003-12-11,329.656
2003-12-12,334.561
2003-12-15,335.721
2003-12-16,332.342
2003-12-17,330.022
2003-12-18,330.432
2003-12-19,328.392
2003-12-22,330.77
2003-12-23,335.384
2003-12-24,335.682
2003-12-25,335.682
2003-12-26,335.29
2003-12-29,340.214
2003-12-30,341.663
2003-12-31,343.755
2004-01-01,343.755
2004-01-02,347.674
2004-01-05,347.584
2004-01-06,347.769
2004-01-07,343.202
2004-01-08,343.708
2004-01-09,347.129
2004-01-12,345.099
2004-01-13,346.839
2004-01-14,346.216
2004-01-15,343.98
2004-01-16,339.732
2004-01-19,342.754
2004-01-20,345.45
2004-01-21,346.89
2004-01-22,356.253
2004-01-23,354.639
2004-01-26,351.276
2004-01-27,352.414
2004-01-28,350.182
2004-01-29,339.479
2004-01-30,342.562
2004-02-02,340.147
2004-02-03,343.865
2004-02-04,340.856
2004-02-05,343.438
2004-02-06,352.702
2004-02-09,352.652
2004-02-10,350.994
2004-02-11,352.033
2004-02-12,353.38
2004-02-13,350.986
2004-02-16,351.386
2004-02-17,354.698
2004-02-18,356.515
2004-02-19,355.429
2004-02-20,351.209
2004-02-23,351.358
2004-02-24,349.352
2004-02-25,345.07
2004-02-26,342.469
2004-02-27,341.786
2004-03-01,345.783
2004-03-02,343.691
2004-03-03,341.828
2004-03-04,342.309
2004-03-05,349.667
2004-03-08,348.94
2004-03-09,347.112
2004-03-10,341.577
2004-03-11,333.606
2004-03-12,331.702
2004-03-15,329.51
2004-03-16,333.327
2004-03-17,333.834
2004-03-18,334.356
2004-03-19,333.46
2004-03-22,330.078
2004-03-23,330.069
2004-03-24,324.107
2004-03-25,327.189
2004-03-26,327.135
2004-03-29,331.828
2004-03-30,331.647
2004-03-31,337.361
2004-04-01,346.42
2004-04-02,342.938
2004-04-05,342.007
2004-04-06,343.63
2004-04-07,350.126
2004-04-08,349.077
2004-04-09,349.077
2004-04-12,347.3
2004-04-13,344.971
2004-04-14,341.216
2004-04-15,339.338
2004-04-16,344.414
2004-04-19,344.105
2004-04-20,345.384
2004-04-21,341.915
2004-04-22,345.281
2004-04-23,346.146
2004-04-26,346.951
2004-04-27,345.929
2004-04-28,340.098
2004-04-29,340.886
2004-04-30,339.846
2004-05-03,340.67
