Date,SWEDEN SMID VALUE SMID (Small+Mid Cap)
1994-05-31,105.225
1994-06-30,100.432
1994-07-29,104.813
1994-08-31,100.691
1994-09-30,104.013
1994-10-31,108.775
1994-11-30,108.185
1994-12-30,109.989
1995-01-31,112.343
1995-02-28,114.353
1995-03-31,103.643
1995-04-28,113.963
1995-05-31,112.781
1995-06-30,115.92
1995-07-31,125.16
1995-08-31,118.576
1995-09-29,132.948
1995-10-31,131.643
1995-11-30,139.8
1995-12-29,139.164
1996-01-31,134.309
1996-02-29,144.703
1996-03-29,148.091
1996-04-30,154.783
1996-05-31,160.7
1996-06-28,166.844
1996-07-31,163.292
1996-08-30,170.586
1996-09-30,180.365
1996-10-31,183.894
1996-11-29,194.222
1996-12-31,196.502
1997-01-31,195.57
1997-02-28,202.26
1997-03-31,211.284
1997-04-30,193.612
1997-05-30,206.282
1997-06-30,211.797
1997-07-31,214.605
1997-08-29,212.612
1997-09-30,231.075
1997-10-31,218.708
1997-11-28,224.122
1997-12-31,216.911
1998-01-30,215.548
1998-02-27,228.03
1998-03-31,240.21
1998-04-30,243.608
1998-05-29,245.416
1998-06-30,229.956
1998-07-31,220.765
1998-08-31,187.315
1998-09-30,178.661
1998-10-30,171.282
1998-11-30,171.634
1998-12-31,166.905
1999-01-29,175.282
1999-02-26,175.268
1999-03-31,178.963
1999-04-30,188.854
1999-05-31,187.8
1999-06-30,190.338
1999-07-30,197.341
1999-08-31,207.555
1999-09-30,203.902
1999-10-29,202.539
1999-11-30,206.082
1999-12-31,221.309
2000-01-31,213.76
2000-02-29,224.85
2000-03-31,228.377
2000-04-28,218.509
2000-05-31,218.937
2000-06-30,215.736
2000-07-31,211.839
2000-08-31,212.564
2000-09-29,203.995
2000-10-31,204.314
2000-11-30,200.471
2000-12-29,214.228
2001-01-31,229.274
2001-02-28,221.417
2001-03-30,194.437
2001-04-30,209.591
2001-05-31,207.947
2001-06-29,199.733
2001-07-31,200.465
2001-08-31,192.432
2001-09-28,168.553
2001-10-31,181.512
2001-11-30,196.648
2001-12-31,201.965
2002-01-31,205.293
2002-02-28,219.186
2002-03-29,226.297
2002-04-30,229.155
2002-05-31,238.188
2002-06-28,245.746
2002-07-31,217.073
2002-08-30,212.513
2002-09-30,190.765
2002-10-31,202.191
2002-11-29,228.778
2002-12-31,210.88
2003-01-31,200.148
2003-02-28,208.396
2003-03-31,204.349
2003-04-30,241.54
2003-05-30,249.164
2003-06-30,254.159
2003-07-31,266.505
2003-08-29,271.026
2003-09-30,279.689
2003-10-31,305.991
2003-11-28,320.06
2003-12-31,343.755
2004-01-30,342.562
2004-02-27,341.786
2004-03-31,337.361
2004-04-30,339.846
2004-05-31,346.434
2004-06-30,349.757
2004-07-30,340.442
2004-08-31,346.993
2004-09-30,367.658
2004-10-29,379.677
2004-11-30,427.996
2004-12-31,442.741
2005-01-31,433.036
2005-02-28,470.406
2005-03-31,453.982
2005-04-29,429.47
2005-05-31,446.371
2005-06-30,438.497
2005-07-29,469.927
2005-08-31,477.202
2005-09-30,506.163
2005-10-31,484.411
2005-11-30,503.135
2005-12-30,546.964
2006-01-31,591.722
2006-02-28,603.699
2006-03-31,656.433
2006-04-28,707.15
2006-05-31,650.988
2006-06-30,657.039
2006-07-31,651.068
2006-08-31,671.431
2006-09-29,711.085
2006-10-31,758.95
2006-11-30,791.499
2006-12-29,863.379
2007-01-31,887.224
2007-02-28,879.796
2007-03-30,945.069
2007-04-30,1002.605
2007-05-31,1000.0
2007-06-29,952.067
2007-07-31,960.563
2007-08-31,900.078
2007-09-28,905.832
2007-10-31,910.496
2007-11-30,857.213
2007-12-31,820.682
2008-01-31,738.011
2008-02-29,806.048
2008-03-31,828.643
2008-04-30,782.767
2008-05-30,793.014
2008-06-30,669.929
2008-07-31,639.127
2008-08-29,639.425
2008-09-30,508.991
2008-10-31,373.336
2008-11-28,325.028
2008-12-31,357.086
2009-01-30,315.445
2009-02-27,282.676
2009-03-31,326.362
2009-04-30,431.569
2009-05-29,480.044
2009-06-30,456.684
2009-07-31,554.293
2009-08-31,613.134
2009-09-30,635.673
2009-10-30,656.513
2009-11-30,677.363
2009-12-31,688.145
2010-01-29,667.689
2010-02-26,690.391
2010-03-31,737.248
2010-04-30,731.19
2010-05-31,626.454
2010-06-30,626.983
2010-07-30,736.117
2010-08-31,693.074
2010-09-30,849.677
2010-10-29,873.308
2010-11-30,827.76
2010-12-31,942.759
2011-01-31,988.213
2011-02-28,981.57
2011-03-31,1007.269
2011-04-29,1058.568
2011-05-31,1010.496
2011-06-30,942.48
2011-07-29,901.03
2011-08-31,816.671
2011-09-30,694.235
2011-10-31,830.646
2011-11-30,793.501
2011-12-30,802.812
2012-01-31,882.238
2012-02-29,951.353
2012-03-30,920.804
2012-04-30,899.393
2012-05-31,770.318
2012-06-29,819.848
2012-07-31,874.47
2012-08-31,873.781
2012-09-28,914.74
2012-10-31,913.8
2012-11-30,940.766
2012-12-31,992.312
2013-01-31,1071.138
2013-02-28,1111.088
2013-03-29,1107.766
2013-04-30,1131.54
2013-05-31,1125.587
2013-06-28,1049.875
2013-07-31,1177.466
2013-08-30,1174.003
2013-09-30,1267.813
2013-10-31,1283.05
2013-11-29,1300.141
2013-12-31,1373.172
2014-01-31,1322.532
2014-02-28,1421.468
2014-03-31,1420.824
2014-04-30,1454.104
2014-05-30,1478.678
2014-06-30,1478.129
2014-07-31,1410.292
2014-08-29,1393.674
2014-09-30,1323.215
2014-10-31,1302.034
2014-11-28,1363.593
2014-12-31,1332.625
2015-01-30,1334.528
2015-02-27,1466.094
2015-03-31,1402.763
2015-04-30,1462.525
2015-05-29,1399.104
2015-06-30,1357.62
2015-07-31,1383.049
2015-08-31,1337.408
2015-09-30,1320.054
2015-10-30,1393.838
2015-11-30,1425.592
2015-12-31,1419.891
2016-01-29,1324.181
2016-02-29,1402.197
2016-03-31,1540.556
2016-04-29,1553.522
2016-05-31,1538.81
2016-06-30,1478.065
2016-07-29,1557.066
2016-08-31,1586.502
2016-09-30,1625.306
2016-10-31,1539.317
2016-11-30,1533.36
2016-12-30,1602.981
2017-01-31,1684.488
2017-02-28,1675.548
2017-03-31,1713.873
2017-04-28,1823.457
2017-05-31,1887.858
2017-06-30,1907.39
2017-07-31,1961.389
2017-08-31,1959.011
2017-09-29,2017.758
2017-10-31,2032.268
2017-11-30,2015.559
2017-12-29,2045.075
2018-01-31,2133.751
2018-02-28,2007.235
2018-03-30,1987.262
2018-04-30,1986.241
2018-05-31,1924.873
2018-06-29,1867.469
2018-07-31,1961.911
2018-08-31,1961.701
2018-09-28,1993.751
2018-10-31,1819.936
2018-11-30,1795.817
2018-12-31,1765.32
2019-01-31,1876.841
2019-02-28,1896.285
2019-03-29,1902.294
2019-04-30,1919.429
2019-05-31,1846.378
