Date,AUSTRIA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,221.905
2001-01-02,222.822
2001-01-03,218.199
2001-01-04,217.366
2001-01-05,223.715
2001-01-08,224.015
2001-01-09,222.081
2001-01-10,223.871
2001-01-11,226.106
2001-01-12,228.08
2001-01-15,227.701
2001-01-16,224.019
2001-01-17,222.075
2001-01-18,221.158
2001-01-19,220.043
2001-01-22,218.491
2001-01-23,218.803
2001-01-24,212.151
2001-01-25,212.485
2001-01-26,217.149
2001-01-29,215.793
2001-01-30,219.269
2001-01-31,225.896
2001-02-01,238.616
2001-02-02,229.159
2001-02-05,233.997
2001-02-06,231.428
2001-02-07,236.345
2001-02-08,237.281
2001-02-09,235.792
2001-02-12,241.267
2001-02-13,240.016
2001-02-14,236.33
2001-02-15,233.33
2001-02-16,238.623
2001-02-19,245.446
2001-02-20,244.986
2001-02-21,246.667
2001-02-22,245.733
2001-02-23,238.612
2001-02-26,238.794
2001-02-27,243.0
2001-02-28,238.714
2001-03-01,242.23
2001-03-02,243.51
2001-03-05,240.696
2001-03-06,243.359
2001-03-07,245.839
2001-03-08,246.766
2001-03-09,243.794
2001-03-12,243.01
2001-03-13,239.263
2001-03-14,235.157
2001-03-15,233.516
2001-03-16,225.86
2001-03-19,222.787
2001-03-20,224.348
2001-03-21,222.768
2001-03-22,216.779
2001-03-23,221.848
2001-03-26,227.637
2001-03-27,230.26
2001-03-28,225.383
2001-03-29,224.668
2001-03-30,225.795
2001-04-02,221.245
2001-04-03,220.187
2001-04-04,226.548
2001-04-05,230.807
2001-04-06,227.206
2001-04-09,230.887
2001-04-10,229.357
2001-04-11,224.541
2001-04-12,226.427
2001-04-13,226.427
2001-04-16,224.108
2001-04-17,223.833
2001-04-18,221.761
2001-04-19,225.071
2001-04-20,229.776
2001-04-23,226.719
2001-04-24,230.278
2001-04-25,229.095
2001-04-26,228.951
2001-04-27,225.948
2001-04-30,225.554
2001-05-01,226.749
2001-05-02,232.098
2001-05-03,230.439
2001-05-04,227.566
2001-05-07,225.931
2001-05-08,224.689
2001-05-09,222.339
2001-05-10,223.706
2001-05-11,220.854
2001-05-14,221.126
2001-05-15,217.394
2001-05-16,217.88
2001-05-17,216.165
2001-05-18,213.092
2001-05-21,210.948
2001-05-22,208.445
2001-05-23,205.212
2001-05-24,204.467
2001-05-25,207.087
2001-05-28,209.52
