Date,AUSTRIA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,225.669
2001-01-02,226.601
2001-01-03,221.9
2001-01-04,221.053
2001-01-05,227.51
2001-01-08,227.814
2001-01-09,225.848
2001-01-10,227.668
2001-01-11,229.941
2001-01-12,231.949
2001-01-15,231.563
2001-01-16,227.818
2001-01-17,225.841
2001-01-18,224.908
2001-01-19,223.775
2001-01-22,222.196
2001-01-23,222.514
2001-01-24,215.749
2001-01-25,216.088
2001-01-26,220.832
2001-01-29,219.453
2001-01-30,222.988
2001-01-31,229.727
2001-02-01,242.663
2001-02-02,233.046
2001-02-05,237.966
2001-02-06,235.353
2001-02-07,240.353
2001-02-08,241.305
2001-02-09,239.791
2001-02-12,245.359
2001-02-13,244.087
2001-02-14,240.339
2001-02-15,237.288
2001-02-16,242.67
2001-02-19,249.609
2001-02-20,249.141
2001-02-21,250.851
2001-02-22,249.901
2001-02-23,242.659
2001-02-26,242.844
2001-02-27,247.121
2001-02-28,242.762
2001-03-01,246.338
2001-03-02,247.64
2001-03-05,244.778
2001-03-06,247.486
2001-03-07,250.008
2001-03-08,250.951
2001-03-09,247.929
2001-03-12,247.132
2001-03-13,243.321
2001-03-14,239.146
2001-03-15,237.477
2001-03-16,229.691
2001-03-19,226.565
2001-03-20,228.153
2001-03-21,226.546
2001-03-22,220.456
2001-03-23,225.611
2001-03-26,231.194
2001-03-27,233.858
2001-03-28,228.904
2001-03-29,228.179
2001-03-30,229.323
2001-04-02,224.702
2001-04-03,223.628
2001-04-04,230.088
2001-04-05,234.414
2001-04-06,230.757
2001-04-09,234.495
2001-04-10,232.941
2001-04-11,228.05
2001-04-12,229.965
2001-04-13,229.965
2001-04-16,227.61
2001-04-17,227.331
2001-04-18,225.227
2001-04-19,228.588
2001-04-20,233.367
2001-04-23,230.261
2001-04-24,233.877
2001-04-25,232.675
2001-04-26,232.528
2001-04-27,229.479
2001-04-30,229.078
2001-05-01,230.293
2001-05-02,235.725
2001-05-03,234.04
2001-05-04,231.122
2001-05-07,229.461
2001-05-08,228.2
2001-05-09,225.814
2001-05-10,227.202
2001-05-11,224.306
2001-05-14,224.582
2001-05-15,220.791
2001-05-16,221.285
2001-05-17,219.542
2001-05-18,216.421
2001-05-21,214.245
2001-05-22,211.702
2001-05-23,208.419
2001-05-24,207.662
2001-05-25,210.323
2001-05-28,212.794
2001-05-29,207.864
2001-05-30,207.001
2001-05-31,204.423
2001-06-01,208.444
2001-06-04,208.727
2001-06-05,210.107
2001-06-06,206.915
2001-06-07,210.449
2001-06-08,210.151
2001-06-11,207.181
2001-06-12,209.86
2001-06-13,211.898
2001-06-14,213.832
2001-06-15,213.938
2001-06-18,214.262
2001-06-19,213.094
2001-06-20,212.321
2001-06-21,211.09
2001-06-22,212.116
2001-06-25,215.97
2001-06-26,216.19
2001-06-27,211.831
2001-06-28,209.547
2001-06-29,203.965
2001-07-02,202.44
2001-07-03,201.462
2001-07-04,202.383
2001-07-05,201.561
2001-07-06,202.673
2001-07-09,203.948
2001-07-10,208.858
2001-07-11,210.071
2001-07-12,206.946
2001-07-13,210.498
2001-07-16,211.619
2001-07-17,208.308
2001-07-18,213.787
2001-07-19,215.884
2001-07-20,216.215
2001-07-23,216.988
2001-07-24,218.41
2001-07-25,216.684
2001-07-26,217.089
2001-07-27,220.844
2001-07-30,219.82
2001-07-31,218.066
2001-08-01,218.222
2001-08-02,216.082
2001-08-03,214.085
2001-08-06,213.924
2001-08-07,214.751
2001-08-08,214.113
2001-08-09,215.485
2001-08-10,217.924
2001-08-13,220.078
2001-08-14,218.617
2001-08-15,221.955
2001-08-16,221.198
2001-08-17,219.204
2001-08-20,217.05
2001-08-21,220.274
2001-08-22,225.127
2001-08-23,222.972
2001-08-24,221.756
2001-08-27,217.867
2001-08-28,218.949
2001-08-29,218.603
2001-08-30,215.779
2001-08-31,215.897
2001-09-03,213.755
2001-09-04,212.574
2001-09-05,210.671
2001-09-06,212.737
2001-09-07,212.398
2001-09-10,207.138
2001-09-11,206.498
2001-09-12,205.346
2001-09-13,209.934
2001-09-14,210.054
2001-09-17,207.996
2001-09-18,208.975
2001-09-19,210.679
2001-09-20,208.618
2001-09-21,204.314
2001-09-24,202.861
2001-09-25,199.266
2001-09-26,203.942
2001-09-27,206.24
2001-09-28,202.384
2001-10-01,207.631
2001-10-02,210.212
2001-10-03,210.902
2001-10-04,213.261
2001-10-05,208.756
2001-10-08,211.315
2001-10-09,210.825
2001-10-10,205.412
2001-10-11,206.832
2001-10-12,210.623
2001-10-15,208.483
2001-10-16,214.636
2001-10-17,215.44
2001-10-18,214.3
2001-10-19,208.189
2001-10-22,205.28
2001-10-23,205.381
2001-10-24,204.647
2001-10-25,203.137
2001-10-26,202.262
2001-10-29,203.077
2001-10-30,204.922
2001-10-31,208.373
2001-11-01,209.703
2001-11-02,206.794
2001-11-05,207.038
2001-11-06,210.888
2001-11-07,208.983
2001-11-08,209.067
2001-11-09,208.054
2001-11-12,208.96
2001-11-13,205.065
2001-11-14,206.38
2001-11-15,208.28
2001-11-16,209.605
2001-11-19,203.872
2001-11-20,206.97
2001-11-21,206.472
2001-11-22,209.467
2001-11-23,209.739
2001-11-26,209.723
2001-11-27,210.948
2001-11-28,212.216
2001-11-29,212.882
2001-11-30,219.624
2001-12-03,216.525
2001-12-04,219.99
2001-12-05,219.959
2001-12-06,220.353
2001-12-07,220.47
2001-12-10,221.038
2001-12-11,220.038
2001-12-12,221.243
2001-12-13,221.833
2001-12-14,223.651
2001-12-17,223.019
2001-12-18,221.392
2001-12-19,218.819
2001-12-20,217.304
2001-12-21,216.722
2001-12-24,214.631
2001-12-25,214.631
2001-12-26,214.814
2001-12-27,219.19
2001-12-28,218.334
2001-12-31,220.448
2002-01-01,220.448
2002-01-02,221.953
2002-01-03,222.632
2002-01-04,221.424
2002-01-07,221.786
2002-01-08,220.121
2002-01-09,219.867
2002-01-10,222.264
2002-01-11,221.774
2002-01-14,222.558
2002-01-15,223.044
2002-01-16,219.667
2002-01-17,220.464
2002-01-18,221.965
2002-01-21,222.389
2002-01-22,221.9
2002-01-23,221.951
2002-01-24,222.195
2002-01-25,219.614
2002-01-28,217.283
2002-01-29,216.867
2002-01-30,216.978
2002-01-31,216.764
2002-02-01,217.807
2002-02-04,218.779
2002-02-05,217.63
2002-02-06,218.003
2002-02-07,221.088
2002-02-08,222.426
2002-02-11,222.875
2002-02-12,222.867
2002-02-13,220.516
2002-02-14,220.493
2002-02-15,220.411
2002-02-18,220.514
2002-02-19,222.191
2002-02-20,219.598
2002-02-21,219.304
2002-02-22,220.438
2002-02-25,218.811
2002-02-26,214.09
2002-02-27,213.902
2002-02-28,213.068
2002-03-01,212.734
2002-03-04,216.409
2002-03-05,214.112
2002-03-06,215.509
2002-03-07,216.705
2002-03-08,218.831
2002-03-11,219.33
2002-03-12,216.807
2002-03-13,217.56
2002-03-14,218.34
2002-03-15,219.993
2002-03-18,219.924
2002-03-19,220.81
2002-03-20,219.88
2002-03-21,218.823
2002-03-22,219.513
2002-03-25,219.417
2002-03-26,218.454
2002-03-27,219.258
2002-03-28,218.637
2002-03-29,218.637
2002-04-01,220.429
2002-04-02,224.234
2002-04-03,223.566
2002-04-04,224.283
2002-04-05,223.771
2002-04-08,220.585
2002-04-09,222.97
2002-04-10,223.695
2002-04-11,226.556
2002-04-12,226.402
2002-04-15,225.751
2002-04-16,224.59
2002-04-17,224.29
2002-04-18,224.236
2002-04-19,224.474
2002-04-22,224.566
2002-04-23,224.76
2002-04-24,225.183
2002-04-25,227.142
2002-04-26,227.57
2002-04-29,227.847
2002-04-30,227.403
2002-05-01,228.69
2002-05-02,227.763
2002-05-03,230.424
2002-05-06,231.068
2002-05-07,228.634
2002-05-08,227.217
2002-05-09,227.23
2002-05-10,229.314
2002-05-13,228.774
2002-05-14,225.631
2002-05-15,227.574
2002-05-16,227.274
2002-05-17,230.731
2002-05-20,230.725
2002-05-21,229.233
2002-05-22,231.314
2002-05-23,231.457
2002-05-24,230.936
2002-05-27,229.438
2002-05-28,232.976
2002-05-29,233.514
2002-05-30,234.846
2002-05-31,233.277
2002-06-03,235.132
2002-06-04,235.336
2002-06-05,233.901
2002-06-06,237.153
2002-06-07,236.178
2002-06-10,236.537
2002-06-11,232.706
2002-06-12,233.288
2002-06-13,232.342
2002-06-14,232.822
2002-06-17,232.11
2002-06-18,233.822
2002-06-19,235.875
2002-06-20,236.513
2002-06-21,238.726
2002-06-24,237.666
2002-06-25,235.167
2002-06-26,237.271
2002-06-27,239.525
2002-06-28,239.522
2002-07-01,242.263
2002-07-02,235.461
2002-07-03,236.348
2002-07-04,235.817
2002-07-05,235.026
2002-07-08,238.761
2002-07-09,239.821
2002-07-10,237.861
2002-07-11,236.699
2002-07-12,237.125
2002-07-15,238.265
2002-07-16,234.317
2002-07-17,234.389
2002-07-18,232.513
2002-07-19,227.419
2002-07-22,226.154
2002-07-23,225.213
2002-07-24,220.641
2002-07-25,224.596
2002-07-26,220.528
2002-07-29,217.401
2002-07-30,220.83
2002-07-31,213.915
2002-08-01,215.292
2002-08-02,214.842
2002-08-05,214.668
2002-08-06,210.896
2002-08-07,211.041
2002-08-08,211.493
2002-08-09,214.869
2002-08-12,214.267
2002-08-13,212.984
2002-08-14,214.296
2002-08-15,212.7
2002-08-16,219.618
2002-08-19,216.466
2002-08-20,215.874
2002-08-21,216.611
2002-08-22,214.158
2002-08-23,213.578
2002-08-26,214.856
2002-08-27,216.183
2002-08-28,212.1
2002-08-29,211.626
2002-08-30,211.045
2002-09-02,209.592
2002-09-03,213.61
2002-09-04,213.399
2002-09-05,213.775
2002-09-06,210.239
2002-09-09,210.466
2002-09-10,205.582
2002-09-11,203.614
2002-09-12,204.679
2002-09-13,205.389
2002-09-16,204.393
2002-09-17,204.205
2002-09-18,205.126
2002-09-19,206.229
2002-09-20,206.302
2002-09-23,206.984
2002-09-24,203.758
2002-09-25,202.563
2002-09-26,203.139
2002-09-27,204.295
2002-09-30,207.133
2002-10-01,202.133
2002-10-02,205.09
2002-10-03,203.222
2002-10-04,199.262
2002-10-07,195.948
2002-10-08,189.417
2002-10-09,191.004
2002-10-10,193.785
2002-10-11,192.414
2002-10-14,191.926
2002-10-15,194.565
2002-10-16,194.481
2002-10-17,192.92
2002-10-18,193.5
2002-10-21,193.478
2002-10-22,196.012
2002-10-23,195.596
2002-10-24,195.484
2002-10-25,193.808
2002-10-28,197.666
2002-10-29,198.542
2002-10-30,200.977
2002-10-31,205.744
2002-11-01,207.022
2002-11-04,206.999
2002-11-05,208.456
2002-11-06,207.753
2002-11-07,211.761
2002-11-08,212.374
2002-11-11,209.739
2002-11-12,209.419
2002-11-13,210.521
2002-11-14,210.249
2002-11-15,208.637
2002-11-18,207.779
2002-11-19,207.644
2002-11-20,206.965
2002-11-21,206.775
2002-11-22,206.531
2002-11-25,207.481
2002-11-26,208.256
2002-11-27,208.222
2002-11-28,210.857
2002-11-29,208.863
2002-12-02,211.136
2002-12-03,212.5
2002-12-04,215.158
2002-12-05,212.809
2002-12-06,215.585
2002-12-09,213.211
2002-12-10,216.948
2002-12-11,217.03
2002-12-12,218.2
2002-12-13,218.17
2002-12-16,217.184
2002-12-17,220.06
2002-12-18,217.931
2002-12-19,218.439
2002-12-20,224.688
2002-12-23,223.66
2002-12-24,224.586
2002-12-25,224.586
2002-12-26,225.152
2002-12-27,226.63
2002-12-30,228.337
2002-12-31,229.233
2003-01-01,229.233
2003-01-02,225.532
2003-01-03,226.478
2003-01-06,227.869
2003-01-07,226.753
2003-01-08,224.072
2003-01-09,231.511
2003-01-10,232.811
2003-01-13,233.884
2003-01-14,239.546
2003-01-15,239.619
2003-01-16,239.445
2003-01-17,239.823
2003-01-20,239.939
2003-01-21,238.781
2003-01-22,237.847
2003-01-23,240.456
2003-01-24,246.289
2003-01-27,244.326
2003-01-28,245.164
2003-01-29,242.385
2003-01-30,236.974
2003-01-31,238.8
2003-02-03,240.667
2003-02-04,241.716
2003-02-05,243.249
2003-02-06,246.992
2003-02-07,245.832
2003-02-10,243.222
2003-02-11,238.814
2003-02-12,235.101
2003-02-13,239.525
2003-02-14,239.201
2003-02-17,240.86
2003-02-18,238.414
2003-02-19,238.575
2003-02-20,238.576
2003-02-21,238.222
2003-02-24,237.33
2003-02-25,236.211
2003-02-26,239.32
2003-02-27,240.868
2003-02-28,240.982
2003-03-03,245.25
2003-03-04,245.347
2003-03-05,248.248
2003-03-06,246.9
2003-03-07,246.044
2003-03-10,244.939
2003-03-11,243.697
2003-03-12,242.169
2003-03-13,237.486
2003-03-14,233.482
2003-03-17,231.335
2003-03-18,232.801
2003-03-19,230.676
2003-03-20,232.127
2003-03-21,232.799
2003-03-24,234.85
2003-03-25,236.155
2003-03-26,236.711
2003-03-27,238.06
2003-03-28,239.22
2003-03-31,242.143
2003-04-01,241.689
2003-04-02,242.456
2003-04-03,238.055
2003-04-04,239.351
2003-04-07,239.301
2003-04-08,237.774
2003-04-09,237.501
2003-04-10,240.319
2003-04-11,238.884
2003-04-14,237.791
2003-04-15,238.5
2003-04-16,239.963
2003-04-17,242.06
2003-04-18,242.06
2003-04-21,241.017
2003-04-22,242.196
2003-04-23,246.208
2003-04-24,249.361
2003-04-25,248.81
2003-04-28,248.266
2003-04-29,251.277
2003-04-30,254.798
2003-05-01,257.138
2003-05-02,262.41
2003-05-05,265.911
2003-05-06,270.017
2003-05-07,270.883
2003-05-08,271.751
2003-05-09,272.339
2003-05-12,279.223
2003-05-13,278.827
2003-05-14,278.426
2003-05-15,281.19
2003-05-16,283.331
2003-05-19,281.778
2003-05-20,280.995
2003-05-21,284.695
2003-05-22,284.597
2003-05-23,288.527
2003-05-26,289.382
2003-05-27,288.35
2003-05-28,285.375
2003-05-29,287.49
2003-05-30,277.433
2003-06-02,282.616
2003-06-03,281.978
2003-06-04,280.686
2003-06-05,285.958
2003-06-06,283.555
2003-06-09,285.095
2003-06-10,284.46
2003-06-11,287.359
2003-06-12,282.239
2003-06-13,285.944
2003-06-16,287.609
2003-06-17,288.513
2003-06-18,285.018
2003-06-19,284.86
2003-06-20,283.699
2003-06-23,281.712
2003-06-24,280.989
2003-06-25,281.458
2003-06-26,280.306
2003-06-27,281.054
2003-06-30,281.223
2003-07-01,285.145
2003-07-02,287.126
2003-07-03,285.122
2003-07-04,285.057
2003-07-07,286.507
2003-07-08,282.204
2003-07-09,282.973
2003-07-10,280.449
2003-07-11,281.138
2003-07-14,283.021
2003-07-15,280.87
2003-07-16,281.378
2003-07-17,279.282
2003-07-18,279.681
2003-07-21,280.144
2003-07-22,279.345
2003-07-23,284.785
2003-07-24,283.125
2003-07-25,284.18
2003-07-28,283.552
2003-07-29,283.964
2003-07-30,280.401
2003-07-31,276.376
2003-08-01,275.661
2003-08-04,277.6
2003-08-05,279.617
2003-08-06,279.387
2003-08-07,281.341
2003-08-08,278.744
2003-08-11,277.747
2003-08-12,278.535
2003-08-13,279.239
2003-08-14,278.589
2003-08-15,278.391
2003-08-18,277.192
2003-08-19,277.747
2003-08-20,279.766
2003-08-21,274.879
2003-08-22,271.901
2003-08-25,273.404
2003-08-26,274.185
2003-08-27,275.167
2003-08-28,274.464
2003-08-29,275.593
2003-09-01,276.128
2003-09-02,276.59
2003-09-03,276.928
2003-09-04,277.306
2003-09-05,280.533
2003-09-08,284.601
2003-09-09,284.496
2003-09-10,284.471
2003-09-11,286.116
2003-09-12,289.449
2003-09-15,285.585
2003-09-16,283.313
2003-09-17,284.69
2003-09-18,285.31
2003-09-19,287.966
2003-09-22,288.843
2003-09-23,288.341
2003-09-24,287.275
2003-09-25,287.935
2003-09-26,286.881
2003-09-29,289.089
2003-09-30,293.054
2003-10-01,292.334
2003-10-02,292.635
2003-10-03,291.986
2003-10-06,295.436
2003-10-07,299.47
2003-10-08,302.111
2003-10-09,301.829
2003-10-10,303.898
2003-10-13,303.394
2003-10-14,304.211
2003-10-15,302.411
2003-10-16,305.533
2003-10-17,304.587
2003-10-20,305.41
2003-10-21,303.192
2003-10-22,305.794
2003-10-23,305.415
2003-10-24,306.206
2003-10-27,304.903
2003-10-28,302.943
2003-10-29,306.247
2003-10-30,307.595
2003-10-31,303.971
2003-11-03,302.541
2003-11-04,305.582
2003-11-05,304.103
2003-11-06,300.771
2003-11-07,300.821
2003-11-10,303.088
2003-11-11,302.066
2003-11-12,304.338
2003-11-13,309.093
2003-11-14,310.812
2003-11-17,310.144
2003-11-18,313.12
2003-11-19,315.585
2003-11-20,313.236
2003-11-21,315.038
2003-11-24,312.656
2003-11-25,311.518
2003-11-26,312.62
2003-11-27,316.406
2003-11-28,319.362
2003-12-01,319.849
2003-12-02,323.874
2003-12-03,323.546
2003-12-04,321.333
2003-12-05,323.575
2003-12-08,325.614
2003-12-09,326.877
2003-12-10,324.368
2003-12-11,320.91
2003-12-12,327.67
2003-12-15,328.482
2003-12-16,326.226
2003-12-17,327.07
2003-12-18,329.557
2003-12-19,333.522
2003-12-22,336.146
2003-12-23,339.972
2003-12-24,340.931
2003-12-25,340.931
2003-12-26,340.794
2003-12-29,342.778
2003-12-30,343.45
2003-12-31,345.725
2004-01-01,345.725
2004-01-02,348.364
2004-01-05,357.169
2004-01-06,359.311
2004-01-07,361.253
2004-01-08,363.025
2004-01-09,364.317
2004-01-12,362.685
2004-01-13,365.498
2004-01-14,366.611
2004-01-15,365.918
2004-01-16,362.485
2004-01-19,362.683
2004-01-20,363.011
2004-01-21,367.191
2004-01-22,377.407
2004-01-23,376.951
2004-01-26,369.951
2004-01-27,375.072
2004-01-28,376.225
2004-01-29,365.567
2004-01-30,365.401
2004-02-02,369.126
2004-02-03,372.13
2004-02-04,372.579
2004-02-05,373.614
2004-02-06,376.936
2004-02-09,380.865
2004-02-10,380.475
2004-02-11,382.291
2004-02-12,388.196
2004-02-13,392.757
