Date,AUSTRIA SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,458.208
1994-06-30,493.001
1994-07-29,486.65
1994-08-31,505.475
1994-09-30,490.94
1994-10-31,498.494
1994-11-30,480.09
1994-12-30,488.96
1995-01-31,472.517
1995-02-28,489.59
1995-03-31,491.631
1995-04-28,483.669
1995-05-31,507.537
1995-06-30,520.656
1995-07-31,539.384
1995-08-31,503.102
1995-09-29,511.477
1995-10-31,496.646
1995-11-30,489.433
1995-12-29,494.999
1996-01-31,509.021
1996-02-29,507.112
1996-03-29,502.809
1996-04-30,496.338
1996-05-31,502.443
1996-06-28,492.106
1996-07-31,487.964
1996-08-30,492.601
1996-09-30,470.377
1996-10-31,480.014
1996-11-29,487.607
1996-12-31,497.666
1997-01-31,479.105
1997-02-28,473.822
1997-03-31,473.623
1997-04-30,458.904
1997-05-30,488.485
1997-06-30,497.127
1997-07-31,538.074
1997-08-29,493.042
1997-09-30,536.777
1997-10-31,483.663
1997-11-28,448.408
1997-12-31,452.222
1998-01-30,468.046
1998-02-27,513.615
1998-03-31,524.763
1998-04-30,555.965
1998-05-29,562.863
1998-06-30,525.879
1998-07-31,514.555
1998-08-31,430.765
1998-09-30,391.346
1998-10-30,420.875
1998-11-30,401.489
1998-12-31,407.201
1999-01-29,399.976
1999-02-26,398.685
1999-03-31,387.264
1999-04-30,384.324
1999-05-31,343.214
1999-06-30,363.035
1999-07-30,374.533
1999-08-31,363.445
1999-09-30,355.3
1999-10-29,352.168
1999-11-30,318.929
1999-12-31,336.149
2000-01-31,284.199
2000-02-29,294.031
2000-03-31,277.833
2000-04-28,250.076
2000-05-31,262.708
2000-06-30,272.866
2000-07-31,256.054
2000-08-31,241.072
2000-09-29,248.305
2000-10-31,216.368
2000-11-30,219.839
2000-12-29,225.669
2001-01-31,229.727
2001-02-28,242.762
2001-03-30,229.323
2001-04-30,229.078
2001-05-31,204.423
2001-06-29,203.965
2001-07-31,218.066
2001-08-31,215.897
2001-09-28,202.384
2001-10-31,208.373
2001-11-30,219.624
2001-12-31,220.448
2002-01-31,216.764
2002-02-28,213.068
2002-03-29,218.637
2002-04-30,227.403
2002-05-31,233.277
2002-06-28,239.522
2002-07-31,213.915
2002-08-30,211.045
2002-09-30,207.133
2002-10-31,205.744
2002-11-29,208.863
2002-12-31,229.233
2003-01-31,238.8
2003-02-28,240.982
2003-03-31,242.143
2003-04-30,254.798
2003-05-30,277.433
2003-06-30,281.223
2003-07-31,276.376
2003-08-29,275.593
2003-09-30,293.054
2003-10-31,303.971
2003-11-28,319.362
2003-12-31,345.725
2004-01-30,365.401
2004-02-27,380.087
2004-03-31,390.362
2004-04-30,394.031
2004-05-31,397.15
2004-06-30,414.543
2004-07-30,414.598
2004-08-31,403.792
2004-09-30,420.502
2004-10-29,445.879
2004-11-30,500.086
2004-12-31,541.114
2005-01-31,534.394
2005-02-28,571.728
2005-03-31,554.585
2005-04-29,548.536
2005-05-31,548.259
2005-06-30,570.349
2005-07-29,590.109
2005-08-31,600.334
2005-09-30,591.535
2005-10-31,579.434
2005-11-30,606.958
2005-12-30,632.194
2006-01-31,699.642
2006-02-28,704.536
2006-03-31,719.039
2006-04-28,765.396
2006-05-31,719.463
2006-06-30,717.141
2006-07-31,700.503
2006-08-31,726.349
2006-09-29,755.894
2006-10-31,784.332
2006-11-30,831.567
2006-12-29,885.201
2007-01-31,907.853
2007-02-28,909.799
2007-03-30,964.153
2007-04-30,999.073
2007-05-31,1000.0
2007-06-29,992.214
2007-07-31,933.192
2007-08-31,866.29
2007-09-28,835.125
2007-10-31,884.83
2007-11-30,786.551
2007-12-31,769.555
2008-01-31,685.274
2008-02-29,682.202
2008-03-31,692.564
2008-04-30,750.923
2008-05-30,781.518
2008-06-30,732.348
2008-07-31,658.766
2008-08-29,624.021
2008-09-30,455.373
2008-10-31,294.07
2008-11-28,297.648
2008-12-31,337.235
2009-01-30,334.956
2009-02-27,302.883
2009-03-31,347.923
2009-04-30,376.685
2009-05-29,431.222
2009-06-30,451.302
2009-07-31,462.882
2009-08-31,492.684
2009-09-30,547.723
2009-10-30,552.883
2009-11-30,564.347
2009-12-31,542.721
2010-01-29,513.476
2010-02-26,489.699
2010-03-31,529.571
2010-04-30,543.985
2010-05-31,460.717
2010-06-30,430.716
2010-07-30,502.996
2010-08-31,479.121
2010-09-30,561.01
2010-10-29,596.154
2010-11-30,562.538
2010-12-31,640.712
2011-01-31,628.113
2011-02-28,628.407
2011-03-31,647.125
2011-04-29,675.047
2011-05-31,660.435
2011-06-30,662.165
2011-07-29,628.598
2011-08-31,536.175
2011-09-30,448.787
2011-10-31,501.373
2011-11-30,460.373
2011-12-30,444.909
2012-01-31,482.508
2012-02-29,520.416
2012-03-30,526.241
2012-04-30,543.797
2012-05-31,517.003
2012-06-29,508.059
2012-07-31,524.517
2012-08-31,523.288
2012-09-28,557.212
2012-10-31,573.909
2012-11-30,596.213
2012-12-31,608.878
2013-01-31,634.155
2013-02-28,645.523
2013-03-29,625.515
2013-04-30,617.055
2013-05-31,565.521
2013-06-28,537.472
2013-07-31,562.436
2013-08-30,556.484
2013-09-30,599.122
2013-10-31,617.898
2013-11-29,626.192
2013-12-31,613.719
2014-01-31,602.746
2014-02-28,671.797
2014-03-31,669.745
2014-04-30,669.91
2014-05-30,649.818
2014-06-30,644.361
2014-07-31,600.581
2014-08-29,583.844
2014-09-30,556.705
2014-10-31,503.654
2014-11-28,544.818
2014-12-31,544.49
2015-01-30,534.41
2015-02-27,581.048
2015-03-31,582.741
2015-04-30,591.113
2015-05-29,599.248
2015-06-30,570.643
2015-07-31,588.622
2015-08-31,545.154
2015-09-30,516.025
2015-10-30,561.662
2015-11-30,554.038
2015-12-31,554.678
2016-01-29,499.622
2016-02-29,520.822
2016-03-31,580.417
2016-04-29,592.857
2016-05-31,547.451
2016-06-30,485.76
2016-07-29,516.452
2016-08-31,515.094
2016-09-30,554.754
2016-10-31,537.537
2016-11-30,541.409
2016-12-30,543.581
2017-01-31,586.212
2017-02-28,582.579
2017-03-31,584.647
2017-04-28,626.992
2017-05-31,668.374
2017-06-30,655.521
2017-07-31,673.29
2017-08-31,602.981
2017-09-29,648.796
2017-10-31,661.622
2017-11-30,632.68
2017-12-29,654.76
2018-01-31,731.186
2018-02-28,685.703
2018-03-30,681.839
2018-04-30,649.941
2018-05-31,620.405
2018-06-29,618.479
2018-07-31,655.516
2018-08-31,662.397
2018-09-28,642.801
2018-10-31,585.645
2018-11-30,579.437
2018-12-31,541.804
2019-01-31,613.861
2019-02-28,595.549
2019-03-29,566.278
2019-04-30,612.06
2019-05-31,557.03
2019-06-28,591.103
2019-07-31,586.357
2019-08-30,589.085
2019-09-30,598.744
2019-10-31,629.753
2019-11-29,609.536
2019-12-31,626.307
2020-01-31,632.282
2020-02-28,559.667
2020-03-31,391.134
2020-04-30,461.477
2020-05-29,472.063
2020-06-30,471.355
2020-07-31,502.554
2020-08-31,515.913
