Date,SWEDEN SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,216.83
1994-06-30,207.343
1994-07-29,212.9
1994-08-31,209.282
1994-09-30,210.894
1994-10-31,233.079
1994-11-30,226.204
1994-12-30,226.624
1995-01-31,234.015
1995-02-28,235.377
1995-03-31,214.375
1995-04-28,234.003
1995-05-31,231.459
1995-06-30,241.522
1995-07-31,257.882
1995-08-31,248.609
1995-09-29,271.68
1995-10-31,265.55
1995-11-30,269.481
1995-12-29,272.865
1996-01-31,261.725
1996-02-29,270.861
1996-03-29,279.148
1996-04-30,295.02
1996-05-31,303.765
1996-06-28,310.854
1996-07-31,305.074
1996-08-30,315.892
1996-09-30,327.916
1996-10-31,336.396
1996-11-29,354.676
1996-12-31,362.407
1997-01-31,365.384
1997-02-28,365.69
1997-03-31,364.824
1997-04-30,333.411
1997-05-30,349.355
1997-06-30,357.263
1997-07-31,366.695
1997-08-29,361.851
1997-09-30,394.41
1997-10-31,374.999
1997-11-28,373.456
1997-12-31,370.072
1998-01-30,369.194
1998-02-27,393.523
1998-03-31,428.796
1998-04-30,459.512
1998-05-29,483.551
1998-06-30,485.086
1998-07-31,516.778
1998-08-31,441.861
1998-09-30,416.252
1998-10-30,421.446
1998-11-30,455.632
1998-12-31,461.538
1999-01-29,476.165
1999-02-26,459.585
1999-03-31,437.811
1999-04-30,437.431
1999-05-31,434.315
1999-06-30,451.035
1999-07-30,455.085
1999-08-31,449.593
1999-09-30,478.955
1999-10-29,489.182
1999-11-30,562.176
1999-12-31,721.013
2000-01-31,766.592
2000-02-29,936.546
2000-03-31,849.04
2000-04-28,751.129
2000-05-31,710.442
2000-06-30,652.373
2000-07-31,628.424
2000-08-31,596.56
2000-09-29,542.065
2000-10-31,476.57
2000-11-30,402.477
2000-12-29,439.414
2001-01-31,446.736
2001-02-28,390.425
2001-03-30,339.515
2001-04-30,378.227
2001-05-31,356.101
2001-06-29,325.132
2001-07-31,319.581
2001-08-31,285.757
2001-09-28,262.813
2001-10-31,283.56
2001-11-30,314.903
2001-12-31,327.697
2002-01-31,316.647
2002-02-28,321.042
2002-03-29,334.847
2002-04-30,317.328
2002-05-31,323.715
2002-06-28,326.191
2002-07-31,277.851
2002-08-30,265.949
2002-09-30,220.188
2002-10-31,258.746
2002-11-29,297.179
2002-12-31,277.614
2003-01-31,261.989
2003-02-28,259.442
2003-03-31,253.011
2003-04-30,291.999
2003-05-30,306.902
2003-06-30,308.947
2003-07-31,314.333
2003-08-29,318.234
2003-09-30,336.615
2003-10-31,363.16
2003-11-28,384.562
2003-12-31,411.746
2004-01-30,423.299
2004-02-27,430.397
2004-03-31,416.453
2004-04-30,417.016
2004-05-31,417.266
2004-06-30,421.614
2004-07-30,395.878
2004-08-31,392.863
2004-09-30,420.566
2004-10-29,426.911
2004-11-30,478.607
2004-12-31,504.255
2005-01-31,491.081
2005-02-28,517.863
2005-03-31,506.568
2005-04-29,485.926
2005-05-31,499.715
2005-06-30,498.389
2005-07-29,527.237
2005-08-31,530.523
2005-09-30,548.209
2005-10-31,520.597
