Date,SWEDEN SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,439.414
2001-01-02,424.811
2001-01-03,401.721
2001-01-04,418.19
2001-01-05,425.207
2001-01-08,417.534
2001-01-09,408.009
2001-01-10,407.622
2001-01-11,411.544
2001-01-12,418.531
2001-01-15,421.259
2001-01-16,413.43
2001-01-17,425.012
2001-01-18,439.837
2001-01-19,446.038
2001-01-22,436.49
2001-01-23,433.089
2001-01-24,430.642
2001-01-25,425.353
2001-01-26,424.104
2001-01-29,428.852
2001-01-30,434.837
2001-01-31,446.736
2001-02-01,443.148
2001-02-02,439.527
2001-02-05,432.381
2001-02-06,442.264
2001-02-07,434.663
2001-02-08,424.971
2001-02-09,417.86
2001-02-12,411.642
2001-02-13,406.04
2001-02-14,397.127
2001-02-15,405.206
2001-02-16,399.299
2001-02-19,399.42
2001-02-20,401.005
2001-02-21,391.853
2001-02-22,378.653
2001-02-23,374.478
2001-02-26,383.027
2001-02-27,389.273
2001-02-28,390.425
2001-03-01,387.957
2001-03-02,385.967
2001-03-05,387.591
2001-03-06,396.648
2001-03-07,393.273
2001-03-08,393.743
2001-03-09,390.02
2001-03-12,371.91
2001-03-13,358.758
2001-03-14,347.128
2001-03-15,350.818
2001-03-16,334.749
2001-03-19,332.447
2001-03-20,342.215
2001-03-21,330.753
2001-03-22,310.854
2001-03-23,328.199
2001-03-26,350.883
2001-03-27,353.725
2001-03-28,342.968
2001-03-29,333.863
2001-03-30,339.515
2001-04-02,337.518
2001-04-03,330.532
2001-04-04,329.283
2001-04-05,343.043
2001-04-06,342.562
2001-04-09,352.744
2001-04-10,356.06
2001-04-11,352.804
2001-04-12,356.001
2001-04-13,356.001
2001-04-16,352.27
2001-04-17,350.353
2001-04-18,360.349
2001-04-19,378.316
2001-04-20,377.751
2001-04-23,368.13
2001-04-24,365.023
2001-04-25,366.731
2001-04-26,370.77
2001-04-27,371.139
2001-04-30,378.227
2001-05-01,379.81
2001-05-02,383.773
2001-05-03,376.761
2001-05-04,374.884
2001-05-07,371.774
2001-05-08,368.745
2001-05-09,367.083
2001-05-10,373.492
2001-05-11,368.741
2001-05-14,363.631
2001-05-15,361.618
2001-05-16,362.523
2001-05-17,368.956
2001-05-18,375.525
2001-05-21,378.767
2001-05-22,378.406
2001-05-23,375.851
2001-05-24,374.64
2001-05-25,373.212
2001-05-28,372.859
2001-05-29,370.037
2001-05-30,361.766
2001-05-31,356.101
2001-06-01,350.702
2001-06-04,348.876
2001-06-05,350.458
2001-06-06,349.062
2001-06-07,350.122
2001-06-08,348.151
2001-06-11,339.795
2001-06-12,337.578
2001-06-13,342.475
2001-06-14,338.375
2001-06-15,342.026
2001-06-18,340.187
2001-06-19,331.399
2001-06-20,321.022
2001-06-21,322.451
2001-06-22,323.125
2001-06-25,327.372
2001-06-26,317.998
2001-06-27,320.426
2001-06-28,324.422
2001-06-29,325.132
2001-07-02,326.551
2001-07-03,324.732
2001-07-04,320.401
2001-07-05,313.892
2001-07-06,307.888
2001-07-09,304.106
2001-07-10,308.839
2001-07-11,309.447
2001-07-12,313.137
2001-07-13,312.909
2001-07-16,313.519
2001-07-17,308.47
2001-07-18,312.871
2001-07-19,315.275
2001-07-20,311.531
2001-07-23,307.557
2001-07-24,307.302
2001-07-25,306.613
2001-07-26,307.474
2001-07-27,311.318
2001-07-30,315.955
2001-07-31,319.581
2001-08-01,322.02
2001-08-02,329.865
2001-08-03,329.692
2001-08-06,326.095
2001-08-07,323.02
2001-08-08,321.13
2001-08-09,316.397
2001-08-10,311.218
2001-08-13,311.644
2001-08-14,315.572
2001-08-15,316.432
2001-08-16,308.796
2001-08-17,308.198
2001-08-20,297.259
2001-08-21,298.446
