Date,SWEDEN SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,206.273
1994-06-30,197.248
1994-07-29,202.534
1994-08-31,199.093
1994-09-30,200.626
1994-10-31,221.731
1994-11-30,215.191
1994-12-30,215.591
1995-01-31,222.669
1995-02-28,223.965
1995-03-31,203.981
1995-04-28,223.101
1995-05-31,221.18
1995-06-30,230.802
1995-07-31,246.436
1995-08-31,237.575
1995-09-29,259.622
1995-10-31,253.764
1995-11-30,257.521
1995-12-29,260.754
1996-01-31,250.182
1996-02-29,258.914
1996-03-29,266.836
1996-04-30,282.483
1996-05-31,291.37
1996-06-28,298.423
1996-07-31,292.873
1996-08-30,303.259
1996-09-30,314.802
1996-10-31,322.943
1996-11-29,340.492
1996-12-31,347.913
1997-01-31,350.842
1997-02-28,351.136
1997-03-31,350.36
1997-04-30,320.762
1997-05-30,336.49
1997-06-30,344.169
1997-07-31,353.255
1997-08-29,348.589
1997-09-30,379.954
1997-10-31,361.255
1997-11-28,359.768
1997-12-31,356.508
1998-01-30,355.663
1998-02-27,379.174
1998-03-31,413.319
1998-04-30,443.396
1998-05-29,467.013
1998-06-30,468.517
1998-07-31,499.126
1998-08-31,426.768
1998-09-30,402.034
1998-10-30,407.05
1998-11-30,440.069
1998-12-31,445.773
1999-01-29,459.9
1999-02-26,443.887
1999-03-31,422.942
1999-04-30,423.013
1999-05-31,420.0
1999-06-30,436.169
1999-07-30,440.085
1999-08-31,434.774
1999-09-30,463.168
1999-10-29,473.058
1999-11-30,543.646
1999-12-31,697.248
2000-01-31,741.324
2000-02-29,905.677
2000-03-31,821.171
2000-04-28,726.567
2000-05-31,687.373
2000-06-30,631.189
2000-07-31,608.018
2000-08-31,577.188
2000-09-29,524.463
2000-10-31,461.095
2000-11-30,389.408
2000-12-29,425.145
2001-01-31,432.24
2001-02-28,377.756
2001-03-30,328.638
2001-04-30,366.452
2001-05-31,345.187
2001-06-29,315.284
2001-07-31,309.901
2001-08-31,277.102
2001-09-28,254.852
2001-10-31,274.971
2001-11-30,305.364
2001-12-31,317.77
2002-01-31,307.068
2002-02-28,311.33
2002-03-29,324.83
2002-04-30,308.33
2002-05-31,314.632
2002-06-28,317.038
2002-07-31,270.055
2002-08-30,258.486
2002-09-30,214.017
2002-10-31,251.494
2002-11-29,288.85
2002-12-31,269.833
2003-01-31,254.668
2003-02-28,252.192
2003-03-31,246.076
2003-04-30,285.251
2003-05-30,300.026
2003-06-30,302.025
2003-07-31,307.291
2003-08-29,311.104
2003-09-30,329.092
2003-10-31,355.043
2003-11-28,375.967
2003-12-31,402.543
2004-01-30,413.894
2004-02-27,420.834
2004-03-31,407.738
2004-04-30,409.473
2004-05-31,410.139
2004-06-30,414.413
2004-07-30,389.116
2004-08-31,386.153
2004-09-30,413.406
2004-10-29,419.643
2004-11-30,470.459
2004-12-31,495.711
2005-01-31,482.761
2005-02-28,509.089
2005-03-31,498.281
2005-04-29,479.975
2005-05-31,494.077
2005-06-30,492.767
2005-07-29,521.289
2005-08-31,524.537
2005-09-30,542.127
2005-10-31,514.82
2005-11-30,539.063
2005-12-30,577.276
2006-01-31,622.006
2006-02-28,630.745
2006-03-31,686.556
2006-04-28,755.468
2006-05-31,717.054
2006-06-30,713.128
2006-07-31,705.796
2006-08-31,722.609
2006-09-29,736.471
2006-10-31,771.697
2006-11-30,831.757
2006-12-29,910.827
2007-01-31,891.305
2007-02-28,866.41
2007-03-30,914.49
2007-04-30,995.745
2007-05-31,1000.0
2007-06-29,989.173
2007-07-31,996.474
2007-08-31,946.466
2007-09-28,995.041
2007-10-31,1025.924
2007-11-30,967.092
2007-12-31,942.652
2008-01-31,852.17
2008-02-29,923.435
2008-03-31,938.515
2008-04-30,967.488
2008-05-30,1019.074
2008-06-30,921.897
2008-07-31,839.08
2008-08-29,799.116
2008-09-30,616.965
2008-10-31,434.823
2008-11-28,404.922
2008-12-31,422.109
2009-01-30,398.92
2009-02-27,368.477
2009-03-31,391.079
2009-04-30,486.226
2009-05-29,551.919
2009-06-30,541.802
2009-07-31,643.837
2009-08-31,686.235
2009-09-30,706.73
