Date,SWEDEN SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,425.145
2001-01-02,411.016
2001-01-03,388.676
2001-01-04,404.611
2001-01-05,411.399
2001-01-08,403.976
2001-01-09,394.76
2001-01-10,394.385
2001-01-11,398.18
2001-01-12,404.94
2001-01-15,407.58
2001-01-16,400.006
2001-01-17,411.211
2001-01-18,425.555
2001-01-19,431.565
2001-01-22,422.327
2001-01-23,419.036
2001-01-24,416.669
2001-01-25,411.551
2001-01-26,410.343
2001-01-29,414.936
2001-01-30,420.727
2001-01-31,432.24
2001-02-01,428.768
2001-02-02,425.266
2001-02-05,418.351
2001-02-06,427.914
2001-02-07,420.559
2001-02-08,411.182
2001-02-09,404.301
2001-02-12,398.285
2001-02-13,392.864
2001-02-14,384.241
2001-02-15,392.058
2001-02-16,386.343
2001-02-19,386.459
2001-02-20,387.994
2001-02-21,379.139
2001-02-22,366.366
2001-02-23,362.327
2001-02-26,370.599
2001-02-27,376.642
2001-02-28,377.756
2001-03-01,375.369
2001-03-02,373.443
2001-03-05,375.014
2001-03-06,383.777
2001-03-07,380.512
2001-03-08,380.967
2001-03-09,377.365
2001-03-12,359.843
2001-03-13,347.118
2001-03-14,335.864
2001-03-15,339.435
2001-03-16,323.887
2001-03-19,321.66
2001-03-20,331.111
2001-03-21,320.115
2001-03-22,300.856
2001-03-23,317.643
2001-03-26,339.598
2001-03-27,342.348
2001-03-28,331.937
2001-03-29,323.125
2001-03-30,328.638
2001-04-02,326.706
2001-04-03,319.943
2001-04-04,318.735
2001-04-05,332.063
2001-04-06,331.599
2001-04-09,341.454
2001-04-10,344.664
2001-04-11,341.512
2001-04-12,344.607
2001-04-13,344.607
2001-04-16,340.995
2001-04-17,339.14
2001-04-18,348.816
2001-04-19,366.411
2001-04-20,365.863
2001-04-23,356.563
2001-04-24,353.6
2001-04-25,355.308
2001-04-26,359.221
2001-04-27,359.585
2001-04-30,366.452
2001-05-01,367.986
2001-05-02,371.826
2001-05-03,365.043
2001-05-04,363.236
2001-05-07,360.318
2001-05-08,357.389
2001-05-09,355.777
2001-05-10,361.993
2001-05-11,357.401
2001-05-14,352.448
2001-05-15,350.497
2001-05-16,351.374
2001-05-17,357.609
2001-05-18,363.99
2001-05-21,367.15
2001-05-22,366.801
2001-05-23,364.324
2001-05-24,363.15
2001-05-25,361.766
2001-05-28,361.424
2001-05-29,358.696
2001-05-30,350.678
2001-05-31,345.187
2001-06-01,339.952
2001-06-04,338.183
2001-06-05,339.717
2001-06-06,338.364
2001-06-07,339.391
2001-06-08,337.48
2001-06-11,329.38
2001-06-12,327.231
2001-06-13,331.978
2001-06-14,328.004
2001-06-15,331.542
2001-06-18,329.76
2001-06-19,321.242
2001-06-20,311.182
2001-06-21,312.568
2001-06-22,313.221
2001-06-25,317.338
2001-06-26,308.251
2001-06-27,310.72
2001-06-28,314.595
2001-06-29,315.284
2001-07-02,316.659
2001-07-03,314.896
2001-07-04,310.696
2001-07-05,304.384
2001-07-06,298.562
