Date,EM (EMERGING MARKETS) VALUE Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,107.96
1997-02-28,113.472
1997-03-31,110.48
1997-04-30,111.26
1997-05-30,114.036
1997-06-30,120.32
1997-07-31,122.268
1997-08-29,107.153
1997-09-30,110.447
1997-10-31,92.633
1997-11-28,88.055
1997-12-31,89.762
1998-01-30,80.652
1998-02-27,88.331
1998-03-31,93.761
1998-04-30,93.483
1998-05-29,79.818
1998-06-30,71.059
1998-07-31,72.511
1998-08-31,51.768
1998-09-30,56.046
1998-10-30,61.308
1998-11-30,67.281
1998-12-31,65.984
1999-01-29,63.569
1999-02-26,63.677
1999-03-31,73.948
1999-04-30,84.608
1999-05-31,83.223
1999-06-30,92.623
1999-07-30,89.32
1999-08-31,90.782
1999-09-30,87.403
1999-10-29,88.431
1999-11-30,95.053
1999-12-31,102.991
2000-01-31,102.358
2000-02-29,98.235
2000-03-31,98.977
2000-04-28,90.754
2000-05-31,87.627
2000-06-30,89.565
2000-07-31,88.107
2000-08-31,87.684
2000-09-29,80.149
2000-10-31,74.456
2000-11-30,68.731
2000-12-29,70.883
2001-01-31,80.639
2001-02-28,76.763
2001-03-30,70.045
2001-04-30,72.534
2001-05-31,74.319
2001-06-29,73.235
2001-07-31,67.735
2001-08-31,68.734
2001-09-28,58.69
2001-10-31,61.732
2001-11-30,68.032
2001-12-31,72.171
2002-01-31,76.303
2002-02-28,78.064
2002-03-29,81.936
2002-04-30,82.58
2002-05-31,81.945
2002-06-28,75.77
2002-07-31,70.515
2002-08-30,71.01
2002-09-30,62.668
2002-10-31,66.233
2002-11-29,70.835
2002-12-31,69.048
2003-01-31,69.641
2003-02-28,67.909
2003-03-31,65.823
2003-04-30,72.469
2003-05-30,78.23
2003-06-30,82.373
2003-07-31,86.8
2003-08-29,92.332
2003-09-30,93.026
2003-10-31,101.51
2003-11-28,103.413
2003-12-31,112.457
2004-01-30,115.961
2004-02-27,122.204
2004-03-31,124.045
2004-04-30,114.191
2004-05-31,111.785
