Date,EM (EMERGING MARKETS) VALUE Standard (Large+Mid Cap)
2001-01-01,100.112
2001-01-02,100.596
2001-01-03,101.149
2001-01-04,104.162
2001-01-05,104.79
2001-01-08,105.108
2001-01-09,106.127
2001-01-10,105.107
2001-01-11,105.757
2001-01-12,106.245
2001-01-15,106.51
2001-01-16,106.796
2001-01-17,107.609
2001-01-18,109.029
2001-01-19,110.346
2001-01-22,110.654
2001-01-23,111.31
2001-01-24,111.491
2001-01-25,111.772
2001-01-26,111.535
2001-01-29,111.165
2001-01-30,111.773
2001-01-31,113.759
2001-02-01,113.495
2001-02-02,113.648
2001-02-05,111.8
2001-02-06,112.001
2001-02-07,110.43
2001-02-08,111.438
2001-02-09,111.969
2001-02-12,112.357
2001-02-13,112.97
2001-02-14,112.792
2001-02-15,113.344
2001-02-16,112.347
2001-02-19,111.406
2001-02-20,111.839
2001-02-21,109.473
2001-02-22,108.438
2001-02-23,107.776
2001-02-26,108.858
2001-02-27,108.565
2001-02-28,108.289
2001-03-01,108.308
2001-03-02,108.184
2001-03-05,108.375
2001-03-06,108.954
2001-03-07,108.825
2001-03-08,109.298
2001-03-09,108.088
2001-03-12,104.661
2001-03-13,103.36
2001-03-14,101.808
2001-03-15,102.04
2001-03-16,101.583
2001-03-19,100.715
2001-03-20,100.815
2001-03-21,100.726
2001-03-22,98.2
2001-03-23,98.959
2001-03-26,100.942
2001-03-27,100.924
2001-03-28,100.169
2001-03-29,98.87
2001-03-30,98.731
2001-04-02,97.242
2001-04-03,95.365
2001-04-04,94.745
2001-04-05,96.203
2001-04-06,96.623
2001-04-09,96.296
2001-04-10,96.848
2001-04-11,97.9
2001-04-12,98.081
2001-04-13,98.22
2001-04-16,97.571
2001-04-17,97.622
2001-04-18,100.236
2001-04-19,100.795
2001-04-20,99.364
2001-04-23,98.892
2001-04-24,99.43
2001-04-25,99.681
2001-04-26,100.718
2001-04-27,101.144
2001-04-30,102.226
2001-05-01,102.114
2001-05-02,102.674
2001-05-03,102.701
2001-05-04,102.525
2001-05-07,102.416
2001-05-08,101.683
2001-05-09,101.917
2001-05-10,102.048
2001-05-11,101.827
2001-05-14,100.828
2001-05-15,100.894
2001-05-16,101.389
2001-05-17,104.315
2001-05-18,104.916
2001-05-21,105.102
2001-05-22,105.509
2001-05-23,106.123
2001-05-24,106.143
2001-05-25,105.707
2001-05-28,105.532
2001-05-29,105.513
2001-05-30,104.703
2001-05-31,104.697
2001-06-01,104.15
2001-06-04,104.808
2001-06-05,104.891
2001-06-06,105.187
2001-06-07,105.125
2001-06-08,105.983
2001-06-11,105.656
2001-06-12,105.279
2001-06-13,105.086
2001-06-14,104.539
2001-06-15,104.033
2001-06-18,102.18
2001-06-19,102.046
2001-06-20,101.795
2001-06-21,102.733
2001-06-22,102.875
2001-06-25,103.025
2001-06-26,102.614
2001-06-27,102.773
2001-06-28,102.229
2001-06-29,103.118
2001-07-02,103.2
2001-07-03,102.159
2001-07-04,101.335
2001-07-05,100.884
2001-07-06,99.451
2001-07-09,99.036
2001-07-10,98.537
2001-07-11,96.573
2001-07-12,97.07
2001-07-13,96.593
2001-07-16,95.654
2001-07-17,95.526
2001-07-18,95.085
2001-07-19,95.019
2001-07-20,94.87
2001-07-23,95.021
2001-07-24,94.301
2001-07-25,93.95
2001-07-26,95.015
2001-07-27,95.377
2001-07-30,95.52
2001-07-31,95.311
2001-08-01,95.783
2001-08-02,97.063
2001-08-03,97.113
2001-08-06,96.538
2001-08-07,96.208
2001-08-08,96.441
2001-08-09,95.684
2001-08-10,96.015
2001-08-13,96.434
2001-08-14,97.19
2001-08-15,97.304
2001-08-16,97.852
2001-08-17,96.731
2001-08-20,96.077
2001-08-21,96.171
2001-08-22,96.915
2001-08-23,96.585
2001-08-24,96.881
2001-08-27,97.723
2001-08-28,97.254
2001-08-29,97.684
2001-08-30,97.306
2001-08-31,96.692
2001-09-03,95.638
2001-09-04,95.887
2001-09-05,95.494
2001-09-06,94.707
2001-09-07,94.255
2001-09-10,93.327
