Date,UNITED KINGDOM VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,153.68
1975-02-28,199.139
1975-03-31,177.289
1975-04-30,208.841
1975-05-30,217.678
1975-06-30,187.625
1975-07-31,178.242
1975-08-29,203.193
1975-09-30,201.749
1975-10-31,216.088
1975-11-28,212.501
1975-12-31,222.686
1976-01-30,245.203
1976-02-27,236.647
1976-03-31,221.954
1976-04-30,225.369
1976-05-31,205.29
1976-06-30,203.884
1976-07-30,196.832
1976-08-31,188.744
1976-09-30,169.945
1976-10-29,149.2
1976-11-30,164.22
1976-12-31,198.819
1977-01-31,219.751
1977-02-28,225.244
1977-03-31,241.447
1977-04-29,243.254
1977-05-31,252.013
1977-06-30,256.662
1977-07-29,252.942
1977-08-31,282.014
1977-09-30,306.985
1977-10-31,312.835
1977-11-30,298.854
1977-12-30,320.391
1978-01-31,314.09
1978-02-28,300.246
1978-03-31,308.622
1978-04-28,312.364
1978-05-31,325.825
1978-06-30,319.559
1978-07-31,349.206
1978-08-31,358.143
1978-09-29,363.351
1978-10-31,380.006
1978-11-30,364.838
1978-12-29,376.659
1979-01-31,379.636
1979-02-28,416.202
1979-03-30,468.864
1979-04-30,495.2
1979-05-31,466.799
1979-06-29,465.275
1979-07-31,464.349
1979-08-31,480.856
1979-09-28,489.466
1979-10-31,427.427
1979-11-30,447.107
1979-12-31,456.609
1980-01-31,505.95
1980-02-29,527.902
1980-03-31,468.881
1980-04-30,515.634
1980-05-30,510.227
1980-06-30,569.613
1980-07-31,590.954
1980-08-29,602.019
1980-09-30,604.247
1980-10-31,626.162
1980-11-28,600.987
1980-12-31,592.69
1981-01-30,595.185
1981-02-27,583.285
1981-03-31,592.044
1981-04-30,622.701
1981-05-29,567.61
1981-06-30,550.675
1981-07-31,527.432
1981-08-31,544.379
1981-09-30,453.815
1981-10-30,493.378
1981-11-30,594.732
1981-12-31,563.375
1982-01-29,576.118
1982-02-26,534.634
1982-03-31,544.34
1982-04-30,558.266
1982-05-31,573.679
1982-06-30,530.34
1982-07-30,532.774
1982-08-31,540.751
1982-09-30,540.851
1982-10-29,570.256
1982-11-30,542.074
1982-12-31,554.993
1983-01-31,560.817
1983-02-28,556.694
1983-03-31,576.975
1983-04-29,665.045
1983-05-31,686.913
1983-06-30,712.916
1983-07-29,676.979
1983-08-31,684.866
1983-09-30,688.947
1983-10-31,676.253
1983-11-30,703.454
1983-12-30,713.294
1984-01-31,766.245
1984-02-29,797.706
1984-03-30,821.985
1984-04-30,824.012
1984-05-31,748.758
1984-06-29,745.025
1984-07-31,697.014
1984-08-31,763.384
1984-09-28,751.757
1984-10-31,744.697
1984-11-30,760.844
1984-12-31,763.716
1985-01-31,790.16
1985-02-28,753.197
1985-03-29,862.102
1985-04-30,879.953
1985-05-31,925.789
1985-06-28,913.561
1985-07-31,1011.688
1985-08-30,1066.355
1985-09-30,1029.315
1985-10-31,1149.086
1985-11-29,1233.201
1985-12-31,1204.348
1986-01-31,1216.664
1986-02-28,1350.854
1986-03-31,1495.939
1986-04-30,1591.455
1986-05-30,1462.576
1986-06-30,1597.757
1986-07-31,1477.993
1986-08-29,1573.249
1986-09-30,1487.079
1986-10-31,1529.61
1986-11-28,1588.662
1986-12-31,1675.014
1987-01-30,1875.704
1987-02-27,2050.148
1987-03-31,2203.012
1987-04-30,2369.821
1987-05-29,2516.818
1987-06-30,2620.433
1987-07-31,2674.101
1987-08-31,2615.481
1987-09-30,2737.622
1987-10-30,2155.765
1987-11-30,2071.48
1987-12-31,2335.636
1988-01-29,2323.873
1988-02-29,2325.794
1988-03-31,2475.192
1988-04-29,2542.792
1988-05-31,2483.349
1988-06-30,2363.632
1988-07-29,2414.525
1988-08-31,2259.119
1988-09-30,2365.043
1988-10-31,2567.763
1988-11-30,2608.573
1988-12-30,2556.266
1989-01-31,2848.452
1989-02-28,2748.297
1989-03-31,2762.944
1989-04-28,2785.452
1989-05-31,2581.302
1989-06-30,2597.107
1989-07-31,3028.238
1989-08-31,2922.503
1989-09-29,2951.595
1989-10-31,2655.364
1989-11-30,2812.869
1989-12-29,3162.502
1990-01-31,3186.4
1990-02-28,3113.502
1990-03-30,3030.338
1990-04-30,2832.241
1990-05-31,3228.174
1990-06-29,3390.403
1990-07-31,3561.384
1990-08-31,3379.799
1990-09-28,3052.781
1990-10-31,3296.286
1990-11-30,3483.113
1990-12-31,3448.827
1991-01-31,3530.94
1991-02-28,3844.568
1991-03-29,3584.838
1991-04-30,3556.822
1991-05-31,3579.286
1991-06-28,3231.805
1991-07-31,3620.394
1991-08-30,3718.214
1991-09-30,3841.231
1991-10-31,3658.978
1991-11-29,3406.05
1991-12-31,3624.869
1992-01-31,3583.937
1992-02-28,3541.131
1992-03-31,3322.821
1992-04-30,3803.14
1992-05-29,3998.497
1992-06-30,3802.509
1992-07-31,3603.226
1992-08-31,3587.173
1992-09-30,3525.537
1992-10-30,3255.983
1992-11-30,3303.108
1992-12-31,3483.189
1993-01-29,3483.067
1993-02-26,3465.024
1993-03-31,3794.365
1993-04-30,3935.127
1993-05-31,3991.417
1993-06-30,3993.626
1993-07-30,4002.644
1993-08-31,4238.093
1993-09-30,4234.211
1993-10-29,4406.273
1993-11-30,4406.391
1993-12-31,4799.09
1994-01-31,5076.151
1994-02-28,4820.491
1994-03-31,4543.198
1994-04-29,4669.186
1994-05-31,4444.937
1994-06-30,4512.277
1994-07-29,4746.016
1994-08-31,5011.76
1994-09-30,4826.478
1994-10-31,5145.206
1994-11-30,4898.441
1994-12-30,4893.688
1995-01-31,4812.649
1995-02-28,4831.227
1995-03-31,5196.006
1995-04-28,5277.084
1995-05-31,5421.337
1995-06-30,5346.475
1995-07-31,5699.405
1995-08-31,5557.168
1995-09-29,5657.839
1995-10-31,5572.323
1995-11-30,5643.178
1995-12-29,5818.097
1996-01-31,5789.469
1996-02-29,5875.799
1996-03-29,5866.052
1996-04-30,5945.895
1996-05-31,5997.812
1996-06-28,5928.313
1996-07-31,5996.975
1996-08-30,6322.63
1996-09-30,6385.43
1996-10-31,6708.028
1996-11-29,7155.475
1996-12-31,7469.646
1997-01-31,7285.829
1997-02-28,7532.5
1997-03-31,7544.829
1997-04-30,7705.628
1997-05-30,8182.09
1997-06-30,8236.915
1997-07-31,8638.592
1997-08-29,8438.76
1997-09-30,9024.05
1997-10-31,8983.409
1997-11-28,9068.356
1997-12-31,9300.286
1998-01-30,9779.295
1998-02-27,10338.8
1998-03-31,11051.627
1998-04-30,10917.353
1998-05-29,10436.601
1998-06-30,10551.414
1998-07-31,10491.281
1998-08-31,9501.199
1998-09-30,9467.14
1998-10-30,9946.835
1998-11-30,10362.024
1998-12-31,10293.24
1999-01-29,9887.027
1999-02-26,10304.155
1999-03-31,10839.026
1999-04-30,11833.845
1999-05-31,11119.407
1999-06-30,11108.561
1999-07-30,11473.974
1999-08-31,11430.706
1999-09-30,11368.021
1999-10-29,11352.552
1999-11-30,11280.727
1999-12-31,11854.546
2000-01-31,10664.186
2000-02-29,10135.843
2000-03-31,10928.936
2000-04-28,10147.913
2000-05-31,10259.287
2000-06-30,10245.256
2000-07-31,10399.271
2000-08-31,10388.718
2000-09-29,10122.414
2000-10-31,10582.391
2000-11-30,9813.838
2000-12-29,10618.259
2001-01-31,10563.799
2001-02-28,9566.587
2001-03-30,9352.687
2001-04-30,9994.848
2001-05-31,9558.386
2001-06-29,9128.785
2001-07-31,9177.303
2001-08-31,9212.051
2001-09-28,8696.319
2001-10-31,8820.727
2001-11-30,8979.19
2001-12-31,9223.868
2002-01-31,8734.601
2002-02-28,8609.317
2002-03-29,9125.769
2002-04-30,9071.385
2002-05-31,9104.14
2002-06-28,8591.32
2002-07-31,8163.884
2002-08-30,8189.764
2002-09-30,7023.858
2002-10-31,7681.373
2002-11-29,8089.05
2002-12-31,7808.185
2003-01-31,7287.676
2003-02-28,7303.05
2003-03-31,7249.664
2003-04-30,7966.091
2003-05-30,8581.712
2003-06-30,8760.268
2003-07-31,8992.23
2003-08-29,9030.685
2003-09-30,9257.609
2003-10-31,9946.106
2003-11-28,10166.365
2003-12-31,11059.762
2004-01-30,10941.082
2004-02-27,11510.982
2004-03-31,11295.533
2004-04-30,11213.319
2004-05-31,11544.811
2004-06-30,11653.386
2004-07-30,11639.164
2004-08-31,11747.299
2004-09-30,12220.73
2004-10-29,12463.37
2004-11-30,13272.694
2004-12-31,13827.043
2005-01-31,13805.068
2005-02-28,14374.419
2005-03-31,13929.923
2005-04-29,13676.937
2005-05-31,13561.241
2005-06-30,13958.712
2005-07-29,13992.341
2005-08-31,14327.832
2005-09-30,14564.436
2005-10-31,14047.358
2005-11-30,14329.873
2005-12-30,14721.288
2006-01-31,15539.497
2006-02-28,15629.253
2006-03-31,16005.107
2006-04-28,16785.707
2006-05-31,16498.91
2006-06-30,16666.079
2006-07-31,17131.074
2006-08-31,17620.177
2006-09-29,17818.128
2006-10-31,18807.76
2006-11-30,19303.714
2006-12-29,19699.719
2007-01-31,19500.559
2007-02-28,19154.435
2007-03-30,19529.506
2007-04-30,20469.235
2007-05-31,20815.566
2007-06-29,21265.816
2007-07-31,20610.436
2007-08-31,20332.196
2007-09-28,20724.614
2007-10-31,22123.287
2007-11-30,20361.957
2007-12-31,19885.23
2008-01-31,17870.39
2008-02-29,17707.468
2008-03-31,17493.399
2008-04-30,18712.378
2008-05-30,18287.83
2008-06-30,16838.177
2008-07-31,16186.5
2008-08-29,15827.29
2008-09-30,13717.502
2008-10-31,11269.945
2008-11-28,10870.815
2008-12-31,10328.693
2009-01-30,9147.056
2009-02-27,8242.286
2009-03-31,8566.081
2009-04-30,10096.289
2009-05-29,11420.491
2009-06-30,11212.002
2009-07-31,12278.468
2009-08-31,13410.154
2009-09-30,13631.314
2009-10-30,13664.584
2009-11-30,13903.259
2009-12-31,14096.908
2010-01-29,13413.986
2010-02-26,13211.924
2010-03-31,13725.435
2010-04-30,13733.756
2010-05-31,12067.37
2010-06-30,11521.659
2010-07-30,13047.735
2010-08-31,12814.475
2010-09-30,13853.093
2010-10-29,14462.749
2010-11-30,13698.048
2010-12-31,14650.406
2011-01-31,15323.448
2011-02-28,16074.775
2011-03-31,15496.321
2011-04-29,16665.994
2011-05-31,16394.989
2011-06-30,15888.414
2011-07-29,16048.084
2011-08-31,14741.85
2011-09-30,13795.689
2011-10-31,15553.559
2011-11-30,15238.986
2011-12-30,15312.085
2012-01-31,15859.08
2012-02-29,16584.303
2012-03-30,16323.19
2012-04-30,16484.866
2012-05-31,14618.952
2012-06-29,15857.707
2012-07-31,15982.655
2012-08-31,16702.552
2012-09-28,17195.114
2012-10-31,17435.581
2012-11-30,17646.072
2012-12-31,18166.326
2013-01-31,18898.437
2013-02-28,18067.766
2013-03-29,18159.993
2013-04-30,18857.593
2013-05-31,18878.912
2013-06-28,17854.569
2013-07-31,19089.132
2013-08-30,19040.233
2013-09-30,20062.75
2013-10-31,20673.32
2013-11-29,20978.089
2013-12-31,21480.137
2014-01-31,20826.973
2014-02-28,22250.598
2014-03-31,21399.92
2014-04-30,22552.673
2014-05-30,22500.013
2014-06-30,22533.296
2014-07-31,22588.488
2014-08-29,22495.943
2014-09-30,21229.401
2014-10-31,20766.902
2014-11-28,20686.341
2014-12-31,20152.585
2015-01-30,19730.188
2015-02-27,20899.01
2015-03-31,19739.031
2015-04-30,21151.664
2015-05-29,21125.39
2015-06-30,20175.567
2015-07-31,20316.014
2015-08-31,18721.729
2015-09-30,17489.865
2015-10-30,18650.02
2015-11-30,18080.536
2015-12-31,17247.225
2016-01-29,16141.114
2016-02-29,16038.772
2016-03-31,16779.845
2016-04-29,17714.358
2016-05-31,17415.713
