Date,UNITED KINGDOM VALUE Standard (Large+Mid Cap)
2001-01-01,8510.595
2001-01-02,8434.992
2001-01-03,8308.505
2001-01-04,8590.852
2001-01-05,8644.736
2001-01-08,8539.258
2001-01-09,8417.855
2001-01-10,8334.704
2001-01-11,8431.043
2001-01-12,8401.472
2001-01-15,8324.128
2001-01-16,8167.485
2001-01-17,8349.289
2001-01-18,8355.476
2001-01-19,8305.403
2001-01-22,8270.657
2001-01-23,8326.857
2001-01-24,8384.012
2001-01-25,8369.92
2001-01-26,8395.457
2001-01-29,8464.087
2001-01-30,8566.0
2001-01-31,8466.946
2001-02-01,8492.791
2001-02-02,8445.928
2001-02-05,8478.006
2001-02-06,8426.431
2001-02-07,8335.627
2001-02-08,8239.182
2001-02-09,8134.491
2001-02-12,8311.655
2001-02-13,8260.982
2001-02-14,8241.913
2001-02-15,8247.182
2001-02-16,8105.752
2001-02-19,8037.77
2001-02-20,7873.862
2001-02-21,7805.902
2001-02-22,7888.888
2001-02-23,7822.988
2001-02-26,7696.532
2001-02-27,7702.707
2001-02-28,7667.674
2001-03-01,7741.307
2001-03-02,7778.027
2001-03-05,7895.891
2001-03-06,8052.69
2001-03-07,8024.571
2001-03-08,8076.191
2001-03-09,7930.146
2001-03-12,7837.825
2001-03-13,7653.709
2001-03-14,7551.777
2001-03-15,7668.836
2001-03-16,7399.542
2001-03-19,7383.257
2001-03-20,7527.095
2001-03-21,7384.881
2001-03-22,7081.223
2001-03-23,7161.337
2001-03-26,7429.032
2001-03-27,7678.499
2001-03-28,7525.704
2001-03-29,7527.095
2001-03-30,7496.232
2001-04-02,7474.28
2001-04-03,7315.577
2001-04-04,7493.862
2001-04-05,7565.841
2001-04-06,7654.228
2001-04-09,7830.07
2001-04-10,7949.633
2001-04-11,7917.086
2001-04-12,7918.944
2001-04-13,7918.944
2001-04-16,7885.682
2001-04-17,7828.546
2001-04-18,7928.91
2001-04-19,8065.373
2001-04-20,8079.036
2001-04-23,8067.188
2001-04-24,8000.708
2001-04-25,7979.067
2001-04-26,8011.678
2001-04-27,8057.935
2001-04-30,8010.927
2001-05-01,7975.89
2001-05-02,7899.047
2001-05-03,7690.166
2001-05-04,7882.007
2001-05-07,7897.087
2001-05-08,7840.254
2001-05-09,7850.782
2001-05-10,7924.753
2001-05-11,7858.034
2001-05-14,7564.208
2001-05-15,7772.369
2001-05-16,7851.963
2001-05-17,7898.038
2001-05-18,7895.291
2001-05-21,7962.26
2001-05-22,7941.224
2001-05-23,7812.983
2001-05-24,7756.692
2001-05-25,7819.31
2001-05-28,7817.934
2001-05-29,7749.928
2001-05-30,7676.257
2001-05-31,7661.101
2001-06-01,7618.546
2001-06-04,7663.085
2001-06-05,7735.089
2001-06-06,7607.849
2001-06-07,7637.811
2001-06-08,7610.669
2001-06-11,7462.002
2001-06-12,7423.287
2001-06-13,7504.957
2001-06-14,7479.071
2001-06-15,7450.543
2001-06-18,7386.745
2001-06-19,7408.726
