Date,AUSTRIA LARGE CAP Large Cap
2001-01-01,1011.256
2001-01-02,1026.441
2001-01-03,1018.742
2001-01-04,1076.656
2001-01-05,1124.05
2001-01-08,1094.862
2001-01-09,1071.924
2001-01-10,1070.02
2001-01-11,1050.745
2001-01-12,1065.168
2001-01-15,1058.227
2001-01-16,1048.919
2001-01-17,1053.46
2001-01-18,1062.133
2001-01-19,1048.125
2001-01-22,1062.503
2001-01-23,1056.747
2001-01-24,1036.43
2001-01-25,1031.706
2001-01-26,1020.167
2001-01-29,1041.617
2001-01-30,1066.831
2001-01-31,1091.41
2004-11-30,615.362
2004-12-01,632.125
2004-12-02,628.492
2004-12-03,625.5
2004-12-06,624.713
2004-12-07,629.438
2004-12-08,621.915
2004-12-09,607.864
2004-12-10,600.569
2004-12-13,614.109
2004-12-14,622.224
2004-12-15,633.039
2004-12-16,614.769
2004-12-17,618.027
2004-12-20,632.605
2004-12-21,630.706
2004-12-22,635.542
2004-12-23,639.845
2004-12-24,641.503
2004-12-27,646.652
2004-12-28,645.48
2004-12-29,644.432
2004-12-30,650.427
2004-12-31,648.638
2005-01-03,652.566
2005-01-04,648.446
2005-01-05,636.589
2005-01-06,631.578
2005-01-07,626.918
2005-01-10,624.922
2005-01-11,622.795
2005-01-12,624.378
2005-01-13,608.727
2005-01-14,600.056
2005-01-17,606.832
2005-01-18,605.684
2005-01-19,597.997
2005-01-20,581.024
2005-01-21,589.717
2005-01-24,592.69
2005-01-25,601.636
2005-01-26,608.033
2005-01-27,612.569
2005-01-28,604.003
2005-01-31,607.91
2005-02-01,607.21
2005-02-02,607.013
2005-02-03,603.993
2005-02-04,618.434
2005-02-07,606.99
2005-02-08,606.496
2005-02-09,606.179
2005-02-10,603.15
2005-02-11,600.741
2005-02-14,612.147
2005-02-15,607.303
2005-02-16,607.251
2005-02-17,610.39
2005-02-18,612.309
2005-02-21,608.882
2005-02-22,613.717
2005-02-23,608.013
2005-02-24,625.937
2005-02-25,654.461
2005-02-28,676.297
2005-03-01,674.797
2005-03-02,665.388
2005-03-03,678.232
2005-03-04,697.87
2005-03-07,714.492
2005-03-08,715.124
2005-03-09,715.859
2005-03-10,715.561
2005-03-11,712.326
2005-03-14,694.285
