Date,AUSTRIA LARGE CAP Large Cap
1994-05-31,1000.0
1994-06-30,1081.356
1994-07-29,1046.117
1994-08-31,1064.076
1994-09-30,1011.365
1994-10-31,952.423
1994-11-30,947.961
1994-12-30,986.512
1995-01-31,957.017
1995-02-28,1007.904
1995-03-31,1026.393
1995-04-28,1029.576
1995-05-31,1069.038
1995-06-30,1090.233
1995-07-31,1088.437
1995-08-31,1002.004
1995-09-29,1015.714
1995-10-31,975.969
1995-11-30,945.114
1995-12-29,994.433
1996-01-31,1064.99
1996-02-29,1055.602
1996-03-29,1053.167
1996-04-30,1070.036
1996-05-31,1156.689
1996-06-28,1063.446
1996-07-31,1035.289
1996-08-30,1049.582
1996-09-30,1028.904
1996-10-31,1024.679
1996-11-29,1060.687
1996-12-31,1055.083
1997-01-31,994.124
1997-02-28,1003.135
1997-03-31,1007.505
1997-04-30,945.685
1997-05-30,986.09
1997-06-30,936.019
1997-07-31,977.235
1997-08-29,936.267
1997-09-30,988.199
1997-10-31,1013.101
1997-11-28,913.658
1997-12-31,990.004
1998-01-30,1049.614
1998-02-27,1142.953
1998-03-31,1165.731
1998-04-30,1335.25
1998-05-29,1472.099
1998-06-30,1353.097
1998-07-31,1333.073
1998-08-31,966.221
1998-09-30,779.646
1998-10-30,931.066
1998-11-30,904.551
1998-12-31,887.301
1999-01-29,772.425
1999-02-26,938.095
1999-03-31,1037.437
1999-04-30,1083.239
1999-05-31,900.227
1999-06-30,932.256
1999-07-30,943.609
1999-08-31,940.814
1999-09-30,882.494
1999-10-29,880.664
1999-11-30,937.194
1999-12-31,994.967
2000-01-31,819.402
2000-02-29,771.353
2000-03-31,863.347
2000-04-28,788.24
2000-05-31,849.307
2000-06-30,879.903
2000-07-31,998.617
2000-08-31,964.547
2000-09-29,977.233
2000-10-31,972.189
2000-11-30,880.207
2000-12-29,989.86
2001-01-31,1068.317
2004-11-30,621.671
2004-12-31,655.288
2005-01-31,614.142
2005-02-28,683.231
2005-03-31,668.038
2005-04-29,619.036
2005-05-31,649.903
2005-06-30,670.195
2005-07-29,682.354
2005-08-31,733.955
2005-09-30,718.562
2005-10-31,698.932
2005-11-30,716.495
2005-12-30,752.309
2006-01-31,842.674
2006-02-28,817.219
2006-03-31,833.507
2006-04-28,861.928
2006-05-31,777.158
