Date,AUSTRIA LARGE CAP Large Cap
1994-05-31,1000.0
1994-06-30,1082.958
1994-07-29,1047.762
1994-08-31,1065.749
1994-09-30,1012.956
1994-10-31,953.92
1994-11-30,949.451
1994-12-30,988.063
1995-01-31,958.522
1995-02-28,1009.489
1995-03-31,1028.007
1995-04-28,1031.195
1995-05-31,1070.719
1995-06-30,1094.575
1995-07-31,1092.772
1995-08-31,1005.994
1995-09-29,1019.76
1995-10-31,979.855
1995-11-30,948.878
1995-12-29,998.393
1996-01-31,1069.231
1996-02-29,1059.806
1996-03-29,1057.362
1996-04-30,1074.298
1996-05-31,1161.296
1996-06-28,1070.359
1996-07-31,1042.019
1996-08-30,1056.406
1996-09-30,1035.593
1996-10-31,1031.341
1996-11-29,1067.583
1996-12-31,1061.942
1997-01-31,1000.587
1997-02-28,1009.656
1997-03-31,1014.055
1997-04-30,951.833
1997-05-30,993.816
1997-06-30,943.353
1997-07-31,984.892
1997-08-29,943.603
1997-09-30,995.941
1997-10-31,1021.039
1997-11-28,920.817
1997-12-31,997.76
1998-01-30,1057.838
1998-02-27,1151.908
1998-03-31,1174.864
1998-04-30,1345.712
1998-05-29,1485.214
1998-06-30,1368.208
1998-07-31,1347.961
1998-08-31,977.012
1998-09-30,788.353
1998-10-30,941.464
1998-11-30,914.654
1998-12-31,897.21
1999-01-29,781.052
1999-02-26,948.572
1999-03-31,1049.023
1999-04-30,1095.337
1999-05-31,915.169
1999-06-30,947.73
1999-07-30,959.272
1999-08-31,956.43
1999-09-30,897.142
1999-10-29,895.281
1999-11-30,952.75
1999-12-31,1011.482
2000-01-31,833.003
2000-02-29,784.156
2000-03-31,877.677
2000-04-28,801.324
2000-05-31,867.666
2000-06-30,898.923
2000-07-31,1020.203
2000-08-31,985.396
2000-09-29,998.357
2000-10-31,993.204
2000-11-30,899.234
2000-12-29,1011.256
2001-01-31,1091.41
2004-11-30,615.362
2004-12-31,648.638
2005-01-31,607.91
2005-02-28,676.297
2005-03-31,661.258
2005-04-29,612.754
2005-05-31,645.878
2005-06-30,666.045
2005-07-29,678.129
2005-08-31,729.41
2005-09-30,714.112
2005-10-31,694.604
2005-11-30,712.058
2005-12-30,747.65
2006-01-31,837.456
2006-02-28,812.158
2006-03-31,828.345
2006-04-28,856.591
2006-05-31,775.399
2006-06-30,782.042
2006-07-31,800.443
2006-08-31,779.154
2006-09-29,776.673
2006-10-31,830.328
2006-11-30,856.313
2006-12-29,931.205
2007-01-31,909.602
2007-02-28,871.586
2007-03-30,936.025
2007-04-30,971.962
2007-05-31,1000.0
2007-06-29,990.532
2007-07-31,958.107
2007-08-31,942.733
2007-09-28,991.353
2007-10-31,1092.764
2007-11-30,1052.583
2007-12-31,1080.991
2008-01-31,902.027
2008-02-29,961.147
2008-03-31,970.655
2008-04-30,1110.039
2008-05-30,1161.443
2008-06-30,1053.661
2008-07-31,997.63
2008-08-29,925.095
2008-09-30,667.128
2008-10-31,423.36
2008-11-28,358.83
2008-12-31,366.45
2009-01-30,321.356
2009-02-27,261.795
2009-03-31,354.333
2009-04-30,380.602
2009-05-29,486.211
2009-06-30,479.985
2009-07-31,529.601
2009-08-31,580.612
2009-09-30,597.29
2009-10-30,565.4
2009-11-30,569.474
2009-12-31,551.818
2010-01-29,534.969
2010-02-26,515.722
2010-03-31,542.136
2010-04-30,549.888
2010-05-31,471.311
2010-06-30,436.937
2010-07-30,514.636
2010-08-31,485.571
2010-09-30,535.917
2010-10-29,576.901
2010-11-30,500.202
2010-12-31,606.171
2011-01-31,645.771
2011-02-28,649.232
2011-03-31,662.703
2011-04-29,669.215
2011-05-31,655.777
2011-06-30,681.525
2011-07-29,626.326
2011-08-31,544.969
2011-09-30,402.942
2011-10-31,404.467
2011-11-30,357.366
2011-12-30,345.433
2012-01-31,387.309
2012-02-29,435.586
2012-03-30,416.274
2012-04-30,403.455
2012-05-31,325.33
2012-06-29,359.189
2012-07-31,344.404
2012-08-31,371.86
2012-09-28,397.889
2012-10-31,432.581
2012-11-30,460.086
2012-12-31,483.286
2013-01-31,516.444
2013-02-28,517.005
2013-03-29,481.143
2013-04-30,532.527
2013-05-31,546.326
2013-06-28,487.614
2013-07-31,518.277
2013-08-30,543.9
2013-09-30,558.383
2013-10-31,584.146
2013-11-29,590.769
2013-12-31,581.175
2014-01-31,570.521
2014-02-28,574.026
2014-03-31,560.86
2014-04-30,562.109
2014-05-30,558.161
2014-06-30,553.376
2014-07-31,462.801
2014-08-29,454.66
2014-09-30,400.594
2014-10-31,414.011
2014-11-28,418.186
2014-12-31,367.705
2015-01-30,343.179
2015-02-27,408.86
2015-03-31,385.326
2015-04-30,453.414
2015-05-29,439.62
2015-06-30,429.408
2015-07-31,443.232
2015-08-31,433.07
2015-09-30,418.012
2015-10-30,436.147
2015-11-30,457.759
2015-12-31,468.719
2016-01-29,431.679
2016-02-29,384.743
2016-03-31,420.093
2016-04-29,429.41
2016-05-31,408.324
2016-06-30,344.113
2016-07-29,404.274
2016-08-31,427.786
2016-09-30,451.87
2016-10-31,478.305
2016-11-30,424.516
2016-12-30,447.592
2017-01-31,463.795
2017-02-28,445.008
2017-03-31,497.914
2017-04-28,545.059
2017-05-31,570.375
2017-06-30,600.457
2017-07-31,650.137
2017-08-31,662.691
2017-09-29,678.449
2017-10-31,674.861
2017-11-30,686.24
2017-12-29,680.827
2018-01-31,792.877
2018-02-28,802.697
2018-03-30,787.972
2018-04-30,770.306
2018-05-31,676.492
2018-06-29,677.965
2018-07-31,702.412
2018-08-31,647.644
2018-09-28,675.018
2018-10-31,662.532
2018-11-30,640.915
2018-12-31,539.393
2019-01-31,566.582
2019-02-28,614.974
2019-03-29,597.477
2019-04-30,649.85
2019-05-31,599.322
2019-06-28,629.64
2019-07-31,611.825
2019-08-30,546.014
2019-09-30,560.295
2019-10-31,598.509
2019-11-29,607.011
2019-12-31,638.121
2020-01-31,622.483
2020-02-28,577.374
2020-03-31,313.835
2020-04-30,367.825
2020-05-29,372.42
2021-11-30,1000.0
2021-12-31,1080.208
2022-01-31,1009.91
2022-02-28,1165.078
2022-03-31,1020.554
2022-04-29,1035.516
2022-05-31,963.373
2022-06-30,947.275
2022-07-29,1063.942
2022-08-31,930.642
2022-09-30,831.551
2022-10-31,760.271
2022-11-30,860.001
2022-12-30,814.748
2023-01-31,822.775
2023-02-28,845.108
2023-03-31,843.642
2023-04-28,866.914
2023-05-31,764.724
2023-06-30,814.753
2023-07-31,844.678
2023-08-31,834.26
2023-09-29,829.422
2023-10-31,881.249
2023-11-30,970.694
2023-12-29,944.0
2024-01-31,835.504
2024-02-29,737.177
2024-03-29,743.948
2024-04-30,778.398
2024-05-31,885.221
2024-06-28,849.139
2024-07-31,861.414
2024-08-30,918.664
2024-09-30,894.443
2024-10-31,878.254
2024-11-29,857.839
2024-12-31,779.76
2025-01-31,828.66
2025-02-28,814.474
2025-03-31,760.548
2025-04-30,827.878
2025-05-30,876.113
2025-06-30,858.466
2025-07-31,839.608
2025-08-29,800.831
2025-09-30,816.44
2025-10-31,867.416
2025-11-28,844.346
2025-12-31,920.942
2026-01-30,985.57
