Date,KOKUSAI INDEX (WORLD ex JP) LARGE VALUE Large Cap
2001-01-01,559.811
2001-01-02,556.257
2001-01-03,562.147
2001-01-04,560.727
2001-01-05,556.231
2001-01-08,556.012
2001-01-09,552.521
2001-01-10,553.226
2001-01-11,555.821
2001-01-12,553.449
2001-01-15,553.342
2001-01-16,554.247
2001-01-17,553.756
2001-01-18,556.114
2001-01-19,551.104
2001-01-22,553.032
2001-01-23,556.683
2001-01-24,555.282
2001-01-25,557.359
2001-01-26,556.756
2001-01-29,558.786
2001-01-30,563.569
2001-01-31,564.514
2001-02-01,567.529
2001-02-02,563.115
2001-02-05,566.969
2001-02-06,565.337
2001-02-07,562.281
2001-02-08,559.822
2001-02-09,558.516
2001-02-12,563.777
2001-02-13,560.577
2001-02-14,555.719
2001-02-15,553.371
2001-02-16,552.374
2001-02-19,553.388
2001-02-20,546.385
2001-02-21,539.736
2001-02-22,538.363
2001-02-23,534.431
2001-02-26,540.64
2001-02-27,542.719
2001-02-28,539.244
2001-03-01,538.93
2001-03-02,541.687
2001-03-05,542.733
2001-03-06,544.98
2001-03-07,547.649
2001-03-08,550.837
2001-03-09,544.697
2001-03-12,530.054
2001-03-13,527.28
2001-03-14,513.839
2001-03-15,519.19
2001-03-16,507.856
2001-03-19,511.466
2001-03-20,507.678
2001-03-21,497.199
2001-03-22,483.112
2001-03-23,492.312
2001-03-26,503.204
2001-03-27,515.663
2001-03-28,507.715
2001-03-29,507.924
2001-03-30,513.573
2001-04-02,510.611
2001-04-03,498.513
2001-04-04,501.768
2001-04-05,513.042
2001-04-06,508.348
2001-04-09,513.973
2001-04-10,521.867
2001-04-11,518.249
2001-04-12,522.789
2001-04-13,522.789
2001-04-16,522.499
2001-04-17,524.47
2001-04-18,533.234
2001-04-19,536.534
2001-04-20,534.1
2001-04-23,530.887
2001-04-24,528.619
2001-04-25,533.561
2001-04-26,537.527
2001-04-27,542.115
2001-04-30,538.89
2001-05-01,542.574
2001-05-02,540.447
2001-05-03,534.996
2001-05-04,540.452
2001-05-07,540.618
2001-05-08,536.934
2001-05-09,536.729
2001-05-10,540.18
2001-05-11,536.148
2001-05-14,534.896
2001-05-15,538.65
2001-05-16,548.9
2001-05-17,549.879
2001-05-18,551.13
2001-05-21,554.037
2001-05-22,552.414
2001-05-23,546.864
2001-05-24,547.241
2001-05-25,543.526
2001-05-28,544.032
2001-05-29,542.854
2001-05-30,539.14
2001-05-31,540.178
2001-06-01,540.239
2001-06-04,543.236
2001-06-05,546.958
2001-06-06,541.405
2001-06-07,541.549
2001-06-08,538.949
2001-06-11,534.919
2001-06-12,534.045
2001-06-13,533.592
2001-06-14,527.712
2001-06-15,525.818
2001-06-18,522.62
2001-06-19,523.636
2001-06-20,523.789
2001-06-21,528.51
2001-06-22,528.027
2001-06-25,526.926
2001-06-26,523.699
2001-06-27,521.998
2001-06-28,524.962
2001-06-29,527.211
2001-07-02,532.446
2001-07-03,530.0
2001-07-04,529.294
2001-07-05,525.769
2001-07-06,518.343
2001-07-09,520.408
2001-07-10,517.937
2001-07-11,516.956
2001-07-12,521.875
2001-07-13,524.415
2001-07-16,522.392
2001-07-17,523.447
2001-07-18,524.199
2001-07-19,526.579
2001-07-20,524.841
2001-07-23,520.987
2001-07-24,513.728
2001-07-25,517.362
2001-07-26,520.72
2001-07-27,523.378
2001-07-30,525.316
2001-07-31,528.982
