Date,KOKUSAI INDEX (WORLD ex JP) LARGE VALUE Large Cap
1994-05-31,212.76
1994-06-30,208.474
1994-07-29,217.787
1994-08-31,225.352
1994-09-30,218.082
1994-10-31,225.28
1994-11-30,216.253
1994-12-30,217.751
1995-01-31,219.766
1995-02-28,227.261
1995-03-31,235.016
1995-04-28,242.355
1995-05-31,251.377
1995-06-30,252.353
1995-07-31,262.226
1995-08-31,259.03
1995-09-29,268.957
1995-10-31,268.095
1995-11-30,276.944
1995-12-29,286.253
1996-01-31,294.078
1996-02-29,296.492
1996-03-29,299.064
1996-04-30,301.392
1996-05-31,306.317
1996-06-28,307.532
1996-07-31,300.199
1996-08-30,307.194
1996-09-30,318.333
1996-10-31,330.157
1996-11-29,352.259
1996-12-31,353.784
1997-01-31,363.369
1997-02-28,369.458
1997-03-31,363.096
1997-04-30,370.823
1997-05-30,392.794
1997-06-30,407.65
1997-07-31,433.288
1997-08-29,411.346
1997-09-30,439.839
1997-10-31,422.418
1997-11-28,435.189
1997-12-31,449.071
1998-01-30,449.887
1998-02-27,481.921
1998-03-31,512.494
1998-04-30,516.289
1998-05-29,514.547
1998-06-30,520.669
1998-07-31,516.687
1998-08-31,446.108
1998-09-30,456.655
1998-10-30,491.887
1998-11-30,514.434
1998-12-31,526.621
1999-01-29,527.305
1999-02-26,519.8
1999-03-31,532.698
1999-04-30,576.978
1999-05-31,557.933
1999-06-30,570.158
1999-07-30,560.295
1999-08-31,548.475
1999-09-30,532.449
1999-10-29,555.062
1999-11-30,553.277
1999-12-31,568.384
2000-01-31,532.082
2000-02-29,507.309
2000-03-31,549.061
2000-04-28,539.699
2000-05-31,546.756
2000-06-30,544.176
2000-07-31,544.275
2000-08-31,563.415
2000-09-29,560.547
2000-10-31,571.046
2000-11-30,553.109
2000-12-29,585.556
2001-01-31,590.314
2001-02-28,563.678
2001-03-30,536.694
2001-04-30,562.864
2001-05-31,563.683
2001-06-29,549.826
2001-07-31,551.51
2001-08-31,535.532
2001-09-28,495.387
2001-10-31,496.076
2001-11-30,518.342
2001-12-31,527.911
2002-01-31,517.436
2002-02-28,517.33
2002-03-29,543.005
2002-04-30,530.892
2002-05-31,536.494
2002-06-28,503.65
2002-07-31,462.454
2002-08-30,467.009
2002-09-30,408.266
2002-10-31,443.567
2002-11-29,467.536
2002-12-31,446.841
2003-01-31,432.343
2003-02-28,421.815
2003-03-31,418.416
2003-04-30,461.769
2003-05-30,488.893
2003-06-30,496.859
2003-07-31,500.823
2003-08-29,504.496
2003-09-30,503.897
2003-10-31,530.997
2003-11-28,539.939
2003-12-31,584.483
2004-01-30,589.655
2004-02-27,600.564
2004-03-31,588.182
2004-04-30,579.982
2004-05-31,585.22
2004-06-30,597.166
2004-07-30,589.133
2004-08-31,596.149
2004-09-30,608.14
2004-10-29,622.267
2004-11-30,653.915
2004-12-31,674.745
2005-01-31,662.32
2005-02-28,689.4
2005-03-31,674.425
2005-04-29,662.092
2005-05-31,668.404
2005-06-30,676.561
2005-07-29,695.351
2005-08-31,694.976
2005-09-30,708.153
2005-10-31,689.969
2005-11-30,709.963
2005-12-30,721.244
2006-01-31,750.656
2006-02-28,756.481
2006-03-31,769.828
2006-04-28,798.749
2006-05-31,779.2
2006-06-30,782.053
2006-07-31,803.395
2006-08-31,821.989
2006-09-29,835.934
2006-10-31,867.307
2006-11-30,886.718
2006-12-29,913.737
2007-01-31,917.284
2007-02-28,903.814
2007-03-30,922.124
2007-04-30,972.386
2007-05-31,1000.0
2007-06-29,989.516
2007-07-31,955.292
2007-08-31,954.707
2007-09-28,998.095
2007-10-31,1022.921
2007-11-30,972.482
2007-12-31,959.238
2008-01-31,888.904
2008-02-29,866.086
2008-03-31,862.765
2008-04-30,905.858
2008-05-30,898.934
2008-06-30,812.219
2008-07-31,799.521
2008-08-29,790.729
2008-09-30,712.503
2008-10-31,579.902
2008-11-28,545.52
2008-12-31,555.707
2009-01-30,485.508
2009-02-27,424.287
2009-03-31,462.927
2009-04-30,524.02
2009-05-29,574.657
2009-06-30,566.804
2009-07-31,620.266
2009-08-31,658.322
2009-09-30,684.347
2009-10-30,666.556
2009-11-30,697.623
2009-12-31,703.689
2010-01-29,673.495
2010-02-26,677.455
2010-03-31,719.765
2010-04-30,716.605
2010-05-31,645.258
2010-06-30,620.207
2010-07-30,677.188
2010-08-31,648.631
2010-09-30,704.106
2010-10-29,727.218
2010-11-30,698.063
2010-12-31,753.157
2011-01-31,782.809
2011-02-28,812.665
2011-03-31,808.272
2011-04-29,845.735
2011-05-31,822.387
2011-06-30,807.805
2011-07-29,778.784
2011-08-31,721.676
2011-09-30,662.599
2011-10-31,734.02
2011-11-30,714.749
2011-12-30,722.731
2012-01-31,749.707
2012-02-29,783.148
2012-03-30,791.176
2012-04-30,779.035
2012-05-31,713.547
2012-06-29,759.533
2012-07-31,769.95
2012-08-31,789.911
2012-09-28,814.558
2012-10-31,817.007
2012-11-30,818.443
2012-12-31,836.962
2013-01-31,886.497
2013-02-28,880.944
2013-03-29,897.158
2013-04-30,929.07
2013-05-31,936.168
2013-06-28,911.752
2013-07-31,962.015
2013-08-30,936.361
2013-09-30,975.071
2013-10-31,1023.116
2013-11-29,1042.076
2013-12-31,1062.235
2014-01-31,1021.426
2014-02-28,1072.128
2014-03-31,1089.084
2014-04-30,1111.445
2014-05-30,1122.773
2014-06-30,1139.448
2014-07-31,1121.736
2014-08-29,1144.272
2014-09-30,1112.352
2014-10-31,1113.887
2014-11-28,1127.055
2014-12-31,1107.78
2015-01-30,1067.431
2015-02-27,1123.473
2015-03-31,1094.41
2015-04-30,1128.196
2015-05-29,1123.391
2015-06-30,1091.917
2015-07-31,1101.788
2015-08-31,1028.449
2015-09-30,992.121
2015-10-30,1068.253
2015-11-30,1060.394
2015-12-31,1038.349
2016-01-29,983.395
2016-02-29,977.461
2016-03-31,1043.21
2016-04-29,1066.122
2016-05-31,1070.932
2016-06-30,1062.659
2016-07-29,1095.611
2016-08-31,1104.475
2016-09-30,1105.891
2016-10-31,1095.847
2016-11-30,1127.234
2016-12-30,1170.202
2017-01-31,1180.321
2017-02-28,1209.858
2017-03-31,1218.192
2017-04-28,1222.862
2017-05-31,1233.309
2017-06-30,1250.089
2017-07-31,1278.272
2017-08-31,1266.975
2017-09-29,1307.223
2017-10-31,1317.149
2017-11-30,1343.099
2017-12-29,1362.097
2018-01-31,1422.336
2018-02-28,1344.211
2018-03-30,1312.143
2018-04-30,1327.928
2018-05-31,1311.425
2018-06-29,1312.758
2018-07-31,1366.886
2018-08-31,1358.672
2018-09-28,1370.679
2018-10-31,1301.535
2018-11-30,1327.833
2018-12-31,1222.945
2019-01-31,1305.759
2019-02-28,1345.089
2019-03-29,1349.653
2019-04-30,1391.219
2019-05-31,1300.993
2019-06-28,1386.665
2019-07-31,1384.157
2019-08-30,1339.458
2019-09-30,1388.912
2019-10-31,1414.172
2019-11-29,1446.142
2019-12-31,1491.646
2020-01-31,1446.449
2020-02-28,1306.889
2020-03-31,1097.065
2020-04-30,1192.522
2020-05-29,1222.997
2020-06-30,1230.709
2020-07-31,1265.412
2020-08-31,1318.074
2020-09-30,1273.286
2020-10-30,1230.817
2020-11-30,1418.567
2020-12-31,1463.825
2021-01-29,1444.342
2021-02-26,1507.89
2021-03-31,1601.439
2021-04-30,1653.897
2021-05-31,1704.668
2021-06-30,1681.198
2021-07-30,1693.586
2021-08-31,1718.636
2021-09-30,1659.916
2021-10-29,1748.434
2021-11-30,1681.457
2021-12-31,1800.131
2022-01-31,1782.486
2022-02-28,1747.59
2022-03-31,1794.52
2022-04-29,1708.682
2022-05-31,1749.832
2022-06-30,1600.236
2022-07-29,1666.828
2022-08-31,1614.0
2022-09-30,1485.354
2022-10-31,1639.895
2022-11-30,1756.797
2022-12-30,1710.246
2023-01-31,1776.767
2023-02-28,1724.614
2023-03-31,1720.286
2023-04-28,1756.79
2023-05-31,1671.362
2023-06-30,1767.206
2023-07-31,1831.341
2023-08-31,1781.123
2023-09-29,1730.734
2023-10-31,1678.159
2023-11-30,1796.46
2023-12-29,1888.867
2024-01-31,1893.895
2024-02-29,1937.683
2024-03-29,2027.392
2024-04-30,1959.069
2024-05-31,2022.393
2024-06-28,2013.266
2024-07-31,2102.47
2024-08-30,2168.426
2024-09-30,2206.168
2024-10-31,2162.226
2024-11-29,2240.992
2024-12-31,2106.755
2025-01-31,2209.746
2025-02-28,2259.73
2025-03-31,2233.406
2025-04-30,2189.488
2025-05-30,2248.845
2025-06-30,2341.745
2025-07-31,2347.906
2025-08-29,2423.549
