Date,KOKUSAI INDEX (WORLD ex JP) LARGE VALUE Large Cap
2001-01-01,585.556
2001-01-02,581.832
2001-01-03,587.973
2001-01-04,586.485
2001-01-05,581.782
2001-01-08,581.528
2001-01-09,577.87
2001-01-10,578.596
2001-01-11,581.3
2001-01-12,578.82
2001-01-15,578.707
2001-01-16,579.639
2001-01-17,579.113
2001-01-18,581.576
2001-01-19,576.336
2001-01-22,578.35
2001-01-23,582.169
2001-01-24,580.704
2001-01-25,582.876
2001-01-26,582.245
2001-01-29,584.356
2001-01-30,589.344
2001-01-31,590.314
2001-02-01,593.449
2001-02-02,588.834
2001-02-05,592.863
2001-02-06,591.146
2001-02-07,587.912
2001-02-08,585.338
2001-02-09,583.966
2001-02-12,589.465
2001-02-13,586.106
2001-02-14,581.003
2001-02-15,578.534
2001-02-16,577.487
2001-02-19,578.539
2001-02-20,571.217
2001-02-21,564.255
2001-02-22,562.81
2001-02-23,558.697
2001-02-26,565.178
2001-02-27,567.34
2001-02-28,563.678
2001-03-01,563.348
2001-03-02,566.231
2001-03-05,567.316
2001-03-06,569.665
2001-03-07,572.421
2001-03-08,575.75
2001-03-09,569.329
2001-03-12,554.022
2001-03-13,551.089
2001-03-14,537.038
2001-03-15,542.629
2001-03-16,530.783
2001-03-19,534.554
2001-03-20,530.593
2001-03-21,519.636
2001-03-22,504.911
2001-03-23,514.52
2001-03-26,525.902
2001-03-27,538.911
2001-03-28,530.575
2001-03-29,530.792
2001-03-30,536.694
2001-04-02,533.599
2001-04-03,520.948
2001-04-04,524.321
2001-04-05,536.098
2001-04-06,531.145
2001-04-09,537.018
2001-04-10,545.248
2001-04-11,541.456
2001-04-12,546.166
2001-04-13,546.166
2001-04-16,545.863
2001-04-17,547.911
2001-04-18,557.055
2001-04-19,560.481
2001-04-20,557.935
2001-04-23,554.573
2001-04-24,552.204
2001-04-25,557.359
2001-04-26,561.482
2001-04-27,566.248
2001-04-30,562.864
2001-05-01,566.711
2001-05-02,564.459
2001-05-03,558.744
2001-05-04,564.428
2001-05-07,564.595
2001-05-08,560.737
2001-05-09,560.489
2001-05-10,564.059
2001-05-11,559.815
2001-05-14,558.468
2001-05-15,562.387
2001-05-16,573.068
2001-05-17,574.079
2001-05-18,575.338
2001-05-21,578.33
2001-05-22,576.633
2001-05-23,570.812
2001-05-24,571.203
2001-05-25,567.324
2001-05-28,567.838
2001-05-29,566.565
2001-05-30,562.622
2001-05-31,563.683
2001-06-01,563.73
2001-06-04,566.851
2001-06-05,570.725
2001-06-06,564.9
2001-06-07,565.041
2001-06-08,562.296
2001-06-11,558.072
2001-06-12,557.158
2001-06-13,556.639
2001-06-14,550.486
2001-06-15,548.509
2001-06-18,545.077
2001-06-19,546.137
2001-06-20,546.295
2001-06-21,551.211
2001-06-22,550.707
2001-06-25,549.559
2001-06-26,546.191
2001-06-27,544.392
2001-06-28,547.48
2001-06-29,549.826
2001-07-02,555.272
2001-07-03,552.69
2001-07-04,551.954
2001-07-05,548.27
2001-07-06,540.484
2001-07-09,542.637
2001-07-10,540.051
2001-07-11,539.019
2001-07-12,544.143
2001-07-13,546.791
2001-07-16,544.681
2001-07-17,545.781
2001-07-18,546.55
2001-07-19,549.03
2001-07-20,547.219
2001-07-23,543.198
2001-07-24,535.629
2001-07-25,539.418
2001-07-26,542.917
2001-07-27,545.675
2001-07-30,547.689
2001-07-31,551.51
2001-08-01,553.866
2001-08-02,554.568
2001-08-03,552.336
2001-08-06,548.709
2001-08-07,550.074
2001-08-08,543.567
2001-08-09,542.472
2001-08-10,545.23
2001-08-13,546.229
2001-08-14,548.519
2001-08-15,549.265
2001-08-16,548.465
2001-08-17,542.497
2001-08-20,544.861
2001-08-21,544.318
2001-08-22,547.591
2001-08-23,546.126
2001-08-24,552.56
2001-08-27,550.316
2001-08-28,544.646
2001-08-29,541.734
2001-08-30,535.269
2001-08-31,535.532
2001-09-03,533.197
2001-09-04,535.147
2001-09-05,532.451
2001-09-06,523.366
2001-09-07,515.42
2001-09-10,514.375
2001-09-11,505.451
2001-09-12,505.388
2001-09-13,507.83
2001-09-14,501.076
2001-09-17,491.815
2001-09-18,489.511
2001-09-19,481.903
2001-09-20,465.549
2001-09-21,453.885
2001-09-24,470.414
2001-09-25,476.422
2001-09-26,478.238
2001-09-27,485.107
2001-09-28,495.387
2001-10-01,491.894
2001-10-02,497.022
2001-10-03,501.961
2001-10-04,505.557
2001-10-05,504.208
2001-10-08,501.096
2001-10-09,500.467
2001-10-10,509.319
2001-10-11,510.932
2001-10-12,507.888
2001-10-15,504.013
2001-10-16,508.117
2001-10-17,508.503
2001-10-18,501.418
2001-10-19,497.536
2001-10-22,502.538
2001-10-23,504.609
2001-10-24,504.256
2001-10-25,505.224
2001-10-26,511.047
2001-10-29,504.532
2001-10-30,495.848
2001-10-31,496.076
2001-11-01,503.453
2001-11-02,504.319
2001-11-05,509.692
2001-11-06,512.695
2001-11-07,514.227
2001-11-08,516.885
2001-11-09,516.37
2001-11-12,511.878
2001-11-13,519.672
2001-11-14,519.899
2001-11-15,518.969
2001-11-16,520.826
2001-11-19,524.833
2001-11-20,523.177
2001-11-21,519.857
2001-11-22,521.361
2001-11-23,524.073
2001-11-26,524.721
2001-11-27,520.985
2001-11-28,513.817
2001-11-29,517.273
2001-11-30,518.342
2001-12-03,514.571
2001-12-04,519.409
2001-12-05,529.291
2001-12-06,529.84
2001-12-07,526.323
2001-12-10,519.506
2001-12-11,517.215
2001-12-12,516.716
2001-12-13,510.996
2001-12-14,510.205
2001-12-17,517.565
2001-12-18,519.312
2001-12-19,521.194
2001-12-20,518.968
2001-12-21,520.217
2001-12-24,519.837
2001-12-25,519.837
2001-12-26,521.576
2001-12-27,527.802
2001-12-28,529.509
2001-12-31,527.911
2002-01-01,527.911
2002-01-02,529.469
2002-01-03,533.85
2002-01-04,536.737
2002-01-07,533.655
2002-01-08,530.026
2002-01-09,527.641
2002-01-10,527.23
2002-01-11,524.327
2002-01-14,519.54
2002-01-15,523.217
2002-01-16,515.745
2002-01-17,519.673
2002-01-18,517.769
2002-01-21,517.509
2002-01-22,516.335
2002-01-23,520.167
2002-01-24,521.937
2002-01-25,520.209
2002-01-28,521.337
2002-01-29,509.61
2002-01-30,510.453
2002-01-31,517.436
2002-02-01,515.897
2002-02-04,507.43
2002-02-05,502.98
2002-02-06,498.551
2002-02-07,500.495
2002-02-08,505.96
2002-02-11,512.041
2002-02-12,510.469
2002-02-13,513.698
2002-02-14,515.914
2002-02-15,512.326
2002-02-18,510.994
2002-02-19,502.861
2002-02-20,505.296
2002-02-21,503.913
2002-02-22,506.809
2002-02-25,513.913
2002-02-26,515.005
2002-02-27,517.136
2002-02-28,517.33
2002-03-01,525.918
2002-03-04,537.013
2002-03-05,533.819
2002-03-06,540.836
2002-03-07,541.419
2002-03-08,541.333
2002-03-11,542.648
2002-03-12,541.275
2002-03-13,539.357
2002-03-14,540.388
2002-03-15,546.222
2002-03-18,546.176
2002-03-19,549.38
2002-03-20,544.674
2002-03-21,543.636
2002-03-22,542.517
2002-03-25,536.679
2002-03-26,538.931
2002-03-27,540.846
2002-03-28,543.005
2002-03-29,543.005
2002-04-01,543.497
2002-04-02,542.412
2002-04-03,539.032
2002-04-04,537.269
2002-04-05,536.649
2002-04-08,534.29
2002-04-09,533.611
2002-04-10,539.29
2002-04-11,530.815
2002-04-12,532.502
2002-04-15,531.778
2002-04-16,542.867
2002-04-17,543.907
2002-04-18,543.521
2002-04-19,544.818
2002-04-22,539.027
2002-04-23,537.2
2002-04-24,534.964
2002-04-25,533.177
2002-04-26,529.506
2002-04-29,525.89
2002-04-30,530.892
2002-05-01,534.909
2002-05-02,536.241
2002-05-03,536.156
2002-05-06,529.695
2002-05-07,526.022
2002-05-08,536.754
2002-05-09,533.024
2002-05-10,528.7
2002-05-13,535.772
2002-05-14,540.896
2002-05-15,541.151
2002-05-16,542.906
2002-05-17,545.332
2002-05-20,540.632
2002-05-21,538.209
2002-05-22,539.696
2002-05-23,542.641
2002-05-24,539.935
2002-05-27,539.814
2002-05-28,537.258
2002-05-29,535.962
2002-05-30,533.464
2002-05-31,536.494
2002-06-03,527.13
2002-06-04,523.877
2002-06-05,523.167
2002-06-06,516.441
2002-06-07,515.39
2002-06-10,515.381
2002-06-11,511.116
2002-06-12,511.195
2002-06-13,505.928
2002-06-14,500.649
2002-06-17,513.81
2002-06-18,515.445
2002-06-19,508.15
2002-06-20,502.215
2002-06-21,498.081
2002-06-24,495.045
2002-06-25,493.414
2002-06-26,489.989
2002-06-27,495.588
2002-06-28,503.65
2002-07-01,499.055
2002-07-02,488.292
2002-07-03,483.327
2002-07-04,485.923
2002-07-05,501.56
2002-07-08,500.961
2002-07-09,492.704
2002-07-10,476.907
2002-07-11,471.153
2002-07-12,467.77
2002-07-15,459.211
2002-07-16,454.713
2002-07-17,460.65
2002-07-18,455.27
2002-07-19,438.507
2002-07-22,418.528
2002-07-23,406.354
2002-07-24,418.681
2002-07-25,425.636
2002-07-26,431.418
2002-07-29,453.549
2002-07-30,456.221
2002-07-31,462.454
2002-08-01,447.071
2002-08-02,440.934
2002-08-05,427.406
2002-08-06,437.64
2002-08-07,442.698
2002-08-08,457.915
2002-08-09,463.018
2002-08-12,458.869
