Date,KOKUSAI INDEX (WORLD ex JP) LARGE VALUE Large Cap
1994-05-31,199.601
1994-06-30,195.673
1994-07-29,204.471
1994-08-31,211.589
1994-09-30,204.801
1994-10-31,211.58
1994-11-30,203.115
1994-12-30,204.551
1995-01-31,206.456
1995-02-28,213.516
1995-03-31,220.832
1995-04-28,227.781
1995-05-31,236.443
1995-06-30,237.498
1995-07-31,246.847
1995-08-31,243.86
1995-09-29,253.25
1995-10-31,252.462
1995-11-30,260.812
1995-12-29,269.614
1996-01-31,277.002
1996-02-29,279.301
1996-03-29,281.764
1996-04-30,284.025
1996-05-31,288.904
1996-06-28,290.194
1996-07-31,283.321
1996-08-30,289.953
1996-09-30,300.515
1996-10-31,311.697
1996-11-29,332.58
1996-12-31,334.062
1997-01-31,343.133
1997-02-28,348.908
1997-03-31,342.944
1997-04-30,350.314
1997-05-30,371.292
1997-06-30,385.494
1997-07-31,409.78
1997-08-29,389.056
1997-09-30,416.064
1997-10-31,399.597
1997-11-28,411.704
1997-12-31,424.863
1998-01-30,425.65
1998-02-27,455.98
1998-03-31,484.944
1998-04-30,488.62
1998-05-29,487.215
1998-06-30,493.225
1998-07-31,489.52
1998-08-31,422.669
1998-09-30,432.682
1998-10-30,466.069
1998-11-30,487.457
1998-12-31,499.021
1999-01-29,499.78
1999-02-26,492.833
1999-03-31,505.24
1999-04-30,547.441
1999-05-31,529.742
1999-06-30,541.623
1999-07-30,532.383
1999-08-31,521.363
1999-09-30,506.273
1999-10-29,527.885
1999-11-30,526.384
1999-12-31,540.905
2000-01-31,506.466
2000-02-29,483.055
2000-03-31,522.986
2000-04-28,514.303
2000-05-31,521.454
2000-06-30,519.214
2000-07-31,519.482
2000-08-31,537.989
2000-09-29,535.386
2000-10-31,545.572
2000-11-30,528.671
2000-12-29,559.811
2001-01-31,564.514
2001-02-28,539.244
2001-03-30,513.573
2001-04-30,538.89
2001-05-31,540.178
2001-06-29,527.211
2001-07-31,528.982
2001-08-31,513.933
2001-09-28,475.54
2001-10-31,476.35
2001-11-30,497.981
2001-12-31,507.338
2002-01-31,497.447
2002-02-28,497.552
2002-03-29,522.402
2002-04-30,511.035
2002-05-31,516.983
2002-06-28,485.644
2002-07-31,446.131
2002-08-30,450.804
2002-09-30,394.278
2002-10-31,428.621
2002-11-29,452.031
2002-12-31,432.278
2003-01-31,418.429
2003-02-28,408.507
2003-03-31,405.41
2003-04-30,447.796
2003-05-30,474.524
2003-06-30,482.675
2003-07-31,486.816
2003-08-29,490.66
2003-09-30,490.322
2003-10-31,516.95
2003-11-28,525.945
2003-12-31,569.623
2004-01-30,574.911
2004-02-27,585.851
2004-03-31,574.038
2004-04-30,566.479
2004-05-31,572.137
2004-06-30,584.291
2004-07-30,576.734
2004-08-31,583.906
2004-09-30,595.954
2004-10-29,610.053
2004-11-30,641.491
2004-12-31,662.228
2005-01-31,650.241
2005-02-28,677.317
2005-03-31,662.896
2005-04-29,651.377
2005-05-31,658.327
2005-06-30,666.868
2005-07-29,685.675
2005-08-31,685.797
2005-09-30,699.056
2005-10-31,681.364
2005-11-30,701.717
2005-12-30,713.126
2006-01-31,742.451
2006-02-28,748.768
2006-03-31,762.343
2006-04-28,791.578
2006-05-31,773.367
2006-06-30,776.762
2006-07-31,798.231
2006-08-31,817.437
2006-09-29,831.578
2006-10-31,863.077
2006-11-30,883.194
2006-12-29,910.419
2007-01-31,914.264
2007-02-28,901.462
2007-03-30,920.079
2007-04-30,970.992
2007-05-31,1000.0
2007-06-29,990.098
2007-07-31,956.151
2007-08-31,956.261
2007-09-28,1000.139
2007-10-31,1025.385
2007-11-30,975.637
2007-12-31,962.758
2008-01-31,892.54
2008-02-29,870.275
2008-03-31,867.371
2008-04-30,911.697
2008-05-30,906.608
2008-06-30,819.661
2008-07-31,807.207
2008-08-29,798.969
2008-09-30,720.388
2008-10-31,586.636
2008-11-28,552.533
2008-12-31,563.265
2009-01-30,492.367
2009-02-27,430.8
2009-03-31,470.258
2009-04-30,533.066
2009-05-29,585.632
2009-06-30,577.989
2009-07-31,632.821
2009-08-31,672.106
2009-09-30,698.973
2009-10-30,681.049
2009-11-30,713.247
2009-12-31,719.792
2010-01-29,689.159
2010-02-26,693.671
2010-03-31,737.299
2010-04-30,734.619
2010-05-31,662.618
2010-06-30,637.26
2010-07-30,696.101
2010-08-31,667.182
2010-09-30,724.568
2010-10-29,748.646
2010-11-30,719.214
2010-12-31,776.298
2011-01-31,807.18
2011-02-28,838.597
2011-03-31,834.41
2011-04-29,873.726
2011-05-31,851.025
2011-06-30,836.373
2011-07-29,806.666
2011-08-31,748.013
2011-09-30,687.175
2011-10-31,761.613
2011-11-30,742.293
2011-12-30,750.961
2012-01-31,779.361
2012-02-29,814.847
2012-03-30,823.594
2012-04-30,811.749
2012-05-31,744.673
2012-06-29,793.174
2012-07-31,804.474
2012-08-31,825.891
2012-09-28,852.124
2012-10-31,855.093
2012-11-30,857.221
2012-12-31,877.089
2013-01-31,929.549
2013-02-28,924.496
2013-03-29,941.937
2013-04-30,976.169
2013-05-31,984.962
2013-06-28,959.784
2013-07-31,1013.152
2013-08-30,986.793
2013-09-30,1028.048
2013-10-31,1079.132
2013-11-29,1099.903
2013-12-31,1121.728
2014-01-31,1079.044
2014-02-28,1133.519
2014-03-31,1152.03
2014-04-30,1176.451
2014-05-30,1189.997
2014-06-30,1208.334
2014-07-31,1190.044
2014-08-29,1214.662
2014-09-30,1181.358
2014-10-31,1183.46
2014-11-28,1198.265
2014-12-31,1178.395
2015-01-30,1135.908
2015-02-27,1196.434
2015-03-31,1166.253
2015-04-30,1203.041
2015-05-29,1199.459
2015-06-30,1166.531
2015-07-31,1177.805
2015-08-31,1100.204
2015-09-30,1061.943
2015-10-30,1143.922
2015-11-30,1136.376
2015-12-31,1113.328
2016-01-29,1054.934
2016-02-29,1049.551
2016-03-31,1120.908
2016-04-29,1146.557
2016-05-31,1153.274
2016-06-30,1145.212
2016-07-29,1181.225
2016-08-31,1191.72
2016-09-30,1193.822
2016-10-31,1183.465
2016-11-30,1218.346
2016-12-30,1265.369
2017-01-31,1276.806
2017-02-28,1309.754
2017-03-31,1319.809
2017-04-28,1325.673
2017-05-31,1338.86
2017-06-30,1357.785
2017-07-31,1389.076
2017-08-31,1377.862
2017-09-29,1422.197
2017-10-31,1433.586
2017-11-30,1462.951
2017-12-29,1484.278
2018-01-31,1550.478
2018-02-28,1466.396
2018-03-30,1432.561
2018-04-30,1450.966
2018-05-31,1435.003
2018-06-29,1437.179
2018-07-31,1497.053
2018-08-31,1489.155
2018-09-28,1503.048
2018-10-31,1427.825
2018-11-30,1457.829
2018-12-31,1343.511
2019-01-31,1435.293
2019-02-28,1479.655
2019-03-29,1485.749
2019-04-30,1532.671
2019-05-31,1435.371
2019-06-28,1530.824
2019-07-31,1528.848
2019-08-30,1480.596
2019-09-30,1536.109
2019-10-31,1564.825
2019-11-29,1601.354
