Date,USA LARGE CAP Large Cap
2001-01-01,831.235
2001-01-02,804.569
2001-01-03,850.215
2001-01-04,840.725
2001-01-05,815.994
2001-01-08,813.933
2001-01-09,818.308
2001-01-10,827.828
2001-01-11,838.513
2001-01-12,833.51
2001-01-15,833.51
2001-01-16,839.07
2001-01-17,841.559
2001-01-18,853.883
2001-01-19,850.367
2001-01-22,849.144
2001-01-23,860.872
2001-01-24,863.767
2001-01-25,857.067
2001-01-26,855.479
2001-01-29,861.002
2001-01-30,866.914
2001-01-31,860.469
2001-02-01,865.194
2001-02-02,848.267
2001-02-05,850.876
2001-02-06,849.414
2001-02-07,841.241
2001-02-08,835.505
2001-02-09,823.081
2001-02-12,832.748
2001-02-13,824.547
2001-02-14,823.744
2001-02-15,831.127
2001-02-16,815.187
2001-02-19,815.187
2001-02-20,799.935
2001-02-21,784.629
2001-02-22,782.658
2001-02-23,779.012
2001-02-26,793.03
2001-02-27,785.422
2001-02-28,773.39
2001-03-01,774.125
2001-03-02,768.314
2001-03-05,773.374
2001-03-06,781.552
2001-03-07,786.284
2001-03-08,786.903
2001-03-09,766.273
2001-03-12,731.842
2001-03-13,744.834
2001-03-14,725.093
2001-03-15,729.478
2001-03-16,714.323
2001-03-19,727.426
2001-03-20,708.516
2001-03-21,695.95
2001-03-22,693.751
2001-03-23,707.499
2001-03-26,715.113
2001-03-27,734.689
2001-03-28,715.409
2001-03-29,711.157
2001-03-30,718.999
2001-04-02,709.254
2001-04-03,683.149
2001-04-04,680.694
2001-04-05,712.581
2001-04-06,698.249
2001-04-09,703.438
2001-04-10,723.205
2001-04-11,722.903
2001-04-12,734.031
2001-04-13,734.031
2001-04-16,731.183
2001-04-17,739.218
2001-04-18,769.066
2001-04-19,781.08
2001-04-20,774.714
2001-04-23,761.563
2001-04-24,751.084
2001-04-25,763.314
2001-04-26,766.248
2001-04-27,777.907
2001-04-30,776.265
2001-05-01,787.844
2001-05-02,789.927
2001-05-03,777.742
