Date,USA LARGE CAP Large Cap
1994-05-31,254.177
1994-06-30,247.482
1994-07-29,255.371
1994-08-31,265.519
1994-09-30,259.331
1994-10-31,265.512
1994-11-30,256.591
1994-12-30,259.794
1995-01-31,267.397
1995-02-28,277.596
1995-03-31,284.943
1995-04-28,292.994
1995-05-31,304.776
1995-06-30,312.385
1995-07-31,323.105
1995-08-31,325.209
1995-09-29,339.82
1995-10-31,339.426
1995-11-30,354.421
1995-12-29,360.214
1996-01-31,372.691
1996-02-29,377.602
1996-03-29,380.471
1996-04-30,385.887
1996-05-31,396.04
1996-06-28,397.448
1996-07-31,379.402
1996-08-30,387.731
1996-09-30,410.126
1996-10-31,420.022
1996-11-29,452.12
1996-12-31,443.592
1997-01-31,471.815
1997-02-28,474.516
1997-03-31,453.931
1997-04-30,480.581
1997-05-30,510.441
1997-06-30,532.842
1997-07-31,576.637
1997-08-29,544.722
1997-09-30,574.291
1997-10-31,557.121
1997-11-28,583.235
1997-12-31,595.007
1998-01-30,602.221
1998-02-27,645.631
1998-03-31,679.908
1998-04-30,687.911
1998-05-29,675.291
1998-06-30,707.332
1998-07-31,701.624
1998-08-31,600.917
1998-09-30,640.669
1998-10-30,691.931
1998-11-30,735.905
1998-12-31,785.043
1999-01-29,821.013
1999-02-26,796.825
1999-03-31,831.739
1999-04-30,862.333
1999-05-31,839.078
1999-06-30,881.991
1999-07-30,851.905
1999-08-31,846.61
1999-09-30,824.062
1999-10-29,879.928
1999-11-30,900.602
1999-12-31,962.12
2000-01-31,914.649
2000-02-29,901.679
2000-03-31,972.245
2000-04-28,925.613
2000-05-31,895.156
2000-06-30,933.212
2000-07-31,915.457
2000-08-31,979.228
2000-09-29,927.771
2000-10-31,916.051
2000-11-30,827.251
2000-12-29,831.235
2001-01-31,860.469
2001-02-28,773.39
2001-03-30,718.999
2001-04-30,776.265
2001-05-31,779.549
2001-06-29,760.06
2001-07-31,751.395
2001-08-31,701.998
2001-09-28,648.597
2001-10-31,660.839
2001-11-30,712.302
2001-12-31,716.382
2002-01-31,702.478
2002-02-28,686.891
2002-03-29,710.613
2002-04-30,662.963
2002-05-31,658.528
2002-06-28,609.767
2002-07-31,569.965
2002-08-30,573.898
2002-09-30,510.579
2002-10-31,557.131
2002-11-29,587.534
2002-12-31,552.073
2003-01-31,537.109
2003-02-28,528.86
2003-03-31,533.582
2003-04-30,577.871
2003-05-30,604.734
2003-06-30,613.954
2003-07-31,623.605
2003-08-29,632.39
2003-09-30,626.037
2003-10-31,658.566
2003-11-28,663.452
2003-12-31,699.149
2004-01-30,712.059
2004-02-27,720.541
2004-03-31,707.168
2004-04-30,698.188
2004-05-31,705.925
2004-06-30,717.766
2004-07-30,694.74
2004-08-31,698.482
2004-09-30,702.773
2004-10-29,710.956
2004-11-30,736.688
2004-12-31,762.019
2005-01-31,744.128
2005-02-28,758.15
2005-03-31,744.242
2005-04-29,733.358
2005-05-31,755.352
2005-06-30,754.103
2005-07-29,779.897
2005-08-31,772.925
2005-09-30,778.247
2005-10-31,768.308
2005-11-30,796.323
2005-12-30,794.945
2006-01-31,812.277
2006-02-28,814.172
2006-03-31,823.21
2006-04-28,834.293
2006-05-31,811.511
2006-06-30,813.058
2006-07-31,822.572
2006-08-31,842.664
2006-09-29,864.967
2006-10-31,893.02
2006-11-30,907.597
2006-12-29,922.901
2007-01-31,936.227
2007-02-28,914.156
2007-03-30,925.563
2007-04-30,966.51
