Date,USA LARGE CAP Large Cap
2015-02-27,1554.716
2015-03-31,1526.681
2015-04-30,1543.612
2015-05-29,1563.607
2015-06-30,1533.399
2015-07-31,1566.655
2015-08-31,1468.047
2015-09-30,1431.936
2015-10-30,1553.87
2015-11-30,1557.749
2015-12-31,1534.158
2016-01-29,1458.03
2016-02-29,1449.946
2016-03-31,1544.475
2016-04-29,1550.062
2016-05-31,1577.545
2016-06-30,1582.437
2016-07-29,1639.203
2016-08-31,1641.345
2016-09-30,1641.534
2016-10-31,1612.056
2016-11-30,1663.646
2016-12-30,1698.622
2017-01-31,1730.758
2017-02-28,1799.942
2017-03-31,1802.977
2017-04-28,1822.495
2017-05-31,1848.443
2017-06-30,1857.277
2017-07-31,1895.887
2017-08-31,1903.756
2017-09-29,1940.622
2017-10-31,1986.789
2017-11-30,2042.811
2017-12-29,2064.715
2018-01-31,2186.385
2018-02-28,2106.442
2018-03-30,2045.378
2018-04-30,2054.726
2018-05-31,2104.738
2018-06-29,2117.694
2018-07-31,2197.051
2018-08-31,2270.378
2018-09-28,2283.984
2018-10-31,2132.125
2018-11-30,2171.46
2018-12-31,1977.423
2019-01-31,2131.315
2019-02-28,2197.973
2019-03-29,2241.033
2019-04-30,2330.556
2019-05-31,2180.36
2019-06-28,2332.514
2019-07-31,2368.73
2019-08-30,2330.632
2019-09-30,2368.858
2019-10-31,2423.075
2019-11-29,2513.166
2019-12-31,2590.495
2020-01-31,2596.273
2020-02-28,2386.059
2020-03-31,2106.404
2020-04-30,2378.632
2020-05-29,2491.336
2020-06-30,2547.218
2020-07-31,2695.616
2020-08-31,2914.756
2020-09-30,2797.281
2020-10-30,2709.494
2020-11-30,3010.144
2020-12-31,3128.277
2021-01-29,3095.565
2021-02-26,3158.847
2021-03-31,3284.567
2021-04-30,3462.341
2021-05-31,3475.232
2021-06-30,3578.571
2021-07-30,3669.088
2021-08-31,3774.899
2021-09-30,3591.888
2021-10-29,3844.2
2021-11-30,3813.652
2021-12-31,3963.082
2022-01-31,3748.756
2022-02-28,3624.539
2022-03-31,3759.625
2022-04-29,3411.818
2022-05-31,3401.328
2022-06-30,3127.258
2022-07-29,3415.643
2022-08-31,3273.672
2022-09-30,2972.05
2022-10-31,3205.375
2022-11-30,3373.399
2022-12-30,3168.749
2023-01-31,3367.586
2023-02-28,3288.927
2023-03-31,3435.056
2023-04-28,3489.025
2023-05-31,3524.431
2023-06-30,3750.153
2023-07-31,3876.15
2023-08-31,3818.527
2023-09-29,3640.99
2023-10-31,3570.655
2023-11-30,3900.262
2023-12-29,4064.491
2024-01-31,4145.984
2024-02-29,4364.11
2024-03-29,4492.145
2024-04-30,4313.82
2024-05-31,4533.158
2024-06-28,4722.364
2024-07-31,4756.285
2024-08-30,4869.741
2024-09-30,4970.263
2024-10-31,4932.62
2024-11-29,5221.829
2024-12-31,5124.417
2025-01-31,5268.678
2025-02-28,5193.152
2025-03-31,4879.612
2025-04-30,4861.863
2025-05-30,5180.821
2025-06-30,5454.765
2025-07-31,5581.21
2025-08-29,5689.924
2025-09-30,5923.701
2025-10-31,6085.185
2025-11-28,6080.002
2025-12-31,6079.576
