Date,USA LARGE CAP Large Cap
2001-01-01,859.458
2001-01-02,831.887
2001-01-03,879.05
2001-01-04,869.235
2001-01-05,843.665
2001-01-08,841.502
2001-01-09,846.018
2001-01-10,855.847
2001-01-11,866.885
2001-01-12,861.713
2001-01-15,861.713
2001-01-16,867.442
2001-01-17,870.0
2001-01-18,882.736
2001-01-19,879.101
2001-01-22,877.838
2001-01-23,889.962
2001-01-24,892.953
2001-01-25,886.026
2001-01-26,884.384
2001-01-29,890.079
2001-01-30,896.172
2001-01-31,889.481
2001-02-01,894.342
2001-02-02,876.844
2001-02-05,879.538
2001-02-06,878.013
2001-02-07,869.51
2001-02-08,863.577
2001-02-09,850.727
2001-02-12,860.716
2001-02-13,852.217
2001-02-14,851.341
2001-02-15,858.951
2001-02-16,842.475
2001-02-19,842.475
2001-02-20,826.71
2001-02-21,810.879
2001-02-22,808.831
2001-02-23,805.059
2001-02-26,819.535
2001-02-27,811.658
2001-02-28,799.187
2001-03-01,799.942
2001-03-02,793.937
2001-03-05,799.13
2001-03-06,807.578
2001-03-07,812.422
2001-03-08,813.057
2001-03-09,791.738
2001-03-12,756.161
2001-03-13,769.538
2001-03-14,749.142
2001-03-15,753.671
2001-03-16,738.012
2001-03-19,751.546
2001-03-20,732.006
2001-03-21,719.017
2001-03-22,716.742
2001-03-23,730.945
2001-03-26,738.812
2001-03-27,759.037
2001-03-28,739.088
2001-03-29,734.692
2001-03-30,742.795
2001-04-02,732.726
2001-04-03,705.758
2001-04-04,703.178
2001-04-05,736.116
2001-04-06,721.259
2001-04-09,726.62
2001-04-10,747.012
2001-04-11,746.698
2001-04-12,758.193
2001-04-13,758.193
2001-04-16,755.251
2001-04-17,763.551
2001-04-18,794.367
2001-04-19,806.774
2001-04-20,800.196
2001-04-23,786.613
2001-04-24,775.788
2001-04-25,788.42
2001-04-26,791.431
2001-04-27,803.467
2001-04-30,801.759
2001-05-01,813.717
2001-05-02,815.846
2001-05-03,803.236
2001-05-04,814.758
2001-05-07,812.476
2001-05-08,811.005
2001-05-09,806.766
2001-05-10,805.879
2001-05-11,799.628
2001-05-14,801.465
2001-05-15,801.161
2001-05-16,824.392
2001-05-17,826.681
2001-05-18,828.794
2001-05-21,843.22
2001-05-22,840.948
2001-05-23,827.222
2001-05-24,830.577
2001-05-25,820.193
2001-05-28,820.193
2001-05-29,812.844
2001-05-30,799.713
2001-05-31,804.821
2001-06-01,808.007
2001-06-04,812.114
2001-06-05,822.956
2001-06-06,814.661
2001-06-07,819.14
2001-06-08,810.778
2001-06-11,804.012
2001-06-12,804.855
2001-06-13,795.435
2001-06-14,781.442
2001-06-15,777.025
2001-06-18,773.603
2001-06-19,776.051
2001-06-20,783.899
2001-06-21,793.268
2001-06-22,786.088
2001-06-25,781.301
2001-06-26,779.647
2001-06-27,776.109
2001-06-28,786.503
2001-06-29,784.559
2001-07-02,793.105
2001-07-03,791.952
2001-07-04,791.952
2001-07-05,781.472
2001-07-06,763.541
2001-07-09,768.994
2001-07-10,757.256
2001-07-11,755.868
2001-07-12,774.169
2001-07-13,778.765
2001-07-16,770.238
2001-07-17,778.752
2001-07-18,773.886
2001-07-19,778.283
2001-07-20,775.958
2001-07-23,762.879
2001-07-24,750.78
2001-07-25,762.085
2001-07-26,770.159
2001-07-27,771.999
2001-07-30,771.098
2001-07-31,775.397
2001-08-01,778.807
2001-08-02,782.012
2001-08-03,778.043
2001-08-06,769.313
2001-08-07,771.937
2001-08-08,758.672
2001-08-09,758.462
2001-08-10,762.563
2001-08-13,763.289
2001-08-14,759.936
2001-08-15,753.94
2001-08-16,755.818
2001-08-17,742.864
2001-08-20,749.01
2001-08-21,739.823
2001-08-22,744.896
2001-08-23,742.611
2001-08-24,757.632
2001-08-27,754.003
2001-08-28,742.325
2001-08-29,733.845
2001-08-30,721.042
2001-08-31,724.109
2001-09-03,724.109
2001-09-04,723.63
2001-09-05,722.868
2001-09-06,706.694
2001-09-07,693.49
2001-09-10,698.66
2001-09-11,698.66
2001-09-12,698.66
2001-09-13,698.66
2001-09-14,698.66
2001-09-17,664.231
2001-09-18,660.684
2001-09-19,650.477
2001-09-20,631.127
2001-09-21,619.589
2001-09-24,644.223
2001-09-25,649.989
2001-09-26,647.186
2001-09-27,654.584
2001-09-28,668.831
2001-10-01,667.797
2001-10-02,675.392
2001-10-03,689.429
2001-10-04,687.422
2001-10-05,688.363
2001-10-08,682.792
2001-10-09,679.175
2001-10-10,694.623
2001-10-11,705.705
2001-10-12,701.803
2001-10-15,701.035
2001-10-16,705.829
2001-10-17,692.659
2001-10-18,687.78
2001-10-19,690.548
2001-10-22,701.679
2001-10-23,698.119
2001-10-24,698.52
2001-10-25,707.914
2001-10-26,710.473
2001-10-29,693.219
2001-10-30,681.287
2001-10-31,681.249
2001-11-01,696.936
2001-11-02,698.706
2001-11-05,708.415
2001-11-06,719.161
2001-11-07,717.279
2001-11-08,719.614
2001-11-09,720.512
2001-11-12,719.48
2001-11-13,732.934
2001-11-14,735.143
2001-11-15,736.052
2001-11-16,733.373
2001-11-19,741.653
2001-11-20,735.555
2001-11-21,732.14
2001-11-22,732.14
2001-11-23,740.605
2001-11-26,745.664
2001-11-27,740.68
2001-11-28,727.008
2001-11-29,734.68
2001-11-30,733.998
2001-12-03,727.619
2001-12-04,736.851
2001-12-05,752.918
2001-12-06,750.837
2001-12-07,744.79
2001-12-10,732.797
2001-12-11,730.587
2001-12-12,731.092
2001-12-13,719.675
2001-12-14,721.895
2001-12-17,729.43
2001-12-18,734.408
2001-12-19,739.35
2001-12-20,733.299
2001-12-21,736.237
2001-12-24,735.601
2001-12-25,735.601
2001-12-26,738.587
2001-12-27,743.721
2001-12-28,746.281
2001-12-31,737.956
2002-01-01,737.956
2002-01-02,742.359
2002-01-03,748.998
2002-01-04,753.432
2002-01-07,748.479
2002-01-08,745.785
2002-01-09,742.133
2002-01-10,743.314
2002-01-11,736.363
2002-01-14,731.914
2002-01-15,736.879
2002-01-16,725.35
2002-01-17,732.529
2002-01-18,725.132
2002-01-21,725.132
2002-01-22,719.554
2002-01-23,724.371
2002-01-24,726.246
2002-01-25,726.887
2002-01-28,726.447
2002-01-29,704.928
2002-01-30,712.961
2002-01-31,723.415
2002-02-01,717.949
2002-02-04,699.819
2002-02-05,696.82
2002-02-06,692.576
2002-02-07,691.126
2002-02-08,702.144
2002-02-11,711.644
2002-02-12,708.683
2002-02-13,715.477
2002-02-14,714.251
2002-02-15,705.538
2002-02-18,705.538
2002-02-19,692.051
2002-02-20,701.762
2002-02-21,690.42
2002-02-22,696.044
2002-02-25,709.107
2002-02-26,708.57
2002-02-27,708.775
2002-02-28,707.041
2002-03-01,723.761
2002-03-04,737.29
2002-03-05,732.525
2002-03-06,742.756
2002-03-07,739.123
2002-03-08,744.081
2002-03-11,746.21
2002-03-12,744.487
2002-03-13,737.185
2002-03-14,736.313
2002-03-15,745.159
2002-03-18,744.641
2002-03-19,747.188
2002-03-20,735.243
2002-03-21,736.519
2002-03-22,733.547
2002-03-25,722.697
2002-03-26,726.607
2002-03-27,729.693
2002-03-28,731.287
2002-03-29,731.287
2002-04-01,730.658
2002-04-02,724.526
2002-04-03,717.591
2002-04-04,718.291
2002-04-05,715.923
2002-04-08,717.125
2002-04-09,711.874
2002-04-10,719.325
2002-04-11,701.34
2002-04-12,706.512
2002-04-15,700.757
2002-04-16,717.651
2002-04-17,715.938
2002-04-18,714.982
2002-04-19,715.375
2002-04-22,703.675
2002-04-23,698.885
2002-04-24,693.861
2002-04-25,691.998
2002-04-26,681.667
2002-04-29,674.879
2002-04-30,682.078
2002-05-01,688.791
2002-05-02,687.124
2002-05-03,679.454
2002-05-06,665.909
2002-05-07,663.87
2002-05-08,690.196
2002-05-09,679.93
2002-05-10,668.381
2002-05-13,681.469
2002-05-14,696.655
2002-05-15,692.949
2002-05-16,697.75
2002-05-17,703.481
2002-05-20,694.078
2002-05-21,686.249
2002-05-22,690.018
2002-05-23,697.118
2002-05-24,688.39
2002-05-27,688.39
2002-05-28,682.399
2002-05-29,677.674
2002-05-30,675.861
2002-05-31,677.213
2002-06-03,660.379
2002-06-04,660.668
2002-06-05,666.612
2002-06-06,652.996
2002-06-07,651.132
2002-06-10,653.254
2002-06-11,641.8
2002-06-12,647.091
2002-06-13,640.846
2002-06-14,639.524
2002-06-17,657.615
2002-06-18,658.442
2002-06-19,647.158
2002-06-20,637.663
2002-06-21,626.086
2002-06-24,628.94
2002-06-25,618.182
2002-06-26,617.047
2002-06-27,627.87
2002-06-28,626.814
2002-07-01,613.387
2002-07-02,601.468
2002-07-03,605.638
2002-07-04,605.638
2002-07-05,627.788
2002-07-08,620.767
2002-07-09,605.216
2002-07-10,585.451
2002-07-11,590.253
2002-07-12,586.713
2002-07-15,584.651
2002-07-16,574.518
2002-07-17,578.848
2002-07-18,562.718
2002-07-19,542.158
2002-07-22,523.789
2002-07-23,509.782
2002-07-24,538.927
2002-07-25,535.74
2002-07-26,546.138
2002-07-29,576.189
2002-07-30,578.794
2002-07-31,585.686
2002-08-01,568.118
2002-08-02,556.021
2002-08-05,536.303
2002-08-06,551.753
2002-08-07,563.738
2002-08-08,582.853
2002-08-09,584.965
2002-08-12,581.893
2002-08-13,569.478
2002-08-14,592.232
2002-08-15,598.599
2002-08-16,597.861
2002-08-19,612.202
2002-08-20,603.52
2002-08-21,611.413
2002-08-22,619.749
2002-08-23,605.463
2002-08-26,609.935
2002-08-27,601.446
2002-08-28,590.894
2002-08-29,590.776
2002-08-30,589.454
2002-09-02,589.454
2002-09-03,564.156
2002-09-04,574.165
2002-09-05,565.21
2002-09-06,574.346
2002-09-09,580.446
2002-09-10,584.965
2002-09-11,585.114
2002-09-12,570.706
2002-09-13,572.276
2002-09-16,573.675
2002-09-17,562.406
2002-09-18,559.65
2002-09-19,542.433
2002-09-20,543.34
2002-09-23,536.693
2002-09-24,527.94
2002-09-25,540.644
2002-09-26,550.228
2002-09-27,531.844
2002-09-30,524.179
2002-10-01,545.804
2002-10-02,533.067
2002-10-03,527.612
2002-10-04,515.89
2002-10-07,506.517
2002-10-08,514.943
2002-10-09,501.566
2002-10-10,518.749
2002-10-11,539.337
2002-10-14,543.201
2002-10-15,569.322
2002-10-16,555.982
2002-10-17,567.865
2002-10-18,571.384
2002-10-21,579.799
2002-10-22,574.815
2002-10-23,577.837
2002-10-24,568.991
2002-10-25,578.796
2002-10-28,574.619
2002-10-29,569.244
2002-10-30,575.009
2002-10-31,571.705
2002-11-01,580.967
2002-11-04,585.719
2002-11-05,591.245
2002-11-06,595.742
2002-11-07,582.786
2002-11-08,578.454
2002-11-11,566.606
2002-11-12,570.376
2002-11-13,569.545
2002-11-14,583.333
2002-11-15,586.719
2002-11-18,580.62
2002-11-19,578.8
2002-11-20,589.344
2002-11-21,601.612
2002-11-22,599.041
2002-11-25,600.476
2002-11-26,588.028
2002-11-27,604.368
2002-11-28,604.368
2002-11-29,602.596
2002-12-02,601.464
2002-12-03,592.585
2002-12-04,591.061
2002-12-05,583.954
2002-12-06,587.741
2002-12-09,575.033
2002-12-10,582.988
2002-12-11,583.104
2002-12-12,580.634
2002-12-13,573.196
2002-12-16,586.486
2002-12-17,581.504
2002-12-18,574.048
2002-12-19,569.687
2002-12-20,576.941
2002-12-23,577.793
2002-12-24,574.557
2002-12-25,574.557
2002-12-26,572.361
2002-12-27,563.279
2002-12-30,565.768
2002-12-31,565.942
2003-01-01,565.942
2003-01-02,584.552
2003-01-03,584.692
2003-01-06,597.91
2003-01-07,594.082
2003-01-08,585.85
2003-01-09,596.915
2003-01-10,596.799
2003-01-13,596.391
2003-01-14,600.144
2003-01-15,591.202
2003-01-16,588.824
2003-01-17,580.696
2003-01-20,580.696
2003-01-21,571.751
2003-01-22,565.804
2003-01-23,571.025
2003-01-24,554.047
2003-01-27,545.236
2003-01-28,552.078
2003-01-29,555.82
2003-01-30,542.88
2003-01-31,550.37
2003-02-03,553.447
2003-02-04,545.669
2003-02-05,542.79
2003-02-06,539.477
2003-02-07,534.019
2003-02-10,537.747
2003-02-11,533.272
2003-02-12,526.784
2003-02-13,526.115
2003-02-14,537.328
2003-02-17,537.328
2003-02-18,548.025
2003-02-19,544.63
2003-02-20,538.972
2003-02-21,545.889
2003-02-24,536.054
2003-02-25,539.917
2003-02-26,532.917
2003-02-27,539.228
2003-02-28,541.584
2003-03-03,537.702
2003-03-04,529.849
2003-03-05,535.439
2003-03-06,530.031
2003-03-07,534.404
2003-03-10,520.923
2003-03-11,516.917
2003-03-12,519.34
2003-03-13,536.661
2003-03-14,537.577
2003-03-17,556.234
2003-03-18,558.348
2003-03-19,564.109
2003-03-20,564.841
2003-03-21,577.801
2003-03-24,557.642
2003-03-25,564.098
2003-03-26,560.915
2003-03-27,559.935
2003-03-28,556.678
2003-03-31,546.209
2003-04-01,553.44
