Date,SINGAPORE MID CAP Mid Cap
1994-05-31,654.26
1994-06-30,636.541
1994-07-29,644.018
1994-08-31,668.638
1994-09-30,688.44
1994-10-31,730.826
1994-11-30,664.729
1994-12-30,670.934
1995-01-31,626.679
1995-02-28,635.563
1995-03-31,639.662
1995-04-28,643.224
1995-05-31,687.262
1995-06-30,679.769
1995-07-31,694.445
1995-08-31,672.423
1995-09-29,679.049
1995-10-31,667.989
1995-11-30,680.427
1995-12-29,733.821
1996-01-31,765.272
1996-02-29,765.746
1996-03-29,749.62
1996-04-30,755.859
1996-05-31,726.17
1996-06-28,708.544
1996-07-31,628.153
1996-08-30,647.615
1996-09-30,648.603
1996-10-31,627.149
1996-11-29,672.515
1996-12-31,680.475
1997-01-31,706.431
1997-02-28,709.082
1997-03-31,650.712
1997-04-30,645.974
1997-05-30,699.305
1997-06-30,673.3
1997-07-31,669.588
1997-08-29,586.21
1997-09-30,610.283
1997-10-31,475.083
1997-11-28,484.909
1997-12-31,423.067
1998-01-30,346.037
1998-02-27,445.845
1998-03-31,469.382
1998-04-30,423.608
1998-05-29,349.342
1998-06-30,306.437
1998-07-31,290.02
1998-08-31,222.657
1998-09-30,248.667
1998-10-30,346.847
1998-11-30,418.639
1998-12-31,411.239
1999-01-29,422.212
1999-02-26,390.104
1999-03-31,409.406
1999-04-30,474.258
1999-05-31,493.04
1999-06-30,558.625
1999-07-30,562.958
1999-08-31,549.698
1999-09-30,501.242
1999-10-29,525.495
1999-11-30,555.886
1999-12-31,670.852
2000-01-31,639.494
2000-02-29,657.913
2000-03-31,652.53
2000-04-28,565.103
2000-05-31,460.966
2000-06-30,540.171
2000-07-31,549.296
2000-08-31,589.055
2000-09-29,525.256
2000-10-31,487.991
2000-11-30,466.216
2000-12-29,451.733
2001-01-31,494.394
2001-02-28,461.564
2001-03-30,367.31
2001-04-30,390.794
2001-05-31,391.859
2001-06-29,424.508
2001-07-31,414.665
2001-08-31,392.801
2001-09-28,313.495
2001-10-31,322.645
2001-11-30,345.098
2001-12-31,383.401
2002-01-31,393.344
2002-02-28,386.985
2002-03-29,399.387
2002-04-30,385.468
2002-05-31,365.265
2002-06-28,345.702
2002-07-31,327.317
2002-08-30,330.193
2002-09-30,290.338
2002-10-31,309.8
2002-11-29,310.31
2002-12-31,288.224
2003-01-31,282.295
2003-02-28,287.301
2003-03-31,288.544
2003-04-30,295.842
2003-05-30,319.518
2003-06-30,338.11
2003-07-31,359.307
2003-08-29,375.175
2003-09-30,375.251
2003-10-31,396.46
2003-11-28,396.127
2003-12-31,412.881
2004-01-30,438.961
2004-02-27,437.065
2004-03-31,431.245
2004-04-30,427.199
2004-05-31,419.011
2004-06-30,425.931
2004-07-30,430.014
2004-08-31,444.482
2004-09-30,471.379
2004-10-29,471.716
2004-11-30,494.972
2004-12-31,517.077
2005-01-31,520.898
2005-02-28,524.778
2005-03-31,524.953
2005-04-29,536.43
2005-05-31,540.654
2005-06-30,553.252
2005-07-29,606.406
2005-08-31,591.279
2005-09-30,604.597
2005-10-31,576.879
2005-11-30,584.433
2005-12-30,613.37
2006-01-31,648.67
2006-02-28,673.993
2006-03-31,716.663
2006-04-28,741.397
2006-05-31,666.456
2006-06-30,679.068
2006-07-31,676.93
2006-08-31,702.638
2006-09-29,713.961
2006-10-31,769.401
2006-11-30,787.601
2006-12-29,813.257
2007-01-31,895.94
2007-02-28,896.293
2007-03-30,932.213
2007-04-30,971.858
2007-05-31,1000.0
2007-06-29,1074.447
2007-07-31,1070.538
2007-08-31,1028.156
2007-09-28,1183.339
2007-10-31,1272.623
2007-11-30,1176.178
2007-12-31,1195.938
2008-01-31,1037.639
2008-02-29,1094.852
2008-03-31,1115.656
2008-04-30,1154.296
2008-05-30,1150.757
2008-06-30,1047.875
2008-07-31,1031.202
2008-08-29,932.288
2008-09-30,759.276
2008-10-31,546.291
2008-11-28,526.897
2008-12-31,573.614
2009-01-30,558.536
2009-02-27,492.04
2009-03-31,561.605
2009-04-30,652.995
2009-05-29,803.948
2009-06-30,824.196
2009-07-31,930.298
2009-08-31,945.558
2009-09-30,1024.805
2009-10-30,1015.981
2009-11-30,1055.627
2009-12-31,1096.737
2010-01-29,1053.73
2010-02-26,1075.268
2010-03-31,1130.248
2010-04-30,1221.595
2010-05-31,1108.879
2010-06-30,1158.095
2010-07-30,1276.073
2010-08-31,1269.366
2010-09-30,1417.434
2010-10-29,1449.503
2010-11-30,1437.191
2010-12-31,1543.634
2011-01-31,1513.346
2011-02-28,1434.094
2011-03-31,1502.065
2011-04-29,1583.275
2011-05-31,1546.407
2011-06-30,1496.056
2011-07-29,1545.735
2011-08-31,1425.063
2011-09-30,1210.956
2011-10-31,1348.89
2011-11-30,1294.052
2011-12-30,1250.34
2012-01-31,1416.581
2012-02-29,1485.712
2012-03-30,1493.892
2012-04-30,1503.976
2012-05-31,1351.481
2012-06-29,1452.188
2012-07-31,1583.141
2012-08-31,1584.131
2012-09-28,1654.037
2012-10-31,1644.814
2012-11-30,1653.341
2012-12-31,1681.557
2013-01-31,1719.348
