Date,SINGAPORE MID CAP Mid Cap
2001-01-01,451.427
2001-01-02,438.933
2001-01-03,428.822
2001-01-04,453.349
2001-01-05,472.089
2001-01-08,460.113
2001-01-09,467.359
2001-01-10,465.796
2001-01-11,444.669
2001-01-12,449.988
2001-01-15,455.385
2001-01-16,456.016
2001-01-17,451.684
2001-01-18,451.818
2001-01-19,472.0
2001-01-22,475.047
2001-01-23,469.738
2001-01-24,469.738
2001-01-25,470.113
2001-01-26,461.488
2001-01-29,471.52
2001-01-30,483.628
2001-01-31,494.059
2001-02-01,494.968
2001-02-02,491.422
2001-02-05,479.062
2001-02-06,477.052
2001-02-07,472.594
2001-02-08,481.559
2001-02-09,477.177
2001-02-12,480.084
2001-02-13,479.306
2001-02-14,470.875
2001-02-15,476.348
2001-02-16,477.415
2001-02-19,469.386
2001-02-20,481.204
2001-02-21,472.699
2001-02-22,467.168
2001-02-23,470.648
2001-02-26,472.949
2001-02-27,462.992
2001-02-28,461.252
2001-03-01,446.492
2001-03-02,440.616
2001-03-05,439.345
2001-03-06,439.68
2001-03-07,443.841
2001-03-08,442.953
2001-03-09,439.829
2001-03-12,424.233
2001-03-13,415.758
2001-03-14,409.145
2001-03-15,413.794
2001-03-16,408.288
2001-03-19,399.294
2001-03-20,401.239
2001-03-21,396.891
2001-03-22,382.759
2001-03-23,391.852
2001-03-26,391.593
2001-03-27,382.476
2001-03-28,370.547
2001-03-29,361.496
2001-03-30,367.062
2001-04-02,357.568
2001-04-03,356.633
2001-04-04,348.758
2001-04-05,370.224
2001-04-06,369.055
2001-04-09,351.344
2001-04-10,354.83
2001-04-11,359.902
2001-04-12,364.13
2001-04-13,364.13
2001-04-16,361.311
2001-04-17,347.964
2001-04-18,364.491
2001-04-19,376.693
2001-04-20,379.183
2001-04-23,382.239
2001-04-24,381.08
2001-04-25,375.753
2001-04-26,378.61
2001-04-27,379.423
2001-04-30,390.529
2001-05-01,391.943
2001-05-02,403.26
2001-05-03,405.027
2001-05-04,400.046
2001-05-07,399.563
2001-05-08,400.094
2001-05-09,392.787
2001-05-10,398.882
2001-05-11,401.957
2001-05-14,396.826
2001-05-15,396.435
2001-05-16,387.44
2001-05-17,397.042
2001-05-18,390.375
2001-05-21,388.782
2001-05-22,398.562
2001-05-23,403.717
2001-05-24,405.098
2001-05-25,403.861
2001-05-28,401.891
2001-05-29,401.492
2001-05-30,391.008
2001-05-31,391.594
2001-06-01,390.343
2001-06-04,393.069
2001-06-05,396.729
2001-06-06,400.773
2001-06-07,405.678
2001-06-08,412.365
2001-06-11,404.913
2001-06-12,400.529
2001-06-13,413.019
2001-06-14,411.59
2001-06-15,416.397
2001-06-18,416.297
2001-06-19,416.861
2001-06-20,409.167
2001-06-21,413.452
2001-06-22,422.965
2001-06-25,424.386
2001-06-26,424.242
2001-06-27,420.412
2001-06-28,417.501
2001-06-29,424.22
2001-07-02,421.16
2001-07-03,420.747
2001-07-04,417.306
2001-07-05,415.572
2001-07-06,406.646
2001-07-09,405.555
2001-07-10,408.321
2001-07-11,400.23
2001-07-12,405.035
2001-07-13,401.345
2001-07-16,404.886
2001-07-17,400.211
2001-07-18,398.048
2001-07-19,401.299
2001-07-20,401.926
2001-07-23,397.913
2001-07-24,403.325
2001-07-25,401.519
2001-07-26,405.359
2001-07-27,411.288
2001-07-30,413.612
2001-07-31,414.384
2001-08-01,422.698
2001-08-02,426.032
2001-08-03,420.906
2001-08-06,419.788
2001-08-07,416.777
2001-08-08,411.913
2001-08-09,411.935
2001-08-10,415.01
2001-08-13,410.729
2001-08-14,418.493
2001-08-15,418.624
2001-08-16,414.363
2001-08-17,413.406
2001-08-20,405.686
2001-08-21,409.022
2001-08-22,412.402
2001-08-23,409.985
2001-08-24,409.205
2001-08-27,412.854
2001-08-28,409.11
2001-08-29,404.686
2001-08-30,396.675
2001-08-31,392.535
2001-09-03,391.107
2001-09-04,396.107
2001-09-05,391.076
2001-09-06,388.756
2001-09-07,379.742
2001-09-10,372.345
2001-09-11,375.135
2001-09-12,350.317
2001-09-13,343.406
2001-09-14,333.858
2001-09-17,315.642
2001-09-18,312.448
2001-09-19,324.077
2001-09-20,312.757
2001-09-21,286.45
2001-09-24,298.651
2001-09-25,300.589
2001-09-26,300.382
2001-09-27,306.223
2001-09-28,313.283
2001-10-01,308.122
2001-10-02,308.688
2001-10-03,302.464
2001-10-04,317.188
2001-10-05,319.343
2001-10-08,306.575
2001-10-09,318.605
2001-10-10,313.146
2001-10-11,323.835
2001-10-12,325.685
2001-10-15,326.095
2001-10-16,326.747
2001-10-17,336.424
2001-10-18,327.636
2001-10-19,323.246
2001-10-22,321.485
2001-10-23,329.918
2001-10-24,334.932
2001-10-25,337.214
2001-10-26,333.438
2001-10-29,327.546
2001-10-30,325.662
2001-10-31,322.426
2001-11-01,307.726
2001-11-02,303.28
2001-11-05,308.68
2001-11-06,309.59
2001-11-07,306.286
2001-11-08,315.687
2001-11-09,322.768
2001-11-12,323.481
2001-11-13,322.166
2001-11-14,322.166
2001-11-15,340.841
2001-11-16,335.834
2001-11-19,345.495
2001-11-20,345.802
2001-11-21,345.93
2001-11-22,341.718
2001-11-23,346.928
2001-11-26,348.218
2001-11-27,349.485
2001-11-28,346.694
2001-11-29,347.665
2001-11-30,344.864
2001-12-03,346.114
2001-12-04,364.156
2001-12-05,374.809
2001-12-06,377.913
2001-12-07,378.527
2001-12-10,377.807
2001-12-11,380.823
2001-12-12,386.189
2001-12-13,380.877
2001-12-14,381.893
2001-12-17,381.587
2001-12-18,384.988
2001-12-19,390.236
2001-12-20,386.114
2001-12-21,378.445
2001-12-24,380.068
2001-12-25,380.068
2001-12-26,377.101
2001-12-27,381.116
2001-12-28,381.997
2001-12-31,383.141
2002-01-01,383.141
2002-01-02,386.02
2002-01-03,393.614
2002-01-04,405.137
2002-01-07,401.153
2002-01-08,400.105
2002-01-09,395.097
2002-01-10,406.362
2002-01-11,404.277
2002-01-14,406.793
2002-01-15,403.688
2002-01-16,396.497
2002-01-17,396.194
2002-01-18,383.648
2002-01-21,386.015
2002-01-22,380.928
2002-01-23,379.424
2002-01-24,379.601
2002-01-25,387.407
2002-01-28,392.858
2002-01-29,391.761
2002-01-30,387.251
2002-01-31,393.088
2002-02-01,388.675
2002-02-04,380.608
2002-02-05,378.58
2002-02-06,384.209
2002-02-07,379.455
2002-02-08,377.106
2002-02-11,381.531
2002-02-12,381.837
2002-02-13,381.952
2002-02-14,397.734
2002-02-15,397.38
2002-02-18,395.197
2002-02-19,390.906
2002-02-20,389.434
2002-02-21,389.114
2002-02-22,381.363
2002-02-25,373.823
2002-02-26,376.451
2002-02-27,382.079
2002-02-28,386.733
2002-03-01,393.523
2002-03-04,415.398
2002-03-05,412.631
2002-03-06,416.421
2002-03-07,418.891
2002-03-08,415.303
2002-03-11,415.714
2002-03-12,410.274
2002-03-13,413.209
2002-03-14,413.04
2002-03-15,412.779
2002-03-18,415.435
2002-03-19,416.816
2002-03-20,414.505
2002-03-21,408.288
2002-03-22,407.123
2002-03-25,401.675
2002-03-26,399.439
2002-03-27,398.799
2002-03-28,399.127
2002-03-29,399.127
2002-04-01,398.092
2002-04-02,397.823
2002-04-03,394.758
2002-04-04,394.367
2002-04-05,396.944
2002-04-08,390.783
2002-04-09,387.57
2002-04-10,378.874
2002-04-11,388.428
2002-04-12,392.577
2002-04-15,393.328
2002-04-16,398.179
2002-04-17,396.842
2002-04-18,393.429
2002-04-19,387.645
2002-04-22,390.312
2002-04-23,391.481
2002-04-24,390.468
2002-04-25,383.869
2002-04-26,388.136
2002-04-29,384.128
2002-04-30,385.217
2002-05-01,385.6
2002-05-02,389.076
2002-05-03,389.866
2002-05-06,383.699
2002-05-07,381.135
2002-05-08,386.154
2002-05-09,386.236
2002-05-10,384.706
2002-05-13,385.542
2002-05-14,386.467
2002-05-15,389.23
2002-05-16,384.752
2002-05-17,385.272
2002-05-20,382.995
2002-05-21,381.792
2002-05-22,380.088
2002-05-23,375.313
2002-05-24,376.994
2002-05-27,377.249
2002-05-28,372.982
2002-05-29,368.535
2002-05-30,372.887
2002-05-31,365.043
2002-06-03,366.7
2002-06-04,362.723
2002-06-05,362.186
2002-06-06,363.871
2002-06-07,360.269
2002-06-10,358.786
2002-06-11,358.647
2002-06-12,355.105
2002-06-13,354.872
2002-06-14,348.227
2002-06-17,346.519
2002-06-18,346.881
2002-06-19,339.489
2002-06-20,341.826
2002-06-21,339.219
2002-06-24,339.656
2002-06-25,350.767
2002-06-26,338.713
2002-06-27,338.652
2002-06-28,345.492
2002-07-01,344.874
2002-07-02,344.182
2002-07-03,351.034
2002-07-04,354.861
2002-07-05,365.645
2002-07-08,359.927
2002-07-09,368.048
2002-07-10,367.439
2002-07-11,359.391
2002-07-12,362.4
2002-07-15,360.861
2002-07-16,357.46
2002-07-17,358.509
2002-07-18,356.065
2002-07-19,354.099
2002-07-22,344.116
2002-07-23,352.298
2002-07-24,338.238
2002-07-25,339.259
2002-07-26,326.026
2002-07-29,327.73
2002-07-30,329.445
2002-07-31,327.118
2002-08-01,328.737
2002-08-02,328.303
2002-08-05,321.104
2002-08-06,317.71
2002-08-07,327.14
2002-08-08,322.743
2002-08-09,323.301
2002-08-12,319.567
2002-08-13,327.397
2002-08-14,333.084
2002-08-15,334.659
2002-08-16,334.889
2002-08-19,332.929
2002-08-20,337.958
2002-08-21,339.015
2002-08-22,339.943
2002-08-23,342.623
2002-08-26,335.742
2002-08-27,337.763
2002-08-28,335.371
2002-08-29,339.345
2002-08-30,329.992
2002-09-02,320.317
2002-09-03,318.243
2002-09-04,321.757
2002-09-05,317.774
2002-09-06,315.703
2002-09-09,314.277
2002-09-10,317.507
2002-09-11,317.058
2002-09-12,314.025
2002-09-13,310.194
2002-09-16,310.425
2002-09-17,314.531
2002-09-18,309.941
2002-09-19,311.405
2002-09-20,301.65
2002-09-23,299.755
2002-09-24,292.179
2002-09-25,288.755
2002-09-26,287.385
2002-09-27,292.093
2002-09-30,290.161
2002-10-01,286.554
2002-10-02,289.847
2002-10-03,293.304
2002-10-04,296.44
2002-10-07,294.331
2002-10-08,294.166
2002-10-09,290.418
2002-10-10,282.501
2002-10-11,286.621
2002-10-14,284.059
2002-10-15,292.5
2002-10-16,300.638
2002-10-17,309.226
2002-10-18,308.3
2002-10-21,305.269
2002-10-22,301.432
2002-10-23,311.574
2002-10-24,311.17
2002-10-25,310.309
2002-10-28,309.198
2002-10-29,308.793
2002-10-30,308.768
2002-10-31,309.612
2002-11-01,305.071
2002-11-04,305.356
2002-11-05,309.157
2002-11-06,311.179
2002-11-07,309.483
2002-11-08,308.559
2002-11-11,302.732
2002-11-12,303.522
2002-11-13,299.177
2002-11-14,302.577
2002-11-15,305.273
2002-11-18,302.766
2002-11-19,302.065
2002-11-20,300.478
2002-11-21,303.6
2002-11-22,310.199
2002-11-25,311.213
2002-11-26,311.315
2002-11-27,309.593
2002-11-28,314.437
2002-11-29,310.121
2002-12-02,309.379
2002-12-03,307.271
2002-12-04,297.469
2002-12-05,294.81
2002-12-06,296.22
2002-12-09,293.115
2002-12-10,294.707
2002-12-11,298.625
2002-12-12,296.797
2002-12-13,294.436
2002-12-16,290.403
2002-12-17,288.178
2002-12-18,287.549
2002-12-19,292.402
2002-12-20,290.965
2002-12-23,293.664
2002-12-24,291.188
2002-12-25,291.188
2002-12-26,288.669
2002-12-27,293.708
2002-12-30,288.474
2002-12-31,288.049
2003-01-01,288.049
2003-01-02,289.304
2003-01-03,293.278
2003-01-06,295.471
2003-01-07,293.108
2003-01-08,298.306
2003-01-09,294.434
2003-01-10,299.991
2003-01-13,310.117
2003-01-14,310.17
2003-01-15,312.614
