Date,ITALY SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.839
2001-01-03,98.025
2001-01-04,98.496
2001-01-05,98.898
2001-01-08,97.342
2001-01-09,96.265
2001-01-10,96.042
2001-01-11,97.149
2001-01-12,97.936
2001-01-15,97.36
2001-01-16,97.3
2001-01-17,97.89
2001-01-18,99.443
2001-01-19,99.005
2001-01-22,99.108
2001-01-23,99.56
2001-01-24,98.481
2001-01-25,98.017
2001-01-26,98.077
2001-01-29,97.691
2001-01-30,98.268
2001-01-31,98.881
2001-02-01,100.216
2001-02-02,99.81
2001-02-05,100.179
2001-02-06,99.216
2001-02-07,98.929
2001-02-08,97.769
2001-02-09,96.99
2001-02-12,97.614
2001-02-13,96.926
2001-02-14,95.632
2001-02-15,94.402
2001-02-16,95.245
2001-02-19,95.555
2001-02-20,94.354
2001-02-21,94.285
2001-02-22,93.914
2001-02-23,92.957
2001-02-26,93.479
2001-02-27,94.597
2001-02-28,94.633
2001-03-01,94.443
2001-03-02,94.626
2001-03-05,94.404
2001-03-06,95.066
2001-03-07,94.547
2001-03-08,95.792
2001-03-09,95.458
2001-03-12,93.23
2001-03-13,91.789
2001-03-14,89.833
2001-03-15,89.895
2001-03-16,88.587
2001-03-19,88.559
2001-03-20,89.45
2001-03-21,87.852
2001-03-22,83.632
2001-03-23,85.081
2001-03-26,86.379
2001-03-27,87.332
2001-03-28,87.149
2001-03-29,86.858
2001-03-30,87.981
2001-04-02,88.067
2001-04-03,87.092
2001-04-04,88.218
2001-04-05,88.34
2001-04-06,89.447
2001-04-09,89.727
2001-04-10,88.367
2001-04-11,87.89
2001-04-12,88.829
2001-04-13,88.829
2001-04-16,87.919
2001-04-17,88.143
2001-04-18,87.972
2001-04-19,89.574
2001-04-20,91.366
2001-04-23,89.586
2001-04-24,89.714
2001-04-25,90.594
2001-04-26,91.102
2001-04-27,90.251
2001-04-30,90.075
2001-05-01,90.552
2001-05-02,91.331
2001-05-03,92.12
2001-05-04,91.826
2001-05-07,92.181
2001-05-08,91.551
2001-05-09,91.179
2001-05-10,91.555
2001-05-11,90.734
2001-05-14,91.356
2001-05-15,92.408
2001-05-16,93.017
2001-05-17,93.508
2001-05-18,93.568
2001-05-21,93.373
2001-05-22,92.852
2001-05-23,91.985
2001-05-24,91.765
2001-05-25,91.816
2001-05-28,91.986
2001-05-29,90.733
2001-05-30,89.957
2001-05-31,89.8
2001-06-01,90.277
2001-06-04,90.557
2001-06-05,91.446
2001-06-06,91.306
2001-06-07,91.78
2001-06-08,91.684
2001-06-11,90.831
2001-06-12,90.592
2001-06-13,91.132
2001-06-14,91.184
2001-06-15,91.123
2001-06-18,90.63
2001-06-19,90.592
2001-06-20,89.481
2001-06-21,89.03
2001-06-22,88.716
2001-06-25,89.919
2001-06-26,89.111
2001-06-27,88.901
2001-06-28,87.094
2001-06-29,87.509
2001-07-02,87.229
2001-07-03,87.198
2001-07-04,87.261
2001-07-05,86.344
2001-07-06,86.598
2001-07-09,86.66
2001-07-10,87.495
2001-07-11,87.09
2001-07-12,86.18
2001-07-13,85.82
2001-07-16,85.91
2001-07-17,84.444
2001-07-18,85.513
2001-07-19,84.916
2001-07-20,85.333
2001-07-23,84.941
2001-07-24,85.129
2001-07-25,85.115
2001-07-26,84.559
2001-07-27,84.138
2001-07-30,83.801
2001-07-31,83.679
2001-08-01,84.905
2001-08-02,85.372
2001-08-03,86.257
2001-08-06,85.734
2001-08-07,85.862
2001-08-08,85.833
2001-08-09,86.549
2001-08-10,86.642
2001-08-13,87.551
2001-08-14,87.697
2001-08-15,89.036
2001-08-16,88.337
2001-08-17,88.121
2001-08-20,87.1
2001-08-21,86.935
2001-08-22,87.409
2001-08-23,86.721
2001-08-24,87.168
2001-08-27,86.891
2001-08-28,86.306
2001-08-29,85.947
2001-08-30,84.753
2001-08-31,84.773
2001-09-03,83.952
2001-09-04,81.858
2001-09-05,79.854
2001-09-06,78.72
2001-09-07,79.177
2001-09-10,77.034
2001-09-11,73.564
2001-09-12,72.141
2001-09-13,72.407
2001-09-14,68.613
2001-09-17,66.143
2001-09-18,65.968
2001-09-19,67.926
2001-09-20,66.085
2001-09-21,61.889
2001-09-24,63.556
2001-09-25,66.357
2001-09-26,67.887
2001-09-27,67.64
2001-09-28,68.222
2001-10-01,66.91
2001-10-02,67.597
2001-10-03,68.004
2001-10-04,69.285
2001-10-05,69.352
2001-10-08,69.172
2001-10-09,68.916
2001-10-10,69.336
2001-10-11,69.961
2001-10-12,69.629
2001-10-15,69.405
2001-10-16,70.358
2001-10-17,70.903
2001-10-18,70.211
2001-10-19,69.584
2001-10-22,69.578
2001-10-23,69.939
2001-10-24,70.195
2001-10-25,70.264
2001-10-26,70.823
2001-10-29,70.969
2001-10-30,69.025
2001-10-31,69.543
2001-11-01,70.053
2001-11-02,69.618
2001-11-05,69.605
2001-11-06,68.958
2001-11-07,69.243
2001-11-08,69.132
2001-11-09,68.961
2001-11-12,67.806
2001-11-13,68.238
2001-11-14,68.579
2001-11-15,69.068
2001-11-16,69.941
2001-11-19,72.302
2001-11-20,72.903
2001-11-21,72.555
2001-11-22,73.661
2001-11-23,73.652
2001-11-26,74.761
2001-11-27,73.703
2001-11-28,73.904
2001-11-29,74.53
2001-11-30,75.477
2001-12-03,75.281
2001-12-04,76.146
2001-12-05,77.145
2001-12-06,77.255
2001-12-07,77.628
2001-12-10,76.394
2001-12-11,76.466
2001-12-12,76.622
2001-12-13,75.496
2001-12-14,75.48
2001-12-17,75.743
2001-12-18,75.259
2001-12-19,74.272
2001-12-20,73.514
2001-12-21,72.634
2001-12-24,71.909
2001-12-25,71.909
2001-12-26,71.97
2001-12-27,73.722
2001-12-28,74.111
2001-12-31,74.834
2002-01-01,74.834
2002-01-02,76.103
2002-01-03,76.32
2002-01-04,75.593
2002-01-07,75.586
2002-01-08,74.998
2002-01-09,75.357
2002-01-10,75.38
2002-01-11,75.023
2002-01-14,74.221
2002-01-15,73.944
2002-01-16,72.721
2002-01-17,73.13
2002-01-18,73.193
2002-01-21,72.95
2002-01-22,73.166
2002-01-23,74.086
2002-01-24,74.254
2002-01-25,72.747
2002-01-28,73.517
