Date,ITALY SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.839
2001-01-03,98.025
2001-01-04,98.496
2001-01-05,98.898
2001-01-08,97.342
2001-01-09,96.265
2001-01-10,96.042
2001-01-11,97.149
2001-01-12,97.936
2001-01-15,97.36
2001-01-16,97.3
2001-01-17,97.89
2001-01-18,99.443
2001-01-19,99.005
2001-01-22,99.108
2001-01-23,99.56
2001-01-24,98.481
2001-01-25,98.017
2001-01-26,98.077
2001-01-29,97.691
2001-01-30,98.268
2001-01-31,98.881
2001-02-01,100.216
2001-02-02,99.81
2001-02-05,100.179
2001-02-06,99.216
2001-02-07,98.929
2001-02-08,97.769
2001-02-09,96.99
2001-02-12,97.614
2001-02-13,96.926
2001-02-14,95.632
2001-02-15,94.402
2001-02-16,95.245
2001-02-19,95.555
2001-02-20,94.354
2001-02-21,94.285
2001-02-22,93.914
2001-02-23,92.957
2001-02-26,93.479
2001-02-27,94.597
2001-02-28,94.633
2001-03-01,94.443
2001-03-02,94.626
2001-03-05,94.404
2001-03-06,95.066
2001-03-07,94.547
2001-03-08,95.792
2001-03-09,95.458
2001-03-12,93.23
2001-03-13,91.789
2001-03-14,89.833
2001-03-15,89.895
2001-03-16,88.587
2001-03-19,88.607
2001-03-20,89.499
2001-03-21,87.9
2001-03-22,83.678
2001-03-23,85.128
2001-03-26,86.426
2001-03-27,87.38
2001-03-28,87.196
2001-03-29,86.905
2001-03-30,88.05
2001-04-02,88.136
2001-04-03,87.161
2001-04-04,88.287
2001-04-05,88.409
2001-04-06,89.517
2001-04-09,89.797
2001-04-10,88.436
2001-04-11,87.959
2001-04-12,88.898
2001-04-13,88.898
2001-04-16,87.988
2001-04-17,88.213
2001-04-18,88.041
2001-04-19,89.644
2001-04-20,91.437
2001-04-23,89.656
2001-04-24,89.785
2001-04-25,90.665
2001-04-26,91.173
2001-04-27,90.322
2001-04-30,90.145
2001-05-01,90.623
2001-05-02,91.402
2001-05-03,92.192
2001-05-04,91.898
2001-05-07,92.42
2001-05-08,91.801
2001-05-09,91.428
2001-05-10,91.805
2001-05-11,90.982
2001-05-14,91.606
2001-05-15,92.661
2001-05-16,93.272
2001-05-17,93.764
2001-05-18,93.803
2001-05-21,93.804
2001-05-22,93.28
2001-05-23,92.409
2001-05-24,92.189
2001-05-25,92.24
2001-05-28,92.41
2001-05-29,91.152
2001-05-30,90.372
2001-05-31,90.214
2001-06-01,90.694
2001-06-04,90.983
2001-06-05,91.876
2001-06-06,91.736
2001-06-07,92.212
2001-06-08,92.116
2001-06-11,91.259
2001-06-12,91.019
2001-06-13,91.562
2001-06-14,91.613
2001-06-15,91.552
2001-06-18,91.057
2001-06-19,91.019
2001-06-20,89.902
2001-06-21,89.449
2001-06-22,89.134
2001-06-25,90.342
2001-06-26,89.531
2001-06-27,89.32
2001-06-28,87.504
2001-06-29,87.921
2001-07-02,87.639
2001-07-03,87.609
2001-07-04,87.672
2001-07-05,86.75
2001-07-06,87.006
2001-07-09,87.068
2001-07-10,87.907
2001-07-11,87.5
2001-07-12,86.585
2001-07-13,86.224
2001-07-16,86.315
2001-07-17,84.842
2001-07-18,85.916
2001-07-19,85.315
2001-07-20,85.735
2001-07-23,85.341
2001-07-24,85.53
2001-07-25,85.515
2001-07-26,84.957
2001-07-27,84.534
2001-07-30,84.196
2001-07-31,84.073
2001-08-01,85.304
2001-08-02,85.774
2001-08-03,86.664
2001-08-06,86.138
2001-08-07,86.266
2001-08-08,86.237
2001-08-09,86.956
2001-08-10,87.05
2001-08-13,87.964
2001-08-14,88.11
2001-08-15,89.455
2001-08-16,88.752
2001-08-17,88.536
2001-08-20,87.51
2001-08-21,87.344
2001-08-22,87.821
2001-08-23,87.129
2001-08-24,87.578
2001-08-27,87.301
2001-08-28,86.712
2001-08-29,86.352
2001-08-30,85.152
2001-08-31,85.172
2001-09-03,84.347
2001-09-04,82.244
2001-09-05,80.23
2001-09-06,79.091
2001-09-07,79.549
2001-09-10,77.397
2001-09-11,73.91
2001-09-12,72.481
2001-09-13,72.748
2001-09-14,68.936
2001-09-17,66.454
2001-09-18,66.279
2001-09-19,68.246
2001-09-20,66.396
2001-09-21,62.18
2001-09-24,63.855
2001-09-25,66.67
2001-09-26,68.207
2001-09-27,67.959
2001-09-28,68.543
2001-10-01,67.225
2001-10-02,67.915
2001-10-03,68.324
2001-10-04,69.611
2001-10-05,69.679
2001-10-08,69.498
2001-10-09,69.241
2001-10-10,69.663
2001-10-11,70.29
2001-10-12,69.957
2001-10-15,69.732
2001-10-16,70.689
2001-10-17,71.236
2001-10-18,70.542
2001-10-19,69.912
2001-10-22,69.906
2001-10-23,70.268
2001-10-24,70.526
2001-10-25,70.595
2001-10-26,71.156
2001-10-29,71.303
2001-10-30,69.35
2001-10-31,69.87
2001-11-01,70.383
2001-11-02,69.945
2001-11-05,69.933
2001-11-06,69.282
2001-11-07,69.569
2001-11-08,69.458
2001-11-09,69.286
2001-11-12,68.126
2001-11-13,68.559
2001-11-14,68.902
2001-11-15,69.394
2001-11-16,70.27
2001-11-19,72.642
2001-11-20,73.246
2001-11-21,72.896
2001-11-22,74.007
2001-11-23,73.999
2001-11-26,75.113
2001-11-27,74.05
2001-11-28,74.252
2001-11-29,74.881
2001-11-30,75.832
2001-12-03,75.635
2001-12-04,76.504
2001-12-05,77.508
2001-12-06,77.618
2001-12-07,77.994
2001-12-10,76.753
2001-12-11,76.826
2001-12-12,76.983
2001-12-13,75.852
2001-12-14,75.835
2001-12-17,76.1
2001-12-18,75.613
2001-12-19,74.622
2001-12-20,73.86
2001-12-21,72.975
2001-12-24,72.247
2001-12-25,72.247
2001-12-26,72.309
2001-12-27,74.07
2001-12-28,74.46
2001-12-31,75.186
2002-01-01,75.186
2002-01-02,76.461
2002-01-03,76.679
2002-01-04,75.949
2002-01-07,75.942
2002-01-08,75.351
2002-01-09,75.712
2002-01-10,75.735
2002-01-11,75.376
2002-01-14,74.57
2002-01-15,74.292
2002-01-16,73.064
2002-01-17,73.474
2002-01-18,73.537
2002-01-21,73.299
2002-01-22,73.517
2002-01-23,74.441
2002-01-24,74.609
2002-01-25,73.095
2002-01-28,73.869
