Date,WORLD ex USA LARGE GROWTH Large Cap
2001-01-01,729.375
2001-01-02,721.446
2001-01-03,711.32
2001-01-04,725.133
2001-01-05,725.816
2001-01-08,719.615
2001-01-09,704.647
2001-01-10,700.056
2001-01-11,707.633
2001-01-12,715.514
2001-01-15,713.529
2001-01-16,710.48
2001-01-17,725.203
2001-01-18,737.334
2001-01-19,738.217
2001-01-22,737.483
2001-01-23,734.14
2001-01-24,728.983
2001-01-25,729.072
2001-01-26,725.647
2001-01-29,724.496
2001-01-30,727.29
2001-01-31,733.345
2001-02-01,732.186
2001-02-02,718.632
2001-02-05,715.663
2001-02-06,712.817
2001-02-07,705.423
2001-02-08,694.781
2001-02-09,686.053
2001-02-12,694.356
2001-02-13,687.928
2001-02-14,674.071
2001-02-15,678.482
2001-02-16,665.807
2001-02-19,662.265
2001-02-20,653.922
2001-02-21,647.163
2001-02-22,643.02
2001-02-23,634.533
2001-02-26,641.783
2001-02-27,644.439
2001-02-28,639.443
2001-03-01,634.845
2001-03-02,629.292
2001-03-05,631.499
2001-03-06,649.565
2001-03-07,648.27
2001-03-08,644.118
2001-03-09,636.235
2001-03-12,613.735
2001-03-13,599.611
2001-03-14,589.707
2001-03-15,596.467
2001-03-16,583.628
2001-03-19,581.303
2001-03-20,589.277
2001-03-21,587.056
2001-03-22,562.792
2001-03-23,584.579
2001-03-26,607.06
2001-03-27,615.005
2001-03-28,604.903
2001-03-29,589.465
2001-03-30,586.153
2001-04-02,580.985
2001-04-03,568.732
2001-04-04,579.056
2001-04-05,592.101
2001-04-06,592.889
2001-04-09,591.543
2001-04-10,596.973
2001-04-11,603.546
2001-04-12,611.583
2001-04-13,611.748
2001-04-16,604.611
2001-04-17,598.433
2001-04-18,620.593
2001-04-19,634.286
2001-04-20,630.119
2001-04-23,623.364
2001-04-24,619.527
2001-04-25,621.991
2001-04-26,628.609
2001-04-27,630.714
2001-04-30,636.538
2001-05-01,646.262
2001-05-02,649.912
2001-05-03,643.416
2001-05-04,645.379
2001-05-07,651.248
2001-05-08,643.235
2001-05-09,635.297
2001-05-10,640.596
2001-05-11,632.958
2001-05-14,621.24
2001-05-15,630.045
2001-05-16,627.461
2001-05-17,636.033
2001-05-18,633.535
2001-05-21,637.901
2001-05-22,639.49
2001-05-23,633.15
2001-05-24,630.745
2001-05-25,624.205
2001-05-28,623.887
2001-05-29,618.756
2001-05-30,606.241
2001-05-31,601.226
2001-06-01,599.413
2001-06-04,600.888
2001-06-05,605.807
2001-06-06,602.565
2001-06-07,604.658
2001-06-08,602.655
2001-06-11,591.938
2001-06-12,578.562
2001-06-13,582.062
2001-06-14,579.617
2001-06-15,573.883
2001-06-18,566.988
2001-06-19,565.646
2001-06-20,560.942
2001-06-21,564.195
2001-06-22,568.059
2001-06-25,566.637
2001-06-26,560.704
2001-06-27,557.881
