Date,WORLD ex USA LARGE GROWTH Large Cap
2001-01-01,744.206
2001-01-02,736.115
2001-01-03,725.784
2001-01-04,739.878
2001-01-05,740.574
2001-01-08,734.248
2001-01-09,718.975
2001-01-10,714.29
2001-01-11,722.02
2001-01-12,730.061
2001-01-15,728.035
2001-01-16,724.925
2001-01-17,739.946
2001-01-18,752.323
2001-01-19,753.224
2001-01-22,752.475
2001-01-23,749.065
2001-01-24,743.803
2001-01-25,743.893
2001-01-26,740.399
2001-01-29,739.224
2001-01-30,742.075
2001-01-31,748.243
2001-02-01,747.061
2001-02-02,733.23
2001-02-05,730.201
2001-02-06,727.297
2001-02-07,719.753
2001-02-08,708.894
2001-02-09,699.99
2001-02-12,708.462
2001-02-13,701.902
2001-02-14,687.763
2001-02-15,692.264
2001-02-16,679.33
2001-02-19,675.716
2001-02-20,667.188
2001-02-21,660.292
2001-02-22,656.064
2001-02-23,647.352
2001-02-26,654.748
2001-02-27,657.458
2001-02-28,652.361
2001-03-01,647.668
2001-03-02,642.004
2001-03-05,644.252
2001-03-06,662.682
2001-03-07,661.362
2001-03-08,657.124
2001-03-09,649.075
2001-03-12,626.122
2001-03-13,611.702
2001-03-14,601.596
2001-03-15,608.492
2001-03-16,595.394
2001-03-19,593.0
2001-03-20,601.135
2001-03-21,598.865
2001-03-22,574.062
2001-03-23,596.282
2001-03-26,619.186
2001-03-27,627.181
2001-03-28,616.876
2001-03-29,601.113
2001-03-30,597.722
2001-04-02,592.451
2001-04-03,579.956
2001-04-04,590.485
2001-04-05,603.786
2001-04-06,604.554
2001-04-09,603.183
2001-04-10,608.711
2001-04-11,615.348
2001-04-12,623.542
2001-04-13,623.711
2001-04-16,616.434
2001-04-17,610.089
2001-04-18,632.679
2001-04-19,646.635
2001-04-20,642.387
2001-04-23,635.422
2001-04-24,631.506
2001-04-25,634.014
2001-04-26,640.76
2001-04-27,642.895
2001-04-30,648.825
2001-05-01,658.723
2001-05-02,662.406
2001-05-03,655.774
2001-05-04,657.749
2001-05-07,663.712
2001-05-08,655.541
2001-05-09,647.449
2001-05-10,652.842
2001-05-11,645.042
2001-05-14,633.09
2001-05-15,642.063
2001-05-16,639.418
2001-05-17,648.142
2001-05-18,645.589
2001-05-21,649.967
2001-05-22,651.585
2001-05-23,645.112
2001-05-24,642.658
2001-05-25,635.981
2001-05-28,635.656
2001-05-29,630.428
2001-05-30,617.677
2001-05-31,612.563
2001-06-01,610.696
2001-06-04,612.2
2001-06-05,617.2
2001-06-06,613.873
2001-06-07,616.005
2001-06-08,613.946
2001-06-11,603.018
2001-06-12,589.391
2001-06-13,592.952
2001-06-14,590.449
2001-06-15,584.608
2001-06-18,577.577
2001-06-19,576.21
2001-06-20,571.412
2001-06-21,574.719
2001-06-22,578.656
2001-06-25,577.268
2001-06-26,571.223
2001-06-27,568.346
2001-06-28,566.431
2001-06-29,575.386
2001-07-02,579.931
2001-07-03,576.127
2001-07-04,569.31
2001-07-05,557.581
2001-07-06,548.676
2001-07-09,549.669
2001-07-10,551.307
2001-07-11,546.608
2001-07-12,552.978
2001-07-13,553.219
2001-07-16,550.24
2001-07-17,543.448
2001-07-18,544.169
2001-07-19,551.339
2001-07-20,548.924
2001-07-23,542.803
2001-07-24,542.234
2001-07-25,541.421
2001-07-26,543.363
2001-07-27,547.29
2001-07-30,548.705
2001-07-31,557.21
2001-08-01,564.193
2001-08-02,571.374
2001-08-03,567.244
2001-08-06,563.561
2001-08-07,562.857
2001-08-08,556.185
2001-08-09,546.897
2001-08-10,546.566
2001-08-13,546.634
2001-08-14,555.319
2001-08-15,558.887
2001-08-16,550.066
2001-08-17,543.297
2001-08-20,537.994
2001-08-21,543.936
2001-08-22,545.625
2001-08-23,539.853
2001-08-24,546.402
2001-08-27,547.953
2001-08-28,539.963
2001-08-29,537.136
2001-08-30,527.058
2001-08-31,527.034
2001-09-03,518.244
2001-09-04,521.028
2001-09-05,509.273
2001-09-06,499.738
2001-09-07,495.578
2001-09-10,487.591
2001-09-11,471.108
2001-09-12,469.455
2001-09-13,475.949
2001-09-14,468.95
2001-09-17,471.308
2001-09-18,471.596
2001-09-19,473.652
2001-09-20,461.623
2001-09-21,447.016
2001-09-24,462.286
2001-09-25,471.898
2001-09-26,471.303
2001-09-27,474.85
2001-09-28,484.485
2001-10-01,480.802
2001-10-02,485.768
2001-10-03,485.207
2001-10-04,497.241
2001-10-05,499.093
2001-10-08,500.455
2001-10-09,496.42
2001-10-10,499.938
2001-10-11,507.225
2001-10-12,509.336
2001-10-15,501.575
2001-10-16,506.294
2001-10-17,515.913
2001-10-18,506.481
2001-10-19,500.742
2001-10-22,504.535
2001-10-23,513.238
2001-10-24,516.238
2001-10-25,511.201
2001-10-26,516.798
2001-10-29,511.865
2001-10-30,501.842
2001-10-31,502.209
2001-11-01,508.7
2001-11-02,509.291
2001-11-05,515.775
2001-11-06,519.51
2001-11-07,518.984
2001-11-08,524.302
2001-11-09,519.094
2001-11-12,510.783
2001-11-13,517.441
2001-11-14,520.52
2001-11-15,526.627
2001-11-16,532.729
2001-11-19,534.825
2001-11-20,527.936
2001-11-21,522.64
2001-11-22,528.123
2001-11-23,524.923
2001-11-26,531.474
2001-11-27,526.929
2001-11-28,520.731
2001-11-29,518.215
2001-11-30,524.936
2001-12-03,517.75
2001-12-04,525.185
2001-12-05,539.735
2001-12-06,543.487
2001-12-07,537.626
2001-12-10,526.1
2001-12-11,525.515
2001-12-12,527.439
2001-12-13,516.684
2001-12-14,512.35
2001-12-17,520.267
2001-12-18,519.701
2001-12-19,515.534
2001-12-20,514.219
2001-12-21,513.112
2001-12-24,509.97
2001-12-25,508.98
2001-12-26,507.941
2001-12-27,517.822
2001-12-28,520.952
2001-12-31,524.243
2002-01-01,524.243
2002-01-02,524.242
2002-01-03,530.839
2002-01-04,533.593
2002-01-07,529.951
2002-01-08,521.35
2002-01-09,519.671
2002-01-10,514.012
2002-01-11,514.178
2002-01-14,507.194
2002-01-15,507.136
2002-01-16,499.369
2002-01-17,501.798
2002-01-18,502.996
2002-01-21,498.906
2002-01-22,495.68
2002-01-23,496.257
2002-01-24,500.182
2002-01-25,493.567
2002-01-28,496.323
2002-01-29,489.582
2002-01-30,482.287
2002-01-31,487.429
2002-02-01,485.222
2002-02-04,481.724
2002-02-05,473.628
2002-02-06,468.86
2002-02-07,475.816
2002-02-08,476.508
2002-02-11,483.328
2002-02-12,484.522
2002-02-13,486.265
2002-02-14,489.835
2002-02-15,486.873
2002-02-18,483.511
2002-02-19,475.253
2002-02-20,471.78
2002-02-21,477.144
2002-02-22,474.977
2002-02-25,477.001
2002-02-26,477.487
2002-02-27,485.269
2002-02-28,486.507
2002-03-01,492.423
2002-03-04,508.94
2002-03-05,508.448
2002-03-06,513.638
2002-03-07,526.282
2002-03-08,528.103
2002-03-11,527.144
2002-03-12,516.328
2002-03-13,512.841
2002-03-14,518.7
2002-03-15,522.771
2002-03-18,521.49
2002-03-19,524.815
2002-03-20,519.61
2002-03-21,517.247
2002-03-22,514.689
2002-03-25,509.552
2002-03-26,509.438
2002-03-27,510.199
2002-03-28,515.187
2002-03-29,512.95
2002-04-01,514.558
2002-04-02,514.729
2002-04-03,515.458
2002-04-04,513.809
2002-04-05,511.986
2002-04-08,505.401
2002-04-09,503.869
2002-04-10,507.199
2002-04-11,500.653
2002-04-12,497.918
2002-04-15,502.933
2002-04-16,512.966
2002-04-17,518.758
2002-04-18,516.598
2002-04-19,514.163
2002-04-22,512.107
2002-04-23,510.913
2002-04-24,509.79
2002-04-25,511.405
2002-04-26,508.419
2002-04-29,507.328
2002-04-30,507.486
2002-05-01,510.355
2002-05-02,506.332
2002-05-03,505.498
2002-05-06,505.318
2002-05-07,497.706
2002-05-08,505.743
2002-05-09,506.166
2002-05-10,501.861
2002-05-13,502.415
2002-05-14,502.724
2002-05-15,511.425
2002-05-16,512.917
2002-05-17,518.975
2002-05-20,518.572
2002-05-21,516.803
2002-05-22,515.898
2002-05-23,513.029
2002-05-24,512.448
2002-05-27,510.037
2002-05-28,510.707
2002-05-29,510.072
2002-05-30,507.008
2002-05-31,507.02
2002-06-03,506.788
2002-06-04,498.723
2002-06-05,493.648
2002-06-06,493.843
2002-06-07,487.739
2002-06-10,488.198
2002-06-11,489.873
2002-06-12,481.879
2002-06-13,476.119
2002-06-14,467.717
2002-06-17,476.267
2002-06-18,477.286
2002-06-19,471.571
2002-06-20,469.432
2002-06-21,468.349
2002-06-24,463.117
2002-06-25,469.133
2002-06-26,466.209
2002-06-27,471.604
2002-06-28,488.117
2002-07-01,487.937
2002-07-02,475.677
2002-07-03,466.097
2002-07-04,472.649
2002-07-05,486.985
2002-07-08,490.898
2002-07-09,491.516
2002-07-10,475.162
2002-07-11,461.853
2002-07-12,465.119
2002-07-15,451.62
2002-07-16,450.24
2002-07-17,458.899
2002-07-18,464.878
2002-07-19,447.301
2002-07-22,429.807
2002-07-23,418.472
2002-07-24,415.637
2002-07-25,427.844
2002-07-26,424.317
2002-07-29,439.032
2002-07-30,443.727
2002-07-31,440.616
2002-08-01,428.594
2002-08-02,429.149
2002-08-05,419.182
2002-08-06,422.852
2002-08-07,424.541
2002-08-08,436.681
2002-08-09,444.397
2002-08-12,437.392
2002-08-13,439.662
2002-08-14,436.056
2002-08-15,443.407
2002-08-16,446.837
2002-08-19,450.803
2002-08-20,444.316
2002-08-21,449.487
2002-08-22,453.233
2002-08-23,448.853
2002-08-26,447.509
2002-08-27,453.595
2002-08-28,439.954
2002-08-29,434.663
2002-08-30,436.147
2002-09-02,430.164
2002-09-03,419.192
2002-09-04,418.76
2002-09-05,419.802
2002-09-06,425.561
2002-09-09,422.376
2002-09-10,426.567
2002-09-11,433.842
2002-09-12,423.535
2002-09-13,416.159
2002-09-16,411.688
2002-09-17,410.807
2002-09-18,403.766
2002-09-19,401.238
2002-09-20,399.009
2002-09-23,388.75
2002-09-24,384.145
2002-09-25,388.194
2002-09-26,401.94
2002-09-27,403.461
2002-09-30,394.076
2002-10-01,394.616
2002-10-02,403.593
2002-10-03,400.71
2002-10-04,394.125
2002-10-07,385.636
2002-10-08,380.372
2002-10-09,379.212
2002-10-10,384.631
2002-10-11,399.237
2002-10-14,397.744
2002-10-15,416.005
2002-10-16,410.301
2002-10-17,417.659
2002-10-18,416.873
2002-10-21,416.682
2002-10-22,413.575
2002-10-23,405.733
