Date,WORLD ex USA LARGE GROWTH Large Cap
1994-05-31,462.566
1994-06-30,469.855
1994-07-29,470.926
1994-08-31,482.803
1994-09-30,470.119
1994-10-31,482.372
1994-11-30,456.692
1994-12-30,463.288
1995-01-31,446.367
1995-02-28,440.168
1995-03-31,469.508
1995-04-28,490.52
1995-05-31,483.03
1995-06-30,476.87
1995-07-31,507.295
1995-08-31,489.774
1995-09-29,501.756
1995-10-31,487.146
1995-11-30,502.522
1995-12-29,519.391
1996-01-31,517.606
1996-02-29,518.421
1996-03-29,533.116
1996-04-30,549.264
1996-05-31,541.449
1996-06-28,544.52
1996-07-31,524.587
1996-08-30,527.542
1996-09-30,541.458
1996-10-31,534.4
1996-11-29,550.992
1996-12-31,540.368
1997-01-31,517.435
1997-02-28,525.537
1997-03-31,526.3
1997-04-30,532.229
1997-05-30,574.943
1997-06-30,609.331
1997-07-31,623.511
1997-08-29,576.093
1997-09-30,611.027
1997-10-31,559.197
1997-11-28,558.23
1997-12-31,566.93
1998-01-30,590.455
1998-02-27,625.918
1998-03-31,637.49
1998-04-30,641.192
1998-05-29,642.508
1998-06-30,646.638
1998-07-31,657.198
1998-08-31,578.391
1998-09-30,562.797
1998-10-30,621.722
1998-11-30,660.025
1998-12-31,693.49
1999-01-29,699.579
1999-02-26,677.121
1999-03-31,701.864
1999-04-30,718.899
1999-05-31,685.595
1999-06-30,724.164
1999-07-30,751.243
1999-08-31,761.388
1999-09-30,785.497
1999-10-29,843.42
1999-11-30,930.401
1999-12-31,1058.268
2000-01-31,1006.884
2000-02-29,1082.073
2000-03-31,1074.147
2000-04-28,990.046
2000-05-31,918.341
2000-06-30,950.406
2000-07-31,903.015
2000-08-31,921.751
2000-09-29,848.545
2000-10-31,794.322
2000-11-30,744.023
2000-12-29,744.206
2001-01-31,748.243
2001-02-28,652.361
2001-03-30,597.722
2001-04-30,648.825
2001-05-31,612.563
2001-06-29,575.386
2001-07-31,557.21
2001-08-31,527.034
2001-09-28,484.485
2001-10-31,502.209
2001-11-30,524.936
2001-12-31,524.243
2002-01-31,487.429
2002-02-28,486.507
2002-03-29,512.95
2002-04-30,507.486
2002-05-31,507.02
2002-06-28,488.117
2002-07-31,440.616
2002-08-30,436.147
2002-09-30,394.076
2002-10-31,420.654
2002-11-29,439.111
2002-12-31,424.466
2003-01-31,405.92
2003-02-28,398.082
2003-03-31,392.909
2003-04-30,430.156
2003-05-30,451.811
2003-06-30,461.011
2003-07-31,466.786
2003-08-29,476.081
2003-09-30,491.045
2003-10-31,515.413
2003-11-28,528.29
2003-12-31,563.763
2004-01-30,574.727
2004-02-27,586.768
2004-03-31,585.564
2004-04-30,566.219
2004-05-31,564.27
2004-06-30,570.902
2004-07-30,550.2
2004-08-31,551.374
2004-09-30,565.427
2004-10-29,585.104
2004-11-30,621.25
2004-12-31,645.424
2005-01-31,627.642
2005-02-28,652.829
2005-03-31,639.814
