Date,WORLD ex USA LARGE GROWTH Large Cap
1994-05-31,448.113
1994-06-30,455.327
1994-07-29,456.453
1994-08-31,467.977
1994-09-30,455.753
1994-10-31,467.66
1994-11-30,442.817
1994-12-30,449.234
1995-01-31,432.843
1995-02-28,426.847
1995-03-31,455.408
1995-04-28,475.857
1995-05-31,468.83
1995-06-30,463.06
1995-07-31,492.68
1995-08-31,475.678
1995-09-29,487.397
1995-10-31,473.239
1995-11-30,488.225
1995-12-29,504.649
1996-01-31,502.93
1996-02-29,503.743
1996-03-29,518.121
1996-04-30,533.897
1996-05-31,526.457
1996-06-28,529.722
1996-07-31,510.407
1996-08-30,513.3
1996-09-30,526.92
1996-10-31,520.099
1996-11-29,536.289
1996-12-31,525.995
1997-01-31,503.69
1997-02-28,511.615
1997-03-31,512.455
1997-04-30,518.417
1997-05-30,560.202
1997-06-30,594.006
1997-07-31,607.941
1997-08-29,561.733
1997-09-30,595.882
1997-10-31,545.372
1997-11-28,544.443
1997-12-31,552.976
1998-01-30,575.942
1998-02-27,610.594
1998-03-31,622.007
1998-04-30,625.84
1998-05-29,627.315
1998-06-30,631.705
1998-07-31,642.113
1998-08-31,565.126
1998-09-30,549.983
1998-10-30,607.588
1998-11-30,645.03
1998-12-31,677.754
1999-01-29,683.717
1999-02-26,661.797
1999-03-31,686.173
1999-04-30,702.971
1999-05-31,670.712
1999-06-30,708.657
1999-07-30,735.294
1999-08-31,745.247
1999-09-30,768.959
1999-10-29,825.687
1999-11-30,910.854
1999-12-31,1036.058
2000-01-31,985.772
2000-02-29,1059.417
2000-03-31,1051.819
2000-04-28,969.63
2000-05-31,899.659
2000-06-30,931.182
2000-07-31,884.831
2000-08-31,903.22
2000-09-29,831.594
2000-10-31,778.465
2000-11-30,729.184
2000-12-29,729.375
2001-01-31,733.345
2001-02-28,639.443
2001-03-30,586.153
2001-04-30,636.538
2001-05-31,601.226
2001-06-29,564.8
2001-07-31,546.999
2001-08-31,517.456
2001-09-28,475.807
2001-10-31,493.195
2001-11-30,515.524
2001-12-31,514.854
2002-01-31,478.741
2002-02-28,477.852
2002-03-29,504.075
2002-04-30,498.96
2002-05-31,498.774
2002-06-28,480.345
2002-07-31,433.612
2002-08-30,429.262
2002-09-30,387.935
2002-10-31,414.143
2002-11-29,432.372
2002-12-31,417.991
2003-01-31,399.769
2003-02-28,392.071
2003-03-31,387.308
2003-04-30,424.438
2003-05-30,446.101
2003-06-30,455.286
2003-07-31,461.025
2003-08-29,470.238
2003-09-30,485.103
2003-10-31,509.227
2003-11-28,521.992
2003-12-31,557.073
2004-01-30,567.936
2004-02-27,579.975
2004-03-31,579.007
2004-04-30,560.352
2004-05-31,558.821
2004-06-30,565.466
2004-07-30,544.982
2004-08-31,546.229
2004-09-30,560.224
2004-10-29,579.765
2004-11-30,615.665
2004-12-31,639.645
2005-01-31,622.064
2005-02-28,647.124
2005-03-31,634.545
2005-04-29,624.552
2005-05-31,628.503
2005-06-30,635.908
2005-07-29,656.378
2005-08-31,677.454
2005-09-30,710.548
2005-10-31,687.976
2005-11-30,703.587
2005-12-30,738.991
2006-01-31,787.551
2006-02-28,774.969
2006-03-31,802.124
2006-04-28,841.287
2006-05-31,806.953
2006-06-30,808.995
2006-07-31,815.874
2006-08-31,834.67
2006-09-29,826.335
2006-10-31,854.022
2006-11-30,876.348
2006-12-29,891.215
2007-01-31,900.032
2007-02-28,907.352
2007-03-30,931.547
2007-04-30,974.194
2007-05-31,1000.0
2007-06-29,1006.121
2007-07-31,1002.544
2007-08-31,999.626
2007-09-28,1071.094
2007-10-31,1119.779
2007-11-30,1099.401
2007-12-31,1082.971
2008-01-31,985.814
2008-02-29,1017.989
2008-03-31,997.066
2008-04-30,1052.42
2008-05-30,1086.693
2008-06-30,1020.306
2008-07-31,982.368
2008-08-29,933.789
2008-09-30,792.248
2008-10-31,638.168
2008-11-28,597.297
2008-12-31,631.303
