Date,WORLD ex USA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,118.244
1975-02-28,132.498
1975-03-31,131.214
1975-04-30,136.555
1975-05-30,135.793
1975-06-30,130.564
1975-07-31,125.789
1975-08-29,124.471
1975-09-30,118.84
1975-10-31,126.162
1975-11-28,129.717
1975-12-31,130.65
1976-01-30,136.615
1976-02-27,135.878
1976-03-31,133.099
1976-04-30,132.367
1976-05-31,129.022
1976-06-30,130.44
1976-07-30,128.877
1976-08-31,128.606
1976-09-30,125.347
1976-10-29,117.466
1976-11-30,117.625
1976-12-31,131.656
1977-01-31,130.369
1977-02-28,132.055
1977-03-31,130.601
1977-04-29,132.83
1977-05-31,131.975
1977-06-30,135.227
1977-07-29,131.736
1977-08-31,136.837
1977-09-30,142.069
1977-10-31,143.974
1977-11-30,143.199
1977-12-30,147.064
1978-01-31,147.909
1978-02-28,149.209
1978-03-31,159.314
1978-04-28,158.195
1978-05-31,160.536
1978-06-30,167.858
1978-07-31,181.061
1978-08-31,184.679
1978-09-29,190.899
1978-10-31,199.515
1978-11-30,181.395
1978-12-29,188.68
1979-01-31,188.583
1979-02-28,187.609
1979-03-30,193.637
1979-04-30,192.186
1979-05-31,189.389
1979-06-29,193.587
1979-07-31,194.824
1979-08-31,200.694
1979-09-28,211.666
1979-10-31,195.679
1979-11-30,200.156
1979-12-31,206.382
1980-01-31,218.676
1980-02-29,223.513
1980-03-31,193.057
1980-04-30,210.229
1980-05-30,221.049
1980-06-30,235.858
1980-07-31,235.335
1980-08-29,242.541
1980-09-30,252.311
1980-10-31,263.353
1980-11-28,260.513
1980-12-31,255.934
1981-01-30,251.342
1981-02-27,245.903
1981-03-31,251.964
1981-04-30,250.816
1981-05-29,242.448
1981-06-30,240.423
1981-07-31,229.126
1981-08-31,234.699
1981-09-30,207.181
1981-10-30,209.547
1981-11-30,231.256
1981-12-31,228.818
1982-01-29,224.963
1982-02-26,207.407
1982-03-31,197.483
1982-04-30,208.337
1982-05-31,205.49
1982-06-30,189.843
1982-07-30,190.467
1982-08-31,192.502
1982-09-30,193.001
1982-10-29,193.732
1982-11-30,206.632
1982-12-31,220.268
1983-01-31,218.542
1983-02-28,223.134
1983-03-31,229.57
1983-04-29,243.558
1983-05-31,243.354
1983-06-30,248.184
1983-07-29,250.129
1983-08-31,246.671
1983-09-30,254.162
1983-10-31,251.608
1983-11-30,260.45
1983-12-30,268.601
1984-01-31,275.752
1984-02-29,278.87
1984-03-30,308.124
1984-04-30,302.142
1984-05-31,270.023
1984-06-29,271.404
1984-07-31,253.403
1984-08-31,277.671
1984-09-28,276.733
1984-10-31,286.701
1984-11-30,289.703
1984-12-31,296.416
1985-01-31,304.243
1985-02-28,303.887
1985-03-29,328.178
1985-04-30,324.356
1985-05-31,337.964
1985-06-28,344.854
1985-07-31,362.638
1985-08-30,369.622
1985-09-30,381.384
1985-10-31,406.638
1985-11-29,421.398
1985-12-31,437.485
1986-01-31,444.873
1986-02-28,492.599
1986-03-31,563.73
1986-04-30,589.36
1986-05-30,569.382
1986-06-30,602.379
1986-07-31,656.842
1986-08-29,710.933
1986-09-30,702.092
1986-10-31,650.734
1986-11-28,690.447
1986-12-31,727.77
1987-01-30,839.196
1987-02-27,862.35
1987-03-31,955.502
1987-04-30,1065.946
1987-05-29,1033.296
1987-06-30,969.614
1987-07-31,959.135
1987-08-31,1043.317
1987-09-30,997.538
1987-10-30,864.665
1987-11-30,868.398
1987-12-31,877.798
1988-01-29,902.313
1988-02-29,963.827
1988-03-31,1015.336
1988-04-29,1016.531
1988-05-31,975.055
1988-06-30,941.837
1988-07-29,953.325
1988-08-31,902.495
1988-09-30,946.879
1988-10-31,1036.404
1988-11-30,1099.563
1988-12-30,1105.233
1989-01-31,1118.55
1989-02-28,1113.557
1989-03-31,1090.831
1989-04-28,1094.004
1989-05-31,1026.747
1989-06-30,1007.198
1989-07-31,1140.283
1989-08-31,1088.327
1989-09-29,1130.793
1989-10-31,1085.942
1989-11-30,1145.993
1989-12-29,1181.092
1990-01-31,1125.921
1990-02-28,1040.698
1990-03-30,925.654
1990-04-30,912.596
1990-05-31,1025.131
1990-06-29,1010.323
1990-07-31,1022.163
1990-08-31,927.239
1990-09-28,791.703
1990-10-31,921.867
1990-11-30,871.051
1990-12-31,891.102
1991-01-31,921.387
1991-02-28,1010.291
1991-03-29,954.754
1991-04-30,965.102
1991-05-31,977.336
1991-06-28,906.745
1991-07-31,944.593
1991-08-30,927.347
1991-09-30,971.542
1991-10-31,1001.17
1991-11-29,966.417
1991-12-31,1014.476
1992-01-31,982.158
1992-02-28,944.954
1992-03-31,883.049
1992-04-30,863.241
1992-05-29,924.625
1992-06-30,885.404
1992-07-31,872.879
1992-08-31,937.062
1992-09-30,916.442
1992-10-30,871.908
1992-11-30,882.578
1992-12-31,884.715
1993-01-29,876.452
1993-02-26,901.813
1993-03-31,963.863
1993-04-30,1040.045
1993-05-31,1069.544
1993-06-30,1059.676
1993-07-30,1088.943
1993-08-31,1142.847
1993-09-30,1113.748
1993-10-29,1151.772
1993-11-30,1041.609
1993-12-31,1102.673
1994-01-31,1185.086
1994-02-28,1173.853
1994-03-31,1117.254
1994-04-29,1161.03
1994-05-31,1148.513
1994-06-30,1155.913
1994-07-29,1167.626
1994-08-31,1194.674
1994-09-30,1157.487
1994-10-31,1187.631
1994-11-30,1133.268
1994-12-30,1148.811
1995-01-31,1103.928
1995-02-28,1105.637
1995-03-31,1175.144
1995-04-28,1224.892
1995-05-31,1213.263
1995-06-30,1190.425
1995-07-31,1264.405
1995-08-31,1212.89
1995-09-29,1239.355
1995-10-31,1206.295
1995-11-30,1240.507
1995-12-29,1282.273
1996-01-31,1286.142
1996-02-29,1290.34
1996-03-29,1320.446
1996-04-30,1353.368
1996-05-31,1327.228
1996-06-28,1329.236
1996-07-31,1285.256
1996-08-30,1288.961
1996-09-30,1324.313
1996-10-31,1317.374
1996-11-29,1360.934
1996-12-31,1335.784
1997-01-31,1285.097
1997-02-28,1301.875
