Date,KOKUSAI INDEX (WORLD ex JP) SMID VALUE SMID (Small+Mid Cap)
1994-05-31,173.14
1994-06-30,169.955
1994-07-29,175.58
1994-08-31,180.353
1994-09-30,176.37
1994-10-31,176.515
1994-11-30,168.546
1994-12-30,170.82
1995-01-31,170.692
1995-02-28,176.393
1995-03-31,179.558
1995-04-28,183.736
1995-05-31,188.94
1995-06-30,192.355
1995-07-31,200.206
1995-08-31,199.171
1995-09-29,202.611
1995-10-31,198.255
1995-11-30,201.974
1995-12-29,206.429
1996-01-31,209.648
1996-02-29,214.134
1996-03-29,217.204
1996-04-30,220.57
1996-05-31,224.425
1996-06-28,224.184
1996-07-31,216.288
1996-08-30,223.931
1996-09-30,228.405
1996-10-31,232.568
1996-11-29,243.809
1996-12-31,249.033
1997-01-31,253.042
1997-02-28,256.207
1997-03-31,252.263
1997-04-30,252.975
1997-05-30,268.23
1997-06-30,278.588
1997-07-31,289.39
1997-08-29,288.115
1997-09-30,306.201
1997-10-31,296.23
1997-11-28,298.702
1997-12-31,306.924
1998-01-30,304.556
1998-02-27,325.764
1998-03-31,344.971
1998-04-30,348.407
1998-05-29,344.806
1998-06-30,335.926
1998-07-31,324.143
1998-08-31,277.815
1998-09-30,282.507
1998-10-30,298.515
1998-11-30,308.388
1998-12-31,313.804
1999-01-29,307.269
1999-02-26,297.96
1999-03-31,302.247
1999-04-30,327.783
1999-05-31,326.696
1999-06-30,335.21
1999-07-30,333.864
1999-08-31,328.116
1999-09-30,319.99
1999-10-29,319.001
1999-11-30,318.627
1999-12-31,333.465
2000-01-31,318.106
2000-02-29,319.669
2000-03-31,332.049
2000-04-28,323.549
2000-05-31,322.554
2000-06-30,328.861
2000-07-31,330.81
2000-08-31,343.763
2000-09-29,337.253
2000-10-31,331.088
2000-11-30,325.176
2000-12-29,352.551
2001-01-31,362.097
2001-02-28,355.616
2001-03-30,338.909
2001-04-30,357.378
2001-05-31,364.955
2001-06-29,364.371
2001-07-31,362.345
2001-08-31,360.342
2001-09-28,318.915
2001-10-31,326.562
2001-11-30,346.696
2001-12-31,360.803
2002-01-31,360.596
2002-02-28,365.177
2002-03-29,388.221
2002-04-30,396.066
2002-05-31,397.507
2002-06-28,379.738
2002-07-31,341.54
2002-08-30,344.354
2002-09-30,311.686
2002-10-31,321.91
2002-11-29,340.498
2002-12-31,334.093
2003-01-31,325.471
2003-02-28,317.592
2003-03-31,317.474
2003-04-30,347.85
2003-05-30,379.188
2003-06-30,384.118
2003-07-31,397.633
2003-08-29,409.641
2003-09-30,412.754
2003-10-31,442.199
2003-11-28,456.038
2003-12-31,481.031
2004-01-30,494.067
2004-02-27,510.695
2004-03-31,510.68
2004-04-30,492.448
2004-05-31,502.629
2004-06-30,520.19
2004-07-30,508.337
2004-08-31,514.708
2004-09-30,534.192
2004-10-29,548.017
2004-11-30,590.351
2004-12-31,615.101
2005-01-31,603.46
2005-02-28,626.07
2005-03-31,616.276
2005-04-29,596.638
2005-05-31,616.455
2005-06-30,634.161
2005-07-29,664.618
2005-08-31,665.091
2005-09-30,676.267
2005-10-31,652.179
2005-11-30,678.724
2005-12-30,692.036
2006-01-31,735.17
2006-02-28,741.417
2006-03-31,765.097
2006-04-28,785.551
2006-05-31,761.723
2006-06-30,764.623
2006-07-31,764.807
2006-08-31,786.572
2006-09-29,796.795
2006-10-31,836.308
2006-11-30,870.887
2006-12-29,887.799
2007-01-31,907.583
2007-02-28,910.267
2007-03-30,931.26
2007-04-30,968.934
2007-05-31,1000.0
2007-06-29,976.369
2007-07-31,930.376
2007-08-31,922.201
2007-09-28,938.378
2007-10-31,960.071
2007-11-30,892.94
2007-12-31,871.672
2008-01-31,820.394
2008-02-29,812.719
2008-03-31,811.481
2008-04-30,839.974
2008-05-30,860.411
2008-06-30,766.408
2008-07-31,759.745
2008-08-29,771.847
2008-09-30,689.646
2008-10-31,527.422
2008-11-28,483.541
2008-12-31,511.022
2009-01-30,461.958
2009-02-27,406.564
2009-03-31,442.153
2009-04-30,527.428
2009-05-29,570.676
2009-06-30,565.785
2009-07-31,630.879
2009-08-31,679.627
2009-09-30,722.777
2009-10-30,693.766
2009-11-30,716.326
2009-12-31,746.735
2010-01-29,724.877
2010-02-26,739.973
2010-03-31,796.658
2010-04-30,819.69
2010-05-31,739.878
2010-06-30,704.732
2010-07-30,769.187
2010-08-31,732.859
2010-09-30,813.104
2010-10-29,844.655
2010-11-30,828.489
2010-12-31,902.459
2011-01-31,921.465
2011-02-28,953.476
2011-03-31,960.791
2011-04-29,999.66
2011-05-31,980.424
2011-06-30,952.398
2011-07-29,918.35
2011-08-31,843.641
2011-09-30,746.154
2011-10-31,840.926
2011-11-30,819.688
2011-12-30,818.502
2012-01-31,876.158
2012-02-29,918.458
2012-03-30,928.082
2012-04-30,917.475
2012-05-31,833.957
2012-06-29,872.119
2012-07-31,879.533
2012-08-31,909.375
2012-09-28,940.316
2012-10-31,945.445
2012-11-30,957.447
2012-12-31,993.074
2013-01-31,1058.572
2013-02-28,1065.219
2013-03-29,1092.891
2013-04-30,1119.404
2013-05-31,1128.194
2013-06-28,1097.809
2013-07-31,1170.467
2013-08-30,1138.591
2013-09-30,1202.684
2013-10-31,1257.51
2013-11-29,1268.329
2013-12-31,1299.238
2014-01-31,1268.068
2014-02-28,1342.974
2014-03-31,1355.352
2014-04-30,1359.573
2014-05-30,1376.817
2014-06-30,1413.185
2014-07-31,1363.479
2014-08-29,1403.282
2014-09-30,1328.23
2014-10-31,1354.019
2014-11-28,1367.539
2014-12-31,1367.944
2015-01-30,1344.184
2015-02-27,1415.897
2015-03-31,1405.487
2015-04-30,1424.137
2015-05-29,1431.822
2015-06-30,1397.707
2015-07-31,1390.058
2015-08-31,1315.343
2015-09-30,1269.155
2015-10-30,1347.436
2015-11-30,1347.649
2015-12-31,1305.406
2016-01-29,1219.921
2016-02-29,1235.074
2016-03-31,1349.872
2016-04-29,1387.46
2016-05-31,1390.415
2016-06-30,1368.032
2016-07-29,1438.143
2016-08-31,1445.858
2016-09-30,1462.183
2016-10-31,1420.383
2016-11-30,1495.51
2016-12-30,1540.33
2017-01-31,1573.28
2017-02-28,1606.062
