Date,KOKUSAI INDEX (WORLD ex JP) SMID VALUE SMID (Small+Mid Cap)
1994-05-31,182.285
1994-06-30,178.861
1994-07-29,184.724
1994-08-31,189.736
1994-09-30,185.535
1994-10-31,185.667
1994-11-30,177.277
1994-12-30,179.656
1995-01-31,179.508
1995-02-28,185.498
1995-03-31,188.805
1995-04-28,193.156
1995-05-31,198.554
1995-06-30,202.059
1995-07-31,210.237
1995-08-31,209.14
1995-09-29,212.737
1995-10-31,208.143
1995-11-30,212.039
1995-12-29,216.701
1996-01-31,220.064
1996-02-29,224.758
1996-03-29,227.958
1996-04-30,231.431
1996-05-31,235.374
1996-06-28,235.028
1996-07-31,226.673
1996-08-30,234.67
1996-09-30,239.341
1996-10-31,243.688
1996-11-29,255.455
1996-12-31,260.913
1997-01-31,265.098
1997-02-28,268.398
1997-03-31,264.247
1997-04-30,264.917
1997-05-30,280.785
1997-06-30,291.513
1997-07-31,302.748
1997-08-29,301.399
1997-09-30,320.283
1997-10-31,309.837
1997-11-28,312.408
1997-12-31,320.985
1998-01-30,318.491
1998-02-27,340.652
1998-03-31,360.686
1998-04-30,364.186
1998-05-29,360.297
1998-06-30,350.89
1998-07-31,338.519
1998-08-31,290.118
1998-09-30,294.991
1998-10-30,311.689
1998-11-30,321.981
1998-12-31,327.622
1999-01-29,320.77
1999-02-26,310.999
1999-03-31,315.393
1999-04-30,341.954
1999-05-31,340.714
1999-06-30,349.483
1999-07-30,348.031
1999-08-31,341.966
1999-09-30,333.425
1999-10-29,332.358
1999-11-30,331.897
1999-12-31,347.285
2000-01-31,331.256
2000-02-29,332.814
2000-03-31,345.604
2000-04-28,336.673
2000-05-31,335.5
2000-06-30,341.928
2000-07-31,343.875
2000-08-31,357.25
2000-09-29,350.397
2000-10-31,343.941
2000-11-30,337.719
2000-12-29,366.067
2001-01-31,375.927
2001-02-28,369.124
2001-03-30,351.661
2001-04-30,370.659
2001-05-31,378.257
2001-06-29,377.48
2001-07-31,375.312
2001-08-31,373.138
2001-09-28,330.134
2001-10-31,337.991
2001-11-30,358.732
2001-12-31,373.228
2002-01-31,372.955
2002-02-28,377.606
2002-03-29,401.272
2002-04-30,409.207
2002-05-31,410.435
2002-06-28,391.899
2002-07-31,352.405
2002-08-30,355.132
2002-09-30,321.239
2002-10-31,331.639
2002-11-29,350.594
2002-12-31,343.77
2003-01-31,334.806
2003-02-28,326.495
2003-03-31,326.092
2003-04-30,357.026
2003-05-30,388.816
2003-06-30,393.577
2003-07-31,407.283
2003-08-29,419.373
2003-09-30,422.322
2003-10-31,452.319
2003-11-28,466.259
2003-12-31,491.517
2004-01-30,504.722
2004-02-27,521.476
2004-03-31,521.08
2004-04-30,502.175
2004-05-31,512.132
2004-06-30,529.692
2004-07-30,517.459
2004-08-31,523.663
2004-09-30,543.198
2004-10-29,557.097
2004-11-30,599.823
2004-12-31,624.592
2005-01-31,612.63
2005-02-28,635.295
2005-03-31,624.933
2005-04-29,604.589
2005-05-31,624.149
2005-06-30,641.653
2005-07-29,672.275
2005-08-31,672.429
2005-09-30,683.343
2005-10-31,658.815
2005-11-30,685.286
2005-12-30,698.28
2006-01-31,741.629
2006-02-28,747.643
2006-03-31,770.986
2006-04-28,791.167
2006-05-31,766.522
2006-06-30,768.898
2006-07-31,768.889
2006-08-31,790.392
2006-09-29,800.191
2006-10-31,839.665
2006-11-30,873.984
2006-12-29,890.318
2007-01-31,909.952
2007-02-28,912.27
2007-03-30,932.543
2007-04-30,969.663
2007-05-31,1000.0
2007-06-29,975.658
2007-07-31,929.437
2007-08-31,920.794
2007-09-28,936.382
2007-10-31,957.709
2007-11-30,890.313
2007-12-31,868.454
2008-01-31,817.133
2008-02-29,809.066
2008-03-31,807.044
2008-04-30,834.648
2008-05-30,853.965
2008-06-30,759.955
2008-07-31,753.026
2008-08-29,764.593
2008-09-30,682.633
2008-10-31,521.779
2008-11-28,477.995
2008-12-31,504.583
2009-01-30,455.981
2009-02-27,401.039
2009-03-31,435.607
2009-04-30,519.153
2009-05-29,561.069
2009-06-30,555.762
2009-07-31,619.516
2009-08-31,667.076
2009-09-30,709.084
2009-10-30,680.486
2009-11-30,702.235
2009-12-31,731.613
2010-01-29,710.038
2010-02-26,724.5
2010-03-31,779.455
2010-04-30,801.544
2010-05-31,722.843
2010-06-30,688.036
2010-07-30,750.77
2010-08-31,714.953
2010-09-30,792.816
2010-10-29,823.396
2010-11-30,807.216
2010-12-31,878.719
2011-01-31,897.039
2011-02-28,927.847
2011-03-31,934.396
2011-04-29,971.69
2011-05-31,951.983
2011-06-30,924.052
2011-07-29,890.783
2011-08-31,817.859
2011-09-30,722.87
2011-10-31,814.48
2011-11-30,793.407
2011-12-30,791.632
2012-01-31,847.204
2012-02-29,887.696
2012-03-30,896.239
2012-04-30,885.422
2012-05-31,803.953
2012-06-29,839.887
2012-07-31,846.754
2012-08-31,874.963
2012-09-28,904.099
2012-10-31,908.796
