Date,KOKUSAI INDEX (WORLD ex JP) SMID VALUE SMID (Small+Mid Cap)
2001-01-01,352.557
2001-01-02,348.243
2001-01-03,352.45
2001-01-04,351.889
2001-01-05,349.419
2001-01-08,349.108
2001-01-09,347.632
2001-01-10,350.252
2001-01-11,352.362
2001-01-12,351.969
2001-01-15,351.42
2001-01-16,352.979
2001-01-17,353.412
2001-01-18,354.657
2001-01-19,352.054
2001-01-22,353.159
2001-01-23,357.066
2001-01-24,355.843
2001-01-25,356.183
2001-01-26,356.152
2001-01-29,359.004
2001-01-30,361.456
2001-01-31,362.097
2001-02-01,364.443
2001-02-02,361.737
2001-02-05,362.868
2001-02-06,363.115
2001-02-07,363.173
2001-02-08,361.316
2001-02-09,360.639
2001-02-12,363.841
2001-02-13,363.094
2001-02-14,362.304
2001-02-15,362.209
2001-02-16,360.896
2001-02-19,361.351
2001-02-20,358.107
2001-02-21,355.392
2001-02-22,353.378
2001-02-23,352.348
2001-02-26,356.853
2001-02-27,356.771
2001-02-28,355.616
2001-03-01,355.726
2001-03-02,359.044
2001-03-05,359.439
2001-03-06,361.859
2001-03-07,363.098
2001-03-08,364.149
2001-03-09,361.119
2001-03-12,353.87
2001-03-13,351.089
2001-03-14,344.298
2001-03-15,344.525
2001-03-16,339.239
2001-03-19,341.737
2001-03-20,340.135
2001-03-21,334.195
2001-03-22,326.605
2001-03-23,331.931
2001-03-26,336.39
2001-03-27,339.494
2001-03-28,335.616
2001-03-29,335.44
2001-03-30,338.909
2001-04-02,336.232
2001-04-03,330.265
2001-04-04,331.538
2001-04-05,337.985
2001-04-06,335.121
2001-04-09,337.966
2001-04-10,341.857
2001-04-11,340.482
2001-04-12,343.623
2001-04-13,343.623
2001-04-16,342.1
2001-04-17,343.354
2001-04-18,347.528
2001-04-19,350.751
2001-04-20,350.747
2001-04-23,348.572
2001-04-24,348.361
2001-04-25,351.526
2001-04-26,354.247
2001-04-27,356.246
2001-04-30,357.378
2001-05-01,359.258
2001-05-02,359.562
2001-05-03,357.259
2001-05-04,359.932
2001-05-07,359.379
2001-05-08,359.39
2001-05-09,359.153
2001-05-10,360.91
2001-05-11,359.515
2001-05-14,359.305
2001-05-15,361.774
2001-05-16,366.464
2001-05-17,369.438
2001-05-18,370.138
2001-05-21,373.462
2001-05-22,373.036
2001-05-23,369.318
2001-05-24,369.013
2001-05-25,368.254
